"pli0097_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","(0) in school","Male","","","",""
"Daily","1985","(0) in school","Female","","","",""
"Daily","1985","(1a) inadequately completed","Male","","","",""
"Daily","1985","(1a) inadequately completed","Female","","","",""
"Daily","1985","(1b) general elementary school","Male","","","",""
"Daily","1985","(1b) general elementary school","Female","","","",""
"Daily","1985","(1c) basic vocational qualification","Male","","","",""
"Daily","1985","(1c) basic vocational qualification","Female","","","",""
"Daily","1985","(2b) intermediate general qualification","Male","","","",""
"Daily","1985","(2b) intermediate general qualification","Female","","","",""
"Daily","1985","(2a) intermediate vocational","Male","","","",""
"Daily","1985","(2a) intermediate vocational","Female","","","",""
"Daily","1985","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1985","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1985","(2c_voc) vocational maturity certificate","Male","","","",""
"Daily","1985","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1985","(3a) lower tertiary education","Male","","","",""
"Daily","1985","(3a) lower tertiary education","Female","","","",""
"Daily","1985","(3b) higher tertiary education","Male","","","",""
"Daily","1985","(3b) higher tertiary education","Female","","","",""
"Min 1x per week","1985","(0) in school","Male","","","",""
"Min 1x per week","1985","(0) in school","Female","","","",""
"Min 1x per week","1985","(1a) inadequately completed","Male","","","",""
"Min 1x per week","1985","(1a) inadequately completed","Female","","","",""
"Min 1x per week","1985","(1b) general elementary school","Male","","","",""
"Min 1x per week","1985","(1b) general elementary school","Female","","","",""
"Min 1x per week","1985","(1c) basic vocational qualification","Male","","","",""
"Min 1x per week","1985","(1c) basic vocational qualification","Female","","","",""
"Min 1x per week","1985","(2b) intermediate general qualification","Male","","","",""
"Min 1x per week","1985","(2b) intermediate general qualification","Female","","","",""
"Min 1x per week","1985","(2a) intermediate vocational","Male","","","",""
"Min 1x per week","1985","(2a) intermediate vocational","Female","","","",""
"Min 1x per week","1985","(2c_gen) general maturity certificate","Male","","","",""
"Min 1x per week","1985","(2c_gen) general maturity certificate","Female","","","",""
"Min 1x per week","1985","(2c_voc) vocational maturity certificate","Male","","","",""
"Min 1x per week","1985","(2c_voc) vocational maturity certificate","Female","","","",""
"Min 1x per week","1985","(3a) lower tertiary education","Male","","","",""
"Min 1x per week","1985","(3a) lower tertiary education","Female","","","",""
"Min 1x per week","1985","(3b) higher tertiary education","Male","","","",""
"Min 1x per week","1985","(3b) higher tertiary education","Female","","","",""
