"pli0097_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1985","in school","Urban Area","","","",""
"Daily","1985","in school","Rural Area","","","",""
"Daily","1985","inadequately","Urban Area","","","",""
"Daily","1985","inadequately","Rural Area","","","",""
"Daily","1985","general elemantary","Urban Area","","","",""
"Daily","1985","general elemantary","Rural Area","","","",""
"Daily","1985","middle vocational","Urban Area","","","",""
"Daily","1985","middle vocational","Rural Area","","","",""
"Daily","1985","vocational + Abi","Urban Area","","","",""
"Daily","1985","vocational + Abi","Rural Area","","","",""
"Daily","1985","higher vocational","Urban Area","","","",""
"Daily","1985","higher vocational","Rural Area","","","",""
"Daily","1985","higher education","Urban Area","","","",""
"Daily","1985","higher education","Rural Area","","","",""
"Min 1x per week","1985","in school","Urban Area","1","","",""
"Min 1x per week","1985","in school","Rural Area","","","",""
"Min 1x per week","1985","inadequately","Urban Area","3","","",""
"Min 1x per week","1985","inadequately","Rural Area","","","",""
"Min 1x per week","1985","general elemantary","Urban Area","13","","",""
"Min 1x per week","1985","general elemantary","Rural Area","1","","",""
"Min 1x per week","1985","middle vocational","Urban Area","30","0.00743604137404918","0.00478294204676558","0.0100891407013328"
"Min 1x per week","1985","middle vocational","Rural Area","12","","",""
"Min 1x per week","1985","vocational + Abi","Urban Area","3","","",""
"Min 1x per week","1985","vocational + Abi","Rural Area","2","","",""
"Min 1x per week","1985","higher vocational","Urban Area","10","","",""
"Min 1x per week","1985","higher vocational","Rural Area","4","","",""
"Min 1x per week","1985","higher education","Urban Area","17","","",""
"Min 1x per week","1985","higher education","Rural Area","6","","",""
"Min 1x per month","1985","in school","Urban Area","1","","",""
"Min 1x per month","1985","in school","Rural Area","","","",""
"Min 1x per month","1985","inadequately","Urban Area","2","","",""
"Min 1x per month","1985","inadequately","Rural Area","","","",""
"Min 1x per month","1985","general elemantary","Urban Area","23","","",""
"Min 1x per month","1985","general elemantary","Rural Area","8","","",""
"Min 1x per month","1985","middle vocational","Urban Area","71","0.0190357057285577","0.0148156862915547","0.0232557251655608"
"Min 1x per month","1985","middle vocational","Rural Area","25","","",""
"Min 1x per month","1985","vocational + Abi","Urban Area","9","","",""
"Min 1x per month","1985","vocational + Abi","Rural Area","2","","",""
"Min 1x per month","1985","higher vocational","Urban Area","13","","",""
"Min 1x per month","1985","higher vocational","Rural Area","5","","",""
"Min 1x per month","1985","higher education","Urban Area","33","0.0506278607351691","0.0335759025873647","0.0676798188829735"
"Min 1x per month","1985","higher education","Rural Area","6","","",""
"Rarely","1985","in school","Urban Area","8","","",""
"Rarely","1985","in school","Rural Area","2","","",""
"Rarely","1985","inadequately","Urban Area","8","","",""
"Rarely","1985","inadequately","Rural Area","2","","",""
"Rarely","1985","general elemantary","Urban Area","60","0.02859636834007","0.021820182132553","0.0353725545475869"
"Rarely","1985","general elemantary","Rural Area","17","","",""
"Rarely","1985","middle vocational","Urban Area","187","0.0458574892653294","0.0393977480574921","0.0523172304731666"
"Rarely","1985","middle vocational","Rural Area","70","0.0658380193210095","0.0511624739385881","0.0805135647034309"
"Rarely","1985","vocational + Abi","Urban Area","24","","",""
"Rarely","1985","vocational + Abi","Rural Area","2","","",""
"Rarely","1985","higher vocational","Urban Area","35","0.0734177782179669","0.050133264503863","0.0967022919320709"
"Rarely","1985","higher vocational","Rural Area","10","","",""
"Rarely","1985","higher education","Urban Area","73","0.115772662278937","0.0908871716496905","0.140658152908183"
"Rarely","1985","higher education","Rural Area","17","","",""
"Never","1985","in school","Urban Area","140","0.918996694780608","0.875333972840424","0.962659416720792"
"Never","1985","in school","Rural Area","34","0.936296016813072","0.856517359536862","1.01607467408928"
"Never","1985","inadequately","Urban Area","724","0.975576011684539","0.964431701401549","0.98672032196753"
"Never","1985","inadequately","Rural Area","100","0.996231186970524","0.984339858708056","1.00812251523299"
"Never","1985","general elemantary","Urban Area","2228","0.954482574471874","0.94600829316688","0.962956855776868"
"Never","1985","general elemantary","Rural Area","683","0.961663087152727","0.947529740364205","0.975796433941249"
"Never","1985","middle vocational","Urban Area","3740","0.927670763632064","0.91967136692555","0.935670160338577"
"Never","1985","middle vocational","Rural Area","990","0.901204170424399","0.883546814155224","0.918861526693574"
"Never","1985","vocational + Abi","Urban Area","193","0.811610378172868","0.760965837931207","0.862254918414529"
"Never","1985","vocational + Abi","Rural Area","37","0.876674590427241","0.77839590108794","0.974953279766542"
"Never","1985","higher vocational","Urban Area","424","0.88184204019031","0.853024861250169","0.91065921913045"
"Never","1985","higher vocational","Rural Area","110","0.853130060481164","0.79204608188638","0.914214039075947"
"Never","1985","higher education","Urban Area","512","0.805821353448842","0.775054622832936","0.836588084064747"
"Never","1985","higher education","Rural Area","85","0.75642907727779","0.67763519605213","0.83522295850345"
"Daily","1986","in school","Urban Area","","","",""
"Daily","1986","in school","Rural Area","","","",""
"Daily","1986","inadequately","Urban Area","","","",""
"Daily","1986","inadequately","Rural Area","","","",""
"Daily","1986","general elemantary","Urban Area","","","",""
"Daily","1986","general elemantary","Rural Area","","","",""
"Daily","1986","middle vocational","Urban Area","","","",""
"Daily","1986","middle vocational","Rural Area","","","",""
"Daily","1986","vocational + Abi","Urban Area","","","",""
"Daily","1986","vocational + Abi","Rural Area","","","",""
"Daily","1986","higher vocational","Urban Area","","","",""
"Daily","1986","higher vocational","Rural Area","","","",""
"Daily","1986","higher education","Urban Area","","","",""
"Daily","1986","higher education","Rural Area","","","",""
"Min 1x per week","1986","in school","Urban Area","","","",""
"Min 1x per week","1986","in school","Rural Area","","","",""
"Min 1x per week","1986","inadequately","Urban Area","4","","",""
"Min 1x per week","1986","inadequately","Rural Area","","","",""
"Min 1x per week","1986","general elemantary","Urban Area","6","","",""
"Min 1x per week","1986","general elemantary","Rural Area","1","","",""
"Min 1x per week","1986","middle vocational","Urban Area","39","0.00979473079771214","0.00670231783182831","0.012887143763596"
"Min 1x per week","1986","middle vocational","Rural Area","10","","",""
"Min 1x per week","1986","vocational + Abi","Urban Area","7","","",""
"Min 1x per week","1986","vocational + Abi","Rural Area","2","","",""
"Min 1x per week","1986","higher vocational","Urban Area","4","","",""
"Min 1x per week","1986","higher vocational","Rural Area","2","","",""
"Min 1x per week","1986","higher education","Urban Area","14","","",""
"Min 1x per week","1986","higher education","Rural Area","7","","",""
"Min 1x per month","1986","in school","Urban Area","2","","",""
"Min 1x per month","1986","in school","Rural Area","","","",""
"Min 1x per month","1986","inadequately","Urban Area","","","",""
"Min 1x per month","1986","inadequately","Rural Area","2","","",""
"Min 1x per month","1986","general elemantary","Urban Area","26","","",""
"Min 1x per month","1986","general elemantary","Rural Area","6","","",""
"Min 1x per month","1986","middle vocational","Urban Area","61","0.0160889992026641","0.0121382356357062","0.020039762769622"
"Min 1x per month","1986","middle vocational","Rural Area","27","","",""
"Min 1x per month","1986","vocational + Abi","Urban Area","5","","",""
"Min 1x per month","1986","vocational + Abi","Rural Area","1","","",""
"Min 1x per month","1986","higher vocational","Urban Area","11","","",""
"Min 1x per month","1986","higher vocational","Rural Area","3","","",""
"Min 1x per month","1986","higher education","Urban Area","21","","",""
"Min 1x per month","1986","higher education","Rural Area","3","","",""
"Rarely","1986","in school","Urban Area","5","","",""
"Rarely","1986","in school","Rural Area","","","",""
"Rarely","1986","inadequately","Urban Area","6","","",""
"Rarely","1986","inadequately","Rural Area","2","","",""
"Rarely","1986","general elemantary","Urban Area","65","0.0298684202396766","0.0227714431750607","0.0369653973042925"
"Rarely","1986","general elemantary","Rural Area","17","","",""
"Rarely","1986","middle vocational","Urban Area","181","0.0487558085303248","0.0419934560012401","0.0555181610594094"
"Rarely","1986","middle vocational","Rural Area","53","0.0495302564195518","0.0364808646704858","0.0625796481686178"
"Rarely","1986","vocational + Abi","Urban Area","15","","",""
"Rarely","1986","vocational + Abi","Rural Area","2","","",""
"Rarely","1986","higher vocational","Urban Area","46","0.0955814097433538","0.0685658575501434","0.122596961936564"
"Rarely","1986","higher vocational","Rural Area","11","","",""
