"pli0097_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Schleswig-Holstein","Male","","","","","1"
"Daily","1985","Schleswig-Holstein","Female","","","","","1"
"Daily","1985","Hamburg","Male","","","","","1"
"Daily","1985","Hamburg","Female","","","","","1"
"Daily","1985","Lower Saxony","Male","","","","","1"
"Daily","1985","Lower Saxony","Female","","","","","1"
"Daily","1985","Bremen","Male","","","","","1"
"Daily","1985","Bremen","Female","","","","","1"
"Daily","1985","North Rhine-Westphalia","Male","","","","","1"
"Daily","1985","North Rhine-Westphalia","Female","","","","","1"
"Daily","1985","Hesse","Male","","","","","1"
"Daily","1985","Hesse","Female","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1985","Baden-Württemberg","Male","","","","","1"
"Daily","1985","Baden-Württemberg","Female","","","","","1"
"Daily","1985","Bavaria","Male","","","","","1"
"Daily","1985","Bavaria","Female","","","","","1"
"Daily","1985","Berlin","Male","","","","","1"
"Daily","1985","Berlin","Female","","","","","1"
"Daily","1985","Brandenburg","Male","","","","","1"
"Daily","1985","Brandenburg","Female","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1985","Saxony","Male","","","","","1"
"Daily","1985","Saxony","Female","","","","","1"
"Daily","1985","Saxony-Anhalt","Male","","","","","1"
"Daily","1985","Saxony-Anhalt","Female","","","","","1"
"Daily","1985","Thuringia","Male","","","","","1"
"Daily","1985","Thuringia","Female","","","","","1"
"Min 1x per month","1985","Schleswig-Holstein","Female","4","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Female","","","","","3"
"Min 1x per month","1985","Saxony","Male","","","","","3"
"Min 1x per month","1985","Hamburg","Male","3","","","","3"
"Min 1x per month","1985","Hamburg","Female","1","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Male","","","","","3"
"Min 1x per month","1985","Saxony","Female","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","Male","10","","","","3"
"Min 1x per month","1985","Brandenburg","Female","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","Male","","","","","3"
"Min 1x per month","1985","Lower Saxony","Male","11","","","","3"
"Min 1x per month","1985","Lower Saxony","Female","8","","","","3"
"Min 1x per month","1985","Bremen","Male","","","","","3"
"Min 1x per month","1985","Bremen","Female","1","","","","3"
"Min 1x per month","1985","North Rhine-Westphalia","Male","33","0.02561911477529","0.0175147664147232","0.0337234631358569","3"
"Min 1x per month","1985","North Rhine-Westphalia","Female","21","","","","3"
"Min 1x per month","1985","Hesse","Male","15","","","","3"
"Min 1x per month","1985","Hesse","Female","4","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Male","13","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Female","4","","","","3"
"Min 1x per month","1985","Baden-Württemberg","Male","13","","","","3"
"Min 1x per month","1985","Baden-Württemberg","Female","4","","","","3"
"Min 1x per month","1985","Bavaria","Male","26","","","","3"
"Min 1x per month","1985","Bavaria","Female","19","","","","3"
"Min 1x per month","1985","Berlin","Male","5","","","","3"
"Min 1x per month","1985","Berlin","Female","4","","","","3"
"Min 1x per month","1985","Brandenburg","Male","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","Female","","","","","3"
"Min 1x per month","1985","Thuringia","Male","","","","","3"
"Min 1x per month","1985","Thuringia","Female","","","","","3"
"Min 1x per week","1985","Saxony","Female","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","Female","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","Male","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Female","","","","","2"
"Min 1x per week","1985","Saxony","Male","","","","","2"
"Min 1x per week","1985","Thuringia","Male","","","","","2"
"Min 1x per week","1985","Thuringia","Female","","","","","2"
"Min 1x per week","1985","Schleswig-Holstein","Male","3","","","","2"
"Min 1x per week","1985","Schleswig-Holstein","Female","","","","","2"
"Min 1x per week","1985","Hamburg","Male","2","","","","2"
"Min 1x per week","1985","Hamburg","Female","1","","","","2"
"Min 1x per week","1985","Lower Saxony","Male","9","","","","2"
"Min 1x per week","1985","Lower Saxony","Female","4","","","","2"
"Min 1x per week","1985","Bremen","Female","","","","","2"
"Min 1x per week","1985","North Rhine-Westphalia","Male","14","","","","2"
"Min 1x per week","1985","North Rhine-Westphalia","Female","4","","","","2"
"Min 1x per week","1985","Hesse","Male","13","","","","2"
"Min 1x per week","1985","Hesse","Female","2","","","","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Male","12","","","","2"
"Min 1x per week","1985","Brandenburg","Female","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Male","","","","","2"
"Min 1x per week","1985","Bremen","Male","1","","","","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Female","2","","","","2"
"Min 1x per week","1985","Baden-Württemberg","Male","12","","","","2"
"Min 1x per week","1985","Baden-Württemberg","Female","2","","","","2"
"Min 1x per week","1985","Bavaria","Male","13","","","","2"
"Min 1x per week","1985","Bavaria","Female","7","","","","2"
"Min 1x per week","1985","Berlin","Male","2","","","","2"
"Min 1x per week","1985","Berlin","Female","","","","","2"
"Min 1x per week","1985","Brandenburg","Male","","","","","2"
"Never","1985","Bremen","Female","59","0.95624553006235","0.905330246270035","1.00716081385466","5"
"Never","1985","Thuringia","Female","","","","","5"
"Never","1985","Hamburg","Male","127","0.949791099017879","0.91308966427958","0.986492533756177","5"
"Never","1985","Mecklenburg-Western Pomerania","Male","","","","","5"
"Never","1985","Mecklenburg-Western Pomerania","Female","","","","","5"
"Never","1985","Schleswig-Holstein","Female","172","0.959849060900897","0.931090251570611","0.988607870231182","5"
