"pli0097_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","in school","","","",""
"Daily","1985","lower secondary degree","inadequately","","","",""
"Daily","1985","lower secondary degree","general elemantary","","","",""
"Daily","1985","lower secondary degree","middle vocational","","","",""
"Daily","1985","lower secondary degree","vocational + Abi","","","",""
"Daily","1985","lower secondary degree","higher vocational","","","",""
"Daily","1985","lower secondary degree","higher education","","","",""
"Daily","1985","secondary school degree","in school","","","",""
"Daily","1985","secondary school degree","inadequately","","","",""
"Daily","1985","secondary school degree","general elemantary","","","",""
"Daily","1985","secondary school degree","middle vocational","","","",""
"Daily","1985","secondary school degree","vocational + Abi","","","",""
"Daily","1985","secondary school degree","higher vocational","","","",""
"Daily","1985","secondary school degree","higher education","","","",""
"Daily","1985","college entrance qualification","in school","","","",""
"Daily","1985","college entrance qualification","inadequately","","","",""
"Daily","1985","college entrance qualification","general elemantary","","","",""
"Daily","1985","college entrance qualification","middle vocational","","","",""
"Daily","1985","college entrance qualification","vocational + Abi","","","",""
"Daily","1985","college entrance qualification","higher vocational","","","",""
"Daily","1985","college entrance qualification","higher education","","","",""
"Daily","1985","Other degree","in school","","","",""
"Daily","1985","Other degree","inadequately","","","",""
"Daily","1985","Other degree","general elemantary","","","",""
"Daily","1985","Other degree","middle vocational","","","",""
"Daily","1985","Other degree","vocational + Abi","","","",""
"Daily","1985","Other degree","higher vocational","","","",""
"Daily","1985","Other degree","higher education","","","",""
"Daily","1985","no degree/no degree yet","in school","","","",""
"Daily","1985","no degree/no degree yet","inadequately","","","",""
"Daily","1985","no degree/no degree yet","general elemantary","","","",""
"Daily","1985","no degree/no degree yet","middle vocational","","","",""
"Daily","1985","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1985","no degree/no degree yet","higher vocational","","","",""
"Daily","1985","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1985","lower secondary degree","in school","","","",""
"Min 1x per week","1985","lower secondary degree","inadequately","","","",""
"Min 1x per week","1985","lower secondary degree","general elemantary","","","",""
"Min 1x per week","1985","lower secondary degree","middle vocational","","","",""
"Min 1x per week","1985","lower secondary degree","vocational + Abi","","","",""
"Min 1x per week","1985","lower secondary degree","higher vocational","","","",""
"Min 1x per week","1985","lower secondary degree","higher education","","","",""
"Min 1x per week","1985","secondary school degree","in school","","","",""
"Min 1x per week","1985","secondary school degree","inadequately","","","",""
"Min 1x per week","1985","secondary school degree","general elemantary","","","",""
"Min 1x per week","1985","secondary school degree","middle vocational","","","",""
"Min 1x per week","1985","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1985","secondary school degree","higher vocational","","","",""
"Min 1x per week","1985","secondary school degree","higher education","","","",""
