"pli0097_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","(0) in school","","","",""
"Daily","1985","no migration background","(1a) inadequately completed","","","",""
"Daily","1985","no migration background","(1b) general elementary school","","","",""
"Daily","1985","no migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","no migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","no migration background","(2a) intermediate vocational","","","",""
"Daily","1985","no migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","no migration background","(3a) lower tertiary education","","","",""
"Daily","1985","no migration background","(3b) higher tertiary education","","","",""
"Daily","1985","direct migration background","(0) in school","","","",""
"Daily","1985","direct migration background","(1a) inadequately completed","","","",""
"Daily","1985","direct migration background","(1b) general elementary school","","","",""
"Daily","1985","direct migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","direct migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","direct migration background","(2a) intermediate vocational","","","",""
"Daily","1985","direct migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1985","direct migration background","(3b) higher tertiary education","","","",""
"Daily","1985","indirect migration background","(0) in school","","","",""
"Daily","1985","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1985","indirect migration background","(1b) general elementary school","","","",""
"Daily","1985","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1985","indirect migration background","(2b) intermediate general qualification","","","",""
"Daily","1985","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","no migration background","(0) in school","1","","",""
"Min 1x per week","1985","no migration background","(1a) inadequately completed","1","","",""
"Min 1x per week","1985","no migration background","(1b) general elementary school","6","","",""
"Min 1x per week","1985","no migration background","(1c) basic vocational qualification","24","","",""
"Min 1x per week","1985","no migration background","(2b) intermediate general qualification","5","","",""
"Min 1x per week","1985","no migration background","(2a) intermediate vocational","16","","",""
"Min 1x per week","1985","no migration background","(2c_gen) general maturity certificate","5","","",""
"Min 1x per week","1985","no migration background","(2c_voc) vocational maturity certificate","11","","",""
"Min 1x per week","1985","no migration background","(3a) lower tertiary education","5","","",""
"Min 1x per week","1985","no migration background","(3b) higher tertiary education","16","","",""
"Min 1x per week","1985","direct migration background","(0) in school","","","",""
"Min 1x per week","1985","direct migration background","(1a) inadequately completed","2","","",""
"Min 1x per week","1985","direct migration background","(1b) general elementary school","3","","",""
"Min 1x per week","1985","direct migration background","(1c) basic vocational qualification","3","","",""
"Min 1x per week","1985","direct migration background","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","direct migration background","(2a) intermediate vocational","1","","",""
"Min 1x per week","1985","direct migration background","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1985","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","direct migration background","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","direct migration background","(3b) higher tertiary education","2","","",""
"Min 1x per week","1985","indirect migration background","(0) in school","","","",""
"Min 1x per week","1985","indirect migration background","(1a) inadequately completed","","","",""
"Min 1x per week","1985","indirect migration background","(1b) general elementary school","","","",""
"Min 1x per week","1985","indirect migration background","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","indirect migration background","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","indirect migration background","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","no migration background","(0) in school","1","","",""
"Min 1x per month","1985","no migration background","(1a) inadequately completed","","","",""
"Min 1x per month","1985","no migration background","(1b) general elementary school","11","","",""
"Min 1x per month","1985","no migration background","(1c) basic vocational qualification","70","0.0213398195797577","0.0162550821193664","0.026424557040149"
"Min 1x per month","1985","no migration background","(2b) intermediate general qualification","11","","",""
"Min 1x per month","1985","no migration background","(2a) intermediate vocational","25","","",""
