"pli0097_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Schleswig-Holstein","no migration background","","","","","1"
"Daily","1985","Schleswig-Holstein","direct migration background","","","","","1"
"Daily","1985","Schleswig-Holstein","indirect migration background","","","","","1"
"Daily","1985","Hamburg","no migration background","","","","","1"
"Daily","1985","Hamburg","direct migration background","","","","","1"
"Daily","1985","Hamburg","indirect migration background","","","","","1"
"Daily","1985","Lower Saxony","no migration background","","","","","1"
"Daily","1985","Lower Saxony","direct migration background","","","","","1"
"Daily","1985","Lower Saxony","indirect migration background","","","","","1"
"Daily","1985","Bremen","no migration background","","","","","1"
"Daily","1985","Bremen","direct migration background","","","","","1"
"Daily","1985","Bremen","indirect migration background","","","","","1"
"Daily","1985","North Rhine-Westphalia","no migration background","","","","","1"
"Daily","1985","North Rhine-Westphalia","direct migration background","","","","","1"
"Daily","1985","North Rhine-Westphalia","indirect migration background","","","","","1"
"Daily","1985","Hesse","no migration background","","","","","1"
"Daily","1985","Hesse","direct migration background","","","","","1"
"Daily","1985","Hesse","indirect migration background","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","no migration background","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","direct migration background","","","","","1"
"Daily","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"Daily","1985","Baden-Württemberg","no migration background","","","","","1"
"Daily","1985","Baden-Württemberg","direct migration background","","","","","1"
"Daily","1985","Baden-Württemberg","indirect migration background","","","","","1"
"Daily","1985","Bavaria","no migration background","","","","","1"
"Daily","1985","Bavaria","direct migration background","","","","","1"
"Daily","1985","Bavaria","indirect migration background","","","","","1"
"Daily","1985","Berlin","no migration background","","","","","1"
"Daily","1985","Berlin","direct migration background","","","","","1"
"Daily","1985","Berlin","indirect migration background","","","","","1"
"Daily","1985","Brandenburg","no migration background","","","","","1"
"Daily","1985","Brandenburg","direct migration background","","","","","1"
"Daily","1985","Brandenburg","indirect migration background","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Daily","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Daily","1985","Saxony","no migration background","","","","","1"
"Daily","1985","Saxony","direct migration background","","","","","1"
"Daily","1985","Saxony","indirect migration background","","","","","1"
"Daily","1985","Saxony-Anhalt","no migration background","","","","","1"
"Daily","1985","Saxony-Anhalt","direct migration background","","","","","1"
"Daily","1985","Saxony-Anhalt","indirect migration background","","","","","1"
"Daily","1985","Thuringia","no migration background","","","","","1"
