"pli0097_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","1-pers.-HH","in school","","","","","1"
"Daily","1985","1-pers.-HH","inadequately","","","","","1"
"Daily","1985","1-pers.-HH","general elemantary","","","","","1"
"Daily","1985","1-pers.-HH","middle vocational","","","","","1"
"Daily","1985","1-pers.-HH","vocational + Abi","","","","","1"
"Daily","1985","1-pers.-HH","higher vocational","","","","","1"
"Daily","1985","1-pers.-HH","higher education","","","","","1"
"Daily","1985","(Married) couple without C. ","in school","","","","","1"
"Daily","1985","(Married) couple without C. ","inadequately","","","","","1"
"Daily","1985","(Married) couple without C. ","general elemantary","","","","","1"
"Daily","1985","(Married) couple without C. ","middle vocational","","","","","1"
"Daily","1985","(Married) couple without C. ","vocational + Abi","","","","","1"
"Daily","1985","(Married) couple without C. ","higher vocational","","","","","1"
"Daily","1985","(Married) couple without C. ","higher education","","","","","1"
"Daily","1985","Single parent ","in school","","","","","1"
"Daily","1985","Single parent ","inadequately","","","","","1"
"Daily","1985","Single parent ","general elemantary","","","","","1"
"Daily","1985","Single parent ","middle vocational","","","","","1"
"Daily","1985","Single parent ","vocational + Abi","","","","","1"
"Daily","1985","Single parent ","higher vocational","","","","","1"
"Daily","1985","Single parent ","higher education","","","","","1"
"Daily","1985","Couple + C. LE 16 ","in school","","","","","1"
"Daily","1985","Couple + C. LE 16 ","inadequately","","","","","1"
"Daily","1985","Couple + C. LE 16 ","general elemantary","","","","","1"
"Daily","1985","Couple + C. LE 16 ","middle vocational","","","","","1"
"Daily","1985","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Daily","1985","Couple + C. LE 16 ","higher vocational","","","","","1"
"Daily","1985","Couple + C. LE 16 ","higher education","","","","","1"
"Daily","1985","Couple + C. GT 16 ","in school","","","","","1"
"Daily","1985","Couple + C. GT 16 ","inadequately","","","","","1"
"Daily","1985","Couple + C. GT 16 ","general elemantary","","","","","1"
"Daily","1985","Couple + C. GT 16 ","middle vocational","","","","","1"
"Daily","1985","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Daily","1985","Couple + C. GT 16 ","higher vocational","","","","","1"
"Daily","1985","Couple + C. GT 16 ","higher education","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","in school","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","inadequately","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","middle vocational","","","","","1"
