"pli0097_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","in school","Male","","","",""
"Daily","1985","in school","Female","","","",""
"Daily","1985","inadequately","Male","","","",""
"Daily","1985","inadequately","Female","","","",""
"Daily","1985","general elemantary","Male","","","",""
"Daily","1985","general elemantary","Female","","","",""
"Daily","1985","middle vocational","Male","","","",""
"Daily","1985","middle vocational","Female","","","",""
"Daily","1985","vocational + Abi","Male","","","",""
"Daily","1985","vocational + Abi","Female","","","",""
"Daily","1985","higher vocational","Male","","","",""
"Daily","1985","higher vocational","Female","","","",""
"Daily","1985","higher education","Male","","","",""
"Daily","1985","higher education","Female","","","",""
"Min 1x per week","1985","in school","Male","1","","",""
"Min 1x per week","1985","in school","Female","","","",""
"Min 1x per week","1985","inadequately","Male","2","","",""
"Min 1x per week","1985","inadequately","Female","1","","",""
"Min 1x per week","1985","general elemantary","Male","9","","",""
"Min 1x per week","1985","general elemantary","Female","5","","",""
"Min 1x per week","1985","middle vocational","Male","35","0.012700677494467","0.00855741812357883","0.0168439368653552"
"Min 1x per week","1985","middle vocational","Female","7","","",""
"Min 1x per week","1985","vocational + Abi","Male","4","","",""
"Min 1x per week","1985","vocational + Abi","Female","1","","",""
"Min 1x per week","1985","higher vocational","Male","8","","",""
"Min 1x per week","1985","higher vocational","Female","6","","",""
"Min 1x per week","1985","higher education","Male","21","","",""
"Min 1x per week","1985","higher education","Female","2","","",""
"Min 1x per month","1985","in school","Male","1","","",""
"Min 1x per month","1985","in school","Female","","","",""
"Min 1x per month","1985","inadequately","Male","1","","",""
"Min 1x per month","1985","inadequately","Female","1","","",""
"Min 1x per month","1985","general elemantary","Male","13","","",""
"Min 1x per month","1985","general elemantary","Female","18","","",""
"Min 1x per month","1985","middle vocational","Male","65","0.0263886898224904","0.020457989537077","0.0323193901079039"
"Min 1x per month","1985","middle vocational","Female","31","0.0125031037237509","0.00798064612878656","0.0170255613187152"
"Min 1x per month","1985","vocational + Abi","Male","5","","",""
"Min 1x per month","1985","vocational + Abi","Female","6","","",""
"Min 1x per month","1985","higher vocational","Male","14","","",""
"Min 1x per month","1985","higher vocational","Female","4","","",""
"Min 1x per month","1985","higher education","Male","29","","",""
"Min 1x per month","1985","higher education","Female","10","","",""
"Rarely","1985","in school","Male","7","","",""
"Rarely","1985","in school","Female","3","","",""
"Rarely","1985","inadequately","Male","8","","",""
"Rarely","1985","inadequately","Female","2","","",""
"Rarely","1985","general elemantary","Male","32","0.0401733523498543","0.0281461795376477","0.0522005251620609"
"Rarely","1985","general elemantary","Female","45","0.0236245460486467","0.0169833196566353","0.0302657724406581"
"Rarely","1985","middle vocational","Male","168","0.0626104871624379","0.0536467761943577","0.0715741981305181"
"Rarely","1985","middle vocational","Female","89","0.0367657316234692","0.0291064985505334","0.0444249646964051"
"Rarely","1985","vocational + Abi","Male","14","","",""
"Rarely","1985","vocational + Abi","Female","12","","",""
"Rarely","1985","higher vocational","Male","31","0.0893110735989033","0.0597274297240189","0.118894717473788"
"Rarely","1985","higher vocational","Female","14","","",""
"Rarely","1985","higher education","Male","64","0.129078853293057","0.0999225001336672","0.158235206452447"
"Rarely","1985","higher education","Female","26","","",""
"Never","1985","in school","Male","102","0.90069004799033","0.845052155664091","0.956327940316569"
"Never","1985","in school","Female","72","0.956574653114239","0.910448361325867","1.00270094490261"
"Never","1985","inadequately","Male","342","0.978106635139567","0.962841168016902","0.993372102262232"
"Never","1985","inadequately","Female","482","0.981534693172154","0.969565605504457","0.99350378083985"
"Never","1985","general elemantary","Male","970","0.934750564212015","0.919624206690392","0.949876921733639"
"Never","1985","general elemantary","Female","1941","0.964120875929342","0.955987988109648","0.972253763749035"
"Never","1985","middle vocational","Male","2538","0.898300145520605","0.887116712051707","0.909483578989502"
"Never","1985","middle vocational","Female","2192","0.947812124461297","0.938760143003926","0.956864105918668"
"Never","1985","vocational + Abi","Male","147","0.852032864694363","0.798658288875543","0.905407440513182"
"Never","1985","vocational + Abi","Female","83","0.777214512883707","0.696460910702288","0.857968115065126"
"Never","1985","higher vocational","Male","304","0.855347301453858","0.818859432646006","0.891835170261711"
"Never","1985","higher vocational","Female","230","0.90319930508111","0.866836090594122","0.939562519568097"
"Never","1985","higher education","Male","394","0.771669541016562","0.735167778192835","0.808171303840289"
"Never","1985","higher education","Female","203","0.850389073745067","0.805356158600542","0.895421988889592"
"Daily","1986","in school","Male","","","",""
"Daily","1986","in school","Female","","","",""
"Daily","1986","inadequately","Male","","","",""
"Daily","1986","inadequately","Female","","","",""
"Daily","1986","general elemantary","Male","","","",""
"Daily","1986","general elemantary","Female","","","",""
"Daily","1986","middle vocational","Male","","","",""
"Daily","1986","middle vocational","Female","","","",""
"Daily","1986","vocational + Abi","Male","","","",""
"Daily","1986","vocational + Abi","Female","","","",""
"Daily","1986","higher vocational","Male","","","",""
"Daily","1986","higher vocational","Female","","","",""
"Daily","1986","higher education","Male","","","",""
"Daily","1986","higher education","Female","","","",""
"Min 1x per week","1986","in school","Male","","","",""
"Min 1x per week","1986","in school","Female","","","",""
"Min 1x per week","1986","inadequately","Male","3","","",""
"Min 1x per week","1986","inadequately","Female","1","","",""
"Min 1x per week","1986","general elemantary","Male","6","","",""
"Min 1x per week","1986","general elemantary","Female","1","","",""
"Min 1x per week","1986","middle vocational","Male","37","0.0143042778121275","0.00984270254331183","0.0187658530809432"
"Min 1x per week","1986","middle vocational","Female","12","","",""
"Min 1x per week","1986","vocational + Abi","Male","6","","",""
"Min 1x per week","1986","vocational + Abi","Female","3","","",""
"Min 1x per week","1986","higher vocational","Male","6","","",""
"Min 1x per week","1986","higher vocational","Female","","","",""
"Min 1x per week","1986","higher education","Male","19","","",""
"Min 1x per week","1986","higher education","Female","2","","",""
"Min 1x per month","1986","in school","Male","2","","",""
"Min 1x per month","1986","in school","Female","","","",""
"Min 1x per month","1986","inadequately","Male","1","","",""
"Min 1x per month","1986","inadequately","Female","1","","",""
"Min 1x per month","1986","general elemantary","Male","13","","",""
"Min 1x per month","1986","general elemantary","Female","19","","",""
"Min 1x per month","1986","middle vocational","Male","64","0.0268533438149761","0.0207793806526781","0.0329273069772741"
"Min 1x per month","1986","middle vocational","Female","24","","",""
"Min 1x per month","1986","vocational + Abi","Male","4","","",""
"Min 1x per month","1986","vocational + Abi","Female","2","","",""
"Min 1x per month","1986","higher vocational","Male","9","","",""
"Min 1x per month","1986","higher vocational","Female","5","","",""
"Min 1x per month","1986","higher education","Male","20","","",""
"Min 1x per month","1986","higher education","Female","4","","",""
"Rarely","1986","in school","Male","3","","",""
"Rarely","1986","in school","Female","2","","",""
"Rarely","1986","inadequately","Male","5","","",""
"Rarely","1986","inadequately","Female","3","","",""
"Rarely","1986","general elemantary","Male","38","0.045581013244339","0.0326922684809509","0.058469758007727"
"Rarely","1986","general elemantary","Female","44","0.0211512353462988","0.0146435587176138","0.0276589119749837"
"Rarely","1986","middle vocational","Male","152","0.0609429893288093","0.0519543971535825","0.0699315815040361"
"Rarely","1986","middle vocational","Female","82","0.0353294473571558","0.0276792430830818","0.0429796516312298"
"Rarely","1986","vocational + Abi","Male","9","","",""
"Rarely","1986","vocational + Abi","Female","8","","",""
"Rarely","1986","higher vocational","Male","37","0.104030763037083","0.0708896773066968","0.137171848767468"
"Rarely","1986","higher vocational","Female","20","","",""
"Rarely","1986","higher education","Male","65","0.137331329608642","0.107131489499528","0.167531169717756"
"Rarely","1986","higher education","Female","29","","",""
"Never","1986","in school","Male","106","0.959636145194796","0.923023069116136","0.996249221273455"
"Never","1986","in school","Female","71","0.953325409863545","0.904936314630369","1.00171450509672"
"Never","1986","inadequately","Male","319","0.979321099635031","0.963920506577588","0.994721692692475"
"Never","1986","inadequately","Female","451","0.991681603397732","0.983345336525687","1.00001787026978"
"Never","1986","general elemantary","Male","949","0.924929166396063","0.90864599639216","0.941212336399967"
"Never","1986","general elemantary","Female","1814","0.967092136820103","0.95902379916974","0.975160474470465"
"Never","1986","middle vocational","Male","2468","0.897899389044087","0.886522806333824","0.90927597175435"
