"pli0097_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","no migration background","","","",""
"Daily","1985","lower secondary degree","direct migration background","","","",""
"Daily","1985","lower secondary degree","indirect migration background","","","",""
"Daily","1985","secondary school degree","no migration background","","","",""
"Daily","1985","secondary school degree","direct migration background","","","",""
"Daily","1985","secondary school degree","indirect migration background","","","",""
"Daily","1985","college entrance qualification","no migration background","","","",""
"Daily","1985","college entrance qualification","direct migration background","","","",""
"Daily","1985","college entrance qualification","indirect migration background","","","",""
"Daily","1985","Other degree","no migration background","","","",""
"Daily","1985","Other degree","direct migration background","","","",""
"Daily","1985","Other degree","indirect migration background","","","",""
"Daily","1985","no degree/no degree yet","no migration background","","","",""
"Daily","1985","no degree/no degree yet","direct migration background","","","",""
"Daily","1985","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1985","lower secondary degree","no migration background","30","0.00570649592136836","0.00356797684508194","0.00784501499765477"
"Min 1x per week","1985","lower secondary degree","direct migration background","","","",""
"Min 1x per week","1985","lower secondary degree","indirect migration background","","","",""
"Min 1x per week","1985","secondary school degree","no migration background","","","",""
"Min 1x per week","1985","secondary school degree","direct migration background","","","",""
"Min 1x per week","1985","secondary school degree","indirect migration background","","","",""
"Min 1x per week","1985","college entrance qualification","no migration background","36","0.0348804329249773","0.0240230221042025","0.0457378437457521"
"Min 1x per week","1985","college entrance qualification","direct migration background","","","",""
"Min 1x per week","1985","college entrance qualification","indirect migration background","","","",""
"Min 1x per week","1985","Other degree","no migration background","","","",""
"Min 1x per week","1985","Other degree","direct migration background","","","",""
"Min 1x per week","1985","Other degree","indirect migration background","","","",""
"Min 1x per week","1985","no degree/no degree yet","no migration background","","","",""
"Min 1x per week","1985","no degree/no degree yet","direct migration background","","","",""
"Min 1x per week","1985","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per month","1985","lower secondary degree","no migration background","83","0.0162574626252776","0.0126671011144282","0.019847824136127"
"Min 1x per month","1985","lower secondary degree","direct migration background","","","",""
"Min 1x per month","1985","lower secondary degree","indirect migration background","","","",""
"Min 1x per month","1985","secondary school degree","no migration background","38","0.0216961490102455","0.0147563351655982","0.0286359628548929"
"Min 1x per month","1985","secondary school degree","direct migration background","","","",""
"Min 1x per month","1985","secondary school degree","indirect migration background","","","",""
"Min 1x per month","1985","college entrance qualification","no migration background","52","0.0449061717937439","0.0326509602200017","0.0571613833674861"
"Min 1x per month","1985","college entrance qualification","direct migration background","","","",""
"Min 1x per month","1985","college entrance qualification","indirect migration background","","","",""
"Min 1x per month","1985","Other degree","no migration background","","","",""
"Min 1x per month","1985","Other degree","direct migration background","","","",""
"Min 1x per month","1985","Other degree","indirect migration background","","","",""
"Min 1x per month","1985","no degree/no degree yet","no migration background","","","",""
"Min 1x per month","1985","no degree/no degree yet","direct migration background","","","",""
"Min 1x per month","1985","no degree/no degree yet","indirect migration background","","","",""
"Rarely","1985","lower secondary degree","no migration background","176","0.0340956241499768","0.0289434864559596","0.0392477618439939"
"Rarely","1985","lower secondary degree","direct migration background","","","",""
"Rarely","1985","lower secondary degree","indirect migration background","","","",""
"Rarely","1985","secondary school degree","no migration background","121","0.0706377988410012","0.0584329981036964","0.0828425995783061"
"Rarely","1985","secondary school degree","direct migration background","","","",""
"Rarely","1985","secondary school degree","indirect migration background","","","",""
"Rarely","1985","college entrance qualification","no migration background","138","0.121883548042044","0.102524081844143","0.141243014239944"
"Rarely","1985","college entrance qualification","direct migration background","","","",""
"Rarely","1985","college entrance qualification","indirect migration background","","","",""
"Rarely","1985","Other degree","no migration background","","","",""
"Rarely","1985","Other degree","direct migration background","","","",""
"Rarely","1985","Other degree","indirect migration background","","","",""
"Rarely","1985","no degree/no degree yet","no migration background","","","",""
"Rarely","1985","no degree/no degree yet","direct migration background","","","",""
"Rarely","1985","no degree/no degree yet","indirect migration background","","","",""
"Never","1985","lower secondary degree","no migration background","4477","0.943940417303377","0.937409588593238","0.950471246013517"
"Never","1985","lower secondary degree","direct migration background","538","0.961844770269178","0.945949770646985","0.977739769891371"
"Never","1985","lower secondary degree","indirect migration background","75","0.998860348870802","0.991274928664201","1.0064457690774"
"Never","1985","secondary school degree","no migration background","1512","0.894778550302458","0.880162516632958","0.909394583971958"
"Never","1985","secondary school degree","direct migration background","132","0.937395527127404","0.897123377579917","0.977667676674891"
"Never","1985","secondary school degree","indirect migration background","","","",""
"Never","1985","college entrance qualification","no migration background","871","0.798329847239235","0.774585689204398","0.822074005274073"
"Never","1985","college entrance qualification","direct migration background","94","0.843463675509987","0.774934268880412","0.911993082139561"
