"pli0097_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Not Employed","lower secondary degree","","","",""
"Daily","1985","Not Employed","secondary school degree","","","",""
"Daily","1985","Not Employed","college entrance qualification","","","",""
"Daily","1985","Not Employed","Other degree","","","",""
"Daily","1985","Not Employed","no degree/no degree yet","","","",""
"Daily","1985","Employed","lower secondary degree","","","",""
"Daily","1985","Employed","secondary school degree","","","",""
"Daily","1985","Employed","college entrance qualification","","","",""
"Daily","1985","Employed","Other degree","","","",""
"Daily","1985","Employed","no degree/no degree yet","","","",""
"Min 1x per week","1985","Not Employed","lower secondary degree","7","","",""
"Min 1x per week","1985","Not Employed","secondary school degree","8","","",""
"Min 1x per week","1985","Not Employed","college entrance qualification","11","","",""
"Min 1x per week","1985","Not Employed","Other degree","3","","",""
"Min 1x per week","1985","Not Employed","no degree/no degree yet","3","","",""
"Min 1x per week","1985","Employed","lower secondary degree","23","","",""
"Min 1x per week","1985","Employed","secondary school degree","15","","",""
"Min 1x per week","1985","Employed","college entrance qualification","25","","",""
"Min 1x per week","1985","Employed","Other degree","6","","",""
"Min 1x per week","1985","Employed","no degree/no degree yet","1","","",""
"Min 1x per month","1985","Not Employed","lower secondary degree","21","","",""
"Min 1x per month","1985","Not Employed","secondary school degree","15","","",""
"Min 1x per month","1985","Not Employed","college entrance qualification","14","","",""
"Min 1x per month","1985","Not Employed","Other degree","2","","",""
"Min 1x per month","1985","Not Employed","no degree/no degree yet","2","","",""
"Min 1x per month","1985","Employed","lower secondary degree","69","0.0223346743201556","0.0171479286400086","0.0275214200003027"
"Min 1x per month","1985","Employed","secondary school degree","25","","",""
"Min 1x per month","1985","Employed","college entrance qualification","41","0.0496003997496368","0.0348117462512077","0.0643890532480659"
"Min 1x per month","1985","Employed","Other degree","7","","",""
"Min 1x per month","1985","Employed","no degree/no degree yet","2","","",""
"Rarely","1985","Not Employed","lower secondary degree","39","0.0164461050269022","0.0112279030863712","0.0216643069674331"
"Rarely","1985","Not Employed","secondary school degree","37","0.0588817687902989","0.0404852653759604","0.0772782722046374"
"Rarely","1985","Not Employed","college entrance qualification","37","0.0860173071131183","0.0579730212085362","0.1140615930177"
"Rarely","1985","Not Employed","Other degree","2","","",""
"Rarely","1985","Not Employed","no degree/no degree yet","13","","",""
"Rarely","1985","Employed","lower secondary degree","151","0.0484317824146656","0.04089657474522","0.0559669900841111"
