"pli0097_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Full Time","1-pers.-HH","","","","","1"
"Daily","1985","Full Time","(Married) couple without C. ","","","","","1"
"Daily","1985","Full Time","Single parent ","","","","","1"
"Daily","1985","Full Time","Couple + C. LE 16 ","","","","","1"
"Daily","1985","Full Time","Couple + C. GT 16 ","","","","","1"
"Daily","1985","Full Time","Couple + C. LE and GT 16","","","","","1"
"Daily","1985","Part Time","1-pers.-HH","","","","","1"
"Daily","1985","Part Time","(Married) couple without C. ","","","","","1"
"Daily","1985","Part Time","Single parent ","","","","","1"
"Daily","1985","Part Time","Couple + C. LE 16 ","","","","","1"
"Daily","1985","Part Time","Couple + C. GT 16 ","","","","","1"
"Daily","1985","Part Time","Couple + C. LE and GT 16","","","","","1"
"Daily","1985","Not Working","1-pers.-HH","","","","","1"
"Daily","1985","Not Working","(Married) couple without C. ","","","","","1"
"Daily","1985","Not Working","Single parent ","","","","","1"
"Daily","1985","Not Working","Couple + C. LE 16 ","","","","","1"
"Daily","1985","Not Working","Couple + C. GT 16 ","","","","","1"
"Daily","1985","Not Working","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1985","Not Working","Single parent ","4","","","","3"
"Min 1x per month","1985","Not Working","(Married) couple without C. ","14","","","","3"
"Min 1x per month","1985","Not Working","Couple + C. GT 16 ","13","","","","3"
"Min 1x per month","1985","Not Working","Couple + C. LE and GT 16","4","","","","3"
"Min 1x per month","1985","Full Time","1-pers.-HH","14","","","","3"
"Min 1x per month","1985","Full Time","(Married) couple without C. ","13","","","","3"
"Min 1x per month","1985","Full Time","Single parent ","7","","","","3"
"Min 1x per month","1985","Full Time","Couple + C. LE 16 ","29","","","","3"
"Min 1x per month","1985","Full Time","Couple + C. GT 16 ","31","0.0395696113971611","0.0270337531351456","0.0521054696591766","3"
"Min 1x per month","1985","Part Time","(Married) couple without C. ","5","","","","3"
"Min 1x per month","1985","Part Time","Single parent ","1","","","","3"
"Min 1x per month","1985","Part Time","Couple + C. LE 16 ","11","","","","3"
"Min 1x per month","1985","Part Time","Couple + C. GT 16 ","6","","","","3"
"Min 1x per month","1985","Part Time","Couple + C. LE and GT 16","2","","","","3"
"Min 1x per month","1985","Not Working","1-pers.-HH","6","","","","3"
"Min 1x per month","1985","Not Working","Couple + C. LE 16 ","10","","","","3"
"Min 1x per month","1985","Full Time","Couple + C. LE and GT 16","11","","","","3"
"Min 1x per month","1985","Part Time","1-pers.-HH","5","","","","3"
"Min 1x per week","1985","Full Time","Couple + C. LE and GT 16","11","","","","2"
"Min 1x per week","1985","Full Time","1-pers.-HH","4","","","","2"
"Min 1x per week","1985","Part Time","Couple + C. LE 16 ","6","","","","2"
"Min 1x per week","1985","Not Working","1-pers.-HH","6","","","","2"
"Min 1x per week","1985","Full Time","(Married) couple without C. ","6","","","","2"
"Min 1x per week","1985","Full Time","Couple + C. GT 16 ","10","","","","2"
"Min 1x per week","1985","Part Time","Single parent ","","","","","2"
"Min 1x per week","1985","Part Time","Couple + C. GT 16 ","2","","","","2"
"Min 1x per week","1985","Part Time","Couple + C. LE and GT 16","2","","","","2"
"Min 1x per week","1985","Not Working","(Married) couple without C. ","9","","","","2"
"Min 1x per week","1985","Not Working","Couple + C. GT 16 ","10","","","","2"
"Min 1x per week","1985","Not Working","Couple + C. LE and GT 16","2","","","","2"
"Min 1x per week","1985","Part Time","(Married) couple without C. ","2","","","","2"
"Min 1x per week","1985","Full Time","Single parent ","2","","","","2"
"Min 1x per week","1985","Full Time","Couple + C. LE 16 ","17","","","","2"
"Min 1x per week","1985","Part Time","1-pers.-HH","3","","","","2"
"Min 1x per week","1985","Not Working","Single parent ","3","","","","2"
"Min 1x per week","1985","Not Working","Couple + C. LE 16 ","1","","","","2"
