"ple0017","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","Male","328","0.941362510942785","0.916570904138044","0.966154117747527","2"
"No","2009","no migration background","Male","7383","0.97777104608531","0.974442491026096","0.981099601144523","2"
"No","2009","no migration background","Female","7570","0.926380402610656","0.920730417896299","0.932030387325013","2"
"No","2009","indirect migration background","Female","343","0.933646433101755","0.908285187079311","0.959007679124198","2"
"No","2009","direct migration background","Male","747","0.978139639383639","0.967763998957651","0.988515279809628","2"
"No","2009","direct migration background","Female","826","0.900356952401742","0.88084257662582","0.919871328177665","2"
"Yes","2009","no migration background","Male","153","0.0222289539146905","0.0189003988554773","0.0255575089739036","1"
"Yes","2009","no migration background","Female","637","0.0736195973893442","0.0679696126749875","0.0792695821037008","1"
"Yes","2009","direct migration background","Male","16","","","","1"
"Yes","2009","direct migration background","Female","79","0.0996430475982579","0.0801286718223355","0.11915742337418","1"
"Yes","2009","indirect migration background","Male","17","","","","1"
"Yes","2009","indirect migration background","Female","27","","","","1"
"No","2010","indirect migration background","Male","","","","","2"
"No","2010","no migration background","Male","","","","","2"
"No","2010","indirect migration background","Female","","","","","2"
"No","2010","no migration background","Female","","","","","2"
"No","2010","direct migration background","Male","","","","","2"
"No","2010","direct migration background","Female","","","","","2"
"Yes","2010","no migration background","Male","","","","","1"
"Yes","2010","no migration background","Female","","","","","1"
"Yes","2010","direct migration background","Male","","","","","1"
"Yes","2010","direct migration background","Female","","","","","1"
"Yes","2010","indirect migration background","Male","","","","","1"
"Yes","2010","indirect migration background","Female","","","","","1"
"No","2011","no migration background","Male","8359","0.975586710604785","0.972318155213557","0.978855265996013","2"
"No","2011","indirect migration background","Male","370","0.959598369656373","0.939827316704222","0.979369422608524","2"
"No","2011","indirect migration background","Female","381","0.915082793972604","0.888359622824832","0.941805965120375","2"
"No","2011","no migration background","Female","8683","0.917767338014973","0.912236370290635","0.923298305739311","2"
"No","2011","direct migration background","Male","881","0.983797356295348","0.975521268327511","0.992073444263186","2"
"No","2011","direct migration background","Female","1026","0.9120948321733","0.895555952140014","0.928633712206587","2"
"Yes","2011","no migration background","Male","205","0.0244132893952151","0.0211447340039875","0.0276818447864427","1"
"Yes","2011","no migration background","Female","794","0.0822326619850271","0.076701694260689","0.0877636297093652","1"
"Yes","2011","direct migration background","Male","13","","","","1"
"Yes","2011","direct migration background","Female","100","0.0879051678266998","0.0713662877934132","0.104444047859986","1"
"Yes","2011","indirect migration background","Male","11","","","","1"
"Yes","2011","indirect migration background","Female","37","0.0849172060273962","0.0581940348796245","0.111640377175168","1"
"No","2012","no migration background","Male","","","","","2"
"No","2012","no migration background","Female","","","","","2"
"No","2012","indirect migration background","Male","","","","","2"
"No","2012","indirect migration background","Female","","","","","2"
"No","2012","direct migration background","Male","","","","","2"
"No","2012","direct migration background","Female","","","","","2"
"Yes","2012","no migration background","Male","","","","","1"
"Yes","2012","no migration background","Female","","","","","1"
"Yes","2012","direct migration background","Male","","","","","1"
"Yes","2012","direct migration background","Female","","","","","1"
"Yes","2012","indirect migration background","Male","","","","","1"
"Yes","2012","indirect migration background","Female","","","","","1"
"No","2013","no migration background","Male","7580","0.971610224094404","0.967923039245122","0.975297408943686","2"
"No","2013","no migration background","Female","7923","0.901892108424554","0.895664785380399","0.908119431468709","2"
"No","2013","direct migration background","Male","719","0.978960427554034","0.968585013317116","0.989335841790951","2"
"No","2013","direct migration background","Female","869","0.901671768625126","0.882846128730863","0.920497408519388","2"
"No","2013","indirect migration background","Male","331","0.973906738201305","0.957085366225025","0.990728110177585","2"
"No","2013","indirect migration background","Female","330","0.922089886856682","0.894816147666547","0.949363626046816","2"
"Yes","2013","no migration background","Male","214","0.0283897759055957","0.0247025910563138","0.0320769607548776","1"
"Yes","2013","no migration background","Female","842","0.0981078915754458","0.091880568531291","0.104335214619601","1"
"Yes","2013","direct migration background","Male","16","","","","1"
"Yes","2013","direct migration background","Female","92","0.0983282313748744","0.079502591480612","0.117153871269137","1"
"Yes","2013","indirect migration background","Male","14","","","","1"
"Yes","2013","indirect migration background","Female","41","0.0779101131433184","0.0506363739531837","0.105183852333453","1"
"No","2014","no migration background","Male","","","","","2"
"No","2014","no migration background","Female","","","","","2"
"No","2014","direct migration background","Male","","","","","2"
"No","2014","direct migration background","Female","","","","","2"
"No","2014","indirect migration background","Male","","","","","2"
"No","2014","indirect migration background","Female","","","","","2"
"Yes","2014","no migration background","Male","","","","","1"
"Yes","2014","no migration background","Female","","","","","1"
"Yes","2014","direct migration background","Male","","","","","1"
"Yes","2014","direct migration background","Female","","","","","1"
"Yes","2014","indirect migration background","Male","","","","","1"
"Yes","2014","indirect migration background","Female","","","","","1"
"No","2015","no migration background","Male","8559","0.969020002815624","0.965403655765625","0.972636349865622","2"
"No","2015","no migration background","Female","9344","0.905897428060252","0.900285482563652","0.911509373556853","2"
"No","2015","direct migration background","Male","1899","0.966746281788493","0.958780048243622","0.974712515333364","2"
"No","2015","direct migration background","Female","2144","0.895934894299127","0.883654648075764","0.90821514052249","2"
"No","2015","indirect migration background","Male","734","0.975297094637059","0.964210629759959","0.986383559514159","2"
"No","2015","indirect migration background","Female","771","0.862463783623445","0.839708318079314","0.885219249167577","2"
"Yes","2015","no migration background","Male","259","0.0309799971843763","0.0273636501343779","0.0345963442343747","1"
"Yes","2015","no migration background","Female","1054","0.0941025719397478","0.0884906264431474","0.0997145174363482","1"
"Yes","2015","direct migration background","Male","47","0.0332537182115069","0.0252874846666362","0.0412199517563775","1"
"Yes","2015","direct migration background","Female","231","0.104065105700873","0.0917848594775102","0.116345351924236","1"
"Yes","2015","indirect migration background","Male","19","","","","1"
"Yes","2015","indirect migration background","Female","109","0.137536216376555","0.114780750832423","0.160291681920686","1"
"No","2016","no migration background","Male","","","","","2"
"No","2016","no migration background","Female","","","","","2"
