"ple0017","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","West Germany","578","0.0490480375435422","0.0450655297540487","0.0530305453330357"
"Yes","2009","no migration background","East Germany","212","0.0466540895252767","0.0404549205412626","0.0528532585092909"
"Yes","2009","direct migration background","West Germany","89","0.0613807194333174","0.0495900820766594","0.0731713567899755"
"Yes","2009","direct migration background","East Germany","6","","",""
"Yes","2009","indirect migration background","West Germany","43","0.0631990432985481","0.0448295550502683","0.0815685315468279"
"Yes","2009","indirect migration background","East Germany","1","","",""
"No","2009","no migration background","West Germany","10719","0.950951962456458","0.946969454666964","0.954934470245951"
"No","2009","no migration background","East Germany","4234","0.953345910474723","0.947146741490709","0.959545079458737"
"No","2009","direct migration background","West Germany","1503","0.938619280566683","0.926828643210024","0.950409917923341"
"No","2009","direct migration background","East Germany","70","0.876450177622748","0.802468193538071","0.950432161707425"
"No","2009","indirect migration background","West Germany","631","0.936800956701452","0.918431468453172","0.955170444949732"
"No","2009","indirect migration background","East Germany","40","0.959506456829908","0.899170944757938","1.01984196890188"
"Yes","2010","no migration background","West Germany","","","",""
"Yes","2010","no migration background","East Germany","","","",""
"Yes","2010","direct migration background","West Germany","","","",""
"Yes","2010","direct migration background","East Germany","","","",""
"Yes","2010","indirect migration background","West Germany","","","",""
"Yes","2010","indirect migration background","East Germany","","","",""
"No","2010","no migration background","West Germany","","","",""
"No","2010","no migration background","East Germany","","","",""
"No","2010","direct migration background","West Germany","","","",""
"No","2010","direct migration background","East Germany","","","",""
"No","2010","indirect migration background","West Germany","","","",""
"No","2010","indirect migration background","East Germany","","","",""
"Yes","2011","no migration background","West Germany","761","0.0558537189969349","0.051943489637493","0.0597639483563768"
"Yes","2011","no migration background","East Germany","238","0.0465072068791597","0.0405449796651763","0.0524694340931432"
"Yes","2011","direct migration background","West Germany","105","0.0549387605084418","0.0447598304954675","0.0651176905214161"
"Yes","2011","direct migration background","East Germany","8","","",""
"Yes","2011","indirect migration background","West Germany","48","0.0629716621528132","0.0456331686904938","0.0803101556151327"
"Yes","2011","indirect migration background","East Germany","","","",""
"No","2011","no migration background","West Germany","12488","0.944146281003065","0.940236051643623","0.948056510362507"
"No","2011","no migration background","East Germany","4554","0.95349279312084","0.947530565906857","0.959455020334824"
"No","2011","direct migration background","West Germany","1820","0.945061239491558","0.934882309478584","0.955240169504532"
"No","2011","direct migration background","East Germany","87","0.942928875877974","0.896280774782702","0.989576976973245"
"No","2011","indirect migration background","West Germany","706","0.937028337847187","0.919689844384867","0.954366831309506"
"No","2011","indirect migration background","East Germany","45","1","1","1"
"Yes","2012","no migration background","West Germany","","","",""
"Yes","2012","no migration background","East Germany","","","",""
"Yes","2012","direct migration background","West Germany","","","",""
"Yes","2012","direct migration background","East Germany","","","",""
"Yes","2012","indirect migration background","West Germany","","","",""
"Yes","2012","indirect migration background","East Germany","","","",""
"No","2012","no migration background","West Germany","","","",""
"No","2012","no migration background","East Germany","","","",""
"No","2012","direct migration background","West Germany","","","",""
"No","2012","direct migration background","East Germany","","","",""
"No","2012","indirect migration background","West Germany","","","",""
"No","2012","indirect migration background","East Germany","","","",""
"Yes","2013","no migration background","West Germany","813","0.067154416653605","0.0627136601995632","0.0715951731076467"
"Yes","2013","no migration background","East Germany","243","0.0528492426539782","0.0462051895502302","0.0594932957577262"
"Yes","2013","direct migration background","West Germany","107","0.0603273221157468","0.0487153187976404","0.0719393254338532"
"Yes","2013","direct migration background","East Germany","1","","",""
"Yes","2013","indirect migration background","West Germany","53","0.053238934284506","0.036251738097252","0.07022613047176"
"Yes","2013","indirect migration background","East Germany","2","","",""
"No","2013","no migration background","West Germany","11390","0.932845583346395","0.928404826892353","0.937286339800437"
"No","2013","no migration background","East Germany","4113","0.947150757346022","0.940506704242274","0.95379481044977"
"No","2013","direct migration background","West Germany","1508","0.939672677884253","0.928060674566147","0.95128468120236"
"No","2013","direct migration background","East Germany","80","0.88833399054112","0.819745030239924","0.956922950842315"
"No","2013","indirect migration background","West Germany","618","0.946761065715494","0.92977386952824","0.963748261902748"
"No","2013","indirect migration background","East Germany","43","0.996907604106634","0.980685139608559","1.01313006860471"
"Yes","2014","no migration background","West Germany","","","",""
"Yes","2014","no migration background","East Germany","","","",""
"Yes","2014","direct migration background","West Germany","","","",""
"Yes","2014","direct migration background","East Germany","","","",""
"Yes","2014","indirect migration background","West Germany","","","",""
"Yes","2014","indirect migration background","East Germany","","","",""
"No","2014","no migration background","West Germany","","","",""
"No","2014","no migration background","East Germany","","","",""
"No","2014","direct migration background","West Germany","","","",""
"No","2014","direct migration background","East Germany","","","",""
"No","2014","indirect migration background","West Germany","","","",""
"No","2014","indirect migration background","East Germany","","","",""
"Yes","2015","no migration background","West Germany","1031","0.0669375396341064","0.0628447320629442","0.0710303472052686"
"Yes","2015","no migration background","East Germany","282","0.0500890443414779","0.0439771856543723","0.0562009030285836"
"Yes","2015","direct migration background","West Germany","263","0.0721365534886286","0.0641450051053636","0.0801281018718936"
"Yes","2015","direct migration background","East Germany","15","","",""
"Yes","2015","indirect migration background","West Germany","126","0.0818065511720322","0.0680736114922776","0.0955394908517867"
"Yes","2015","indirect migration background","East Germany","2","","",""
"No","2015","no migration background","West Germany","13292","0.933062460365894","0.928969652794731","0.937155267937056"
"No","2015","no migration background","East Germany","4611","0.949910955658522","0.943799096971417","0.956022814345628"
"No","2015","direct migration background","West Germany","3763","0.927863446511371","0.919871898128106","0.935854994894636"
"No","2015","direct migration background","East Germany","280","0.974140590276665","0.956028974075401","0.992252206477929"
"No","2015","indirect migration background","West Germany","1404","0.918193448827968","0.904460509148213","0.931926388507722"
"No","2015","indirect migration background","East Germany","101","0.999032025033422","0.993026496334165","1.00503755373268"
"Yes","2016","no migration background","West Germany","","","",""
"Yes","2016","no migration background","East Germany","","","",""
"Yes","2016","direct migration background","West Germany","","","",""
"Yes","2016","direct migration background","East Germany","","","",""
"Yes","2016","indirect migration background","West Germany","","","",""
"Yes","2016","indirect migration background","East Germany","","","",""
"No","2016","no migration background","West Germany","","","",""
"No","2016","no migration background","East Germany","","","",""
"No","2016","direct migration background","West Germany","","","",""
"No","2016","direct migration background","East Germany","","","",""
"No","2016","indirect migration background","West Germany","","","",""
"No","2016","indirect migration background","East Germany","","","",""
"Yes","2017","no migration background","West Germany","1134","0.0710594570701218","0.0669718011344369","0.0751471130058068"
"Yes","2017","no migration background","East Germany","313","0.0591732649290884","0.0527379090969126","0.0656086207612643"
"Yes","2017","direct migration background","West Germany","300","0.0693311142099053","0.0617378929378962","0.0769243354819145"
"Yes","2017","direct migration background","East Germany","20","","",""
"Yes","2017","indirect migration background","West Germany","143","0.0916101619949547","0.0775103595417648","0.105709964448145"
"Yes","2017","indirect migration background","East Germany","3","","",""
"No","2017","no migration background","West Germany","14042","0.928940542929878","0.924852886994193","0.933028198865563"
"No","2017","no migration background","East Germany","4851","0.940826735070912","0.934391379238736","0.947262090903087"
"No","2017","direct migration background","West Germany","3999","0.930668885790095","0.923075664518086","0.938262107062104"
"No","2017","direct migration background","East Germany","349","0.953743631480821","0.932312924385371","0.975174338576271"
"No","2017","indirect migration background","West Germany","1465","0.908389838005045","0.894290035551855","0.922489640458235"
"No","2017","indirect migration background","East Germany","104","0.991836119317592","0.97478611526954","1.00888612336564"
"Yes","2018","no migration background","West Germany","","","",""
"Yes","2018","no migration background","East Germany","","","",""
"Yes","2018","direct migration background","West Germany","","","",""
"Yes","2018","direct migration background","East Germany","","","",""
"Yes","2018","indirect migration background","West Germany","","","",""
"Yes","2018","indirect migration background","East Germany","","","",""
"No","2018","no migration background","West Germany","","","",""
"No","2018","no migration background","East Germany","","","",""
"No","2018","direct migration background","West Germany","","","",""
"No","2018","direct migration background","East Germany","","","",""
"No","2018","indirect migration background","West Germany","","","",""
"No","2018","indirect migration background","East Germany","","","",""
"Yes","2019","no migration background","West Germany","1164","0.0731886201496146","0.0690319029399755","0.0773453373592537"
"Yes","2019","no migration background","East Germany","337","0.0663215588902934","0.0595312214701422","0.0731118963104446"
"Yes","2019","direct migration background","West Germany","258","0.0677941868522401","0.0595419733541325","0.0760464003503477"
"Yes","2019","direct migration background","East Germany","14","","",""
"Yes","2019","indirect migration background","West Germany","129","0.0858712518557023","0.0720212637366749","0.0997212399747297"
"Yes","2019","indirect migration background","East Germany","9","","",""
"No","2019","no migration background","West Germany","13917","0.926811379850385","0.922654662640746","0.930968097060024"
"No","2019","no migration background","East Germany","4822","0.933678441109707","0.926888103689555","0.940468778529858"
"No","2019","direct migration background","West Germany","3307","0.93220581314776","0.923953599649652","0.940458026645867"
"No","2019","direct migration background","East Germany","277","0.966269662527301","0.945527161899335","0.987012163155266"
"No","2019","indirect migration background","West Germany","1443","0.914128748144298","0.90027876002527","0.927978736263325"
"No","2019","indirect migration background","East Germany","124","0.948090445370438","0.910387888226591","0.985793002514285"
