"ple0017","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","(0) in school","Male","3","","",""
"Yes","2009","(0) in school","Female","4","","",""
"Yes","2009","(1a) inadequately completed","Male","3","","",""
"Yes","2009","(1a) inadequately completed","Female","10","","",""
"Yes","2009","(1b) general elementary school","Male","6","","",""
"Yes","2009","(1b) general elementary school","Female","72","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Male","50","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Female","139","1","1","1"
"Yes","2009","(2b) intermediate general qualification","Male","3","","",""
"Yes","2009","(2b) intermediate general qualification","Female","22","","",""
"Yes","2009","(2a) intermediate vocational","Male","39","1","1","1"
"Yes","2009","(2a) intermediate vocational","Female","211","1","1","1"
"Yes","2009","(2c_gen) general maturity certificate","Male","8","","",""
"Yes","2009","(2c_gen) general maturity certificate","Female","27","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Male","19","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Female","71","1","1","1"
"Yes","2009","(3a) lower tertiary education","Male","18","","",""
"Yes","2009","(3a) lower tertiary education","Female","74","1","1","1"
"Yes","2009","(3b) higher tertiary education","Male","30","1","1","1"
"Yes","2009","(3b) higher tertiary education","Female","91","1","1","1"
"Yes","2010","(0) in school","Male","","","",""
"Yes","2010","(0) in school","Female","","","",""
"Yes","2010","(1a) inadequately completed","Male","","","",""
"Yes","2010","(1a) inadequately completed","Female","","","",""
"Yes","2010","(1b) general elementary school","Male","","","",""
"Yes","2010","(1b) general elementary school","Female","","","",""
"Yes","2010","(1c) basic vocational qualification","Male","","","",""
"Yes","2010","(1c) basic vocational qualification","Female","","","",""
"Yes","2010","(2b) intermediate general qualification","Male","","","",""
"Yes","2010","(2b) intermediate general qualification","Female","","","",""
"Yes","2010","(2a) intermediate vocational","Male","","","",""
"Yes","2010","(2a) intermediate vocational","Female","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2010","(3a) lower tertiary education","Male","","","",""
"Yes","2010","(3a) lower tertiary education","Female","","","",""
"Yes","2010","(3b) higher tertiary education","Male","","","",""
"Yes","2010","(3b) higher tertiary education","Female","","","",""
"Yes","2011","(0) in school","Male","7","","",""
"Yes","2011","(0) in school","Female","4","","",""
"Yes","2011","(1a) inadequately completed","Male","1","","",""
"Yes","2011","(1a) inadequately completed","Female","10","","",""
"Yes","2011","(1b) general elementary school","Male","14","","",""
"Yes","2011","(1b) general elementary school","Female","94","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Male","63","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Female","183","1","1","1"
"Yes","2011","(2b) intermediate general qualification","Male","5","","",""
"Yes","2011","(2b) intermediate general qualification","Female","31","1","1","1"
"Yes","2011","(2a) intermediate vocational","Male","51","1","1","1"
"Yes","2011","(2a) intermediate vocational","Female","263","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","Male","10","","",""
"Yes","2011","(2c_gen) general maturity certificate","Female","36","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","Male","22","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","Female","101","1","1","1"
"Yes","2011","(3a) lower tertiary education","Male","12","","",""
"Yes","2011","(3a) lower tertiary education","Female","77","1","1","1"
"Yes","2011","(3b) higher tertiary education","Male","38","1","1","1"
"Yes","2011","(3b) higher tertiary education","Female","120","1","1","1"
"Yes","2012","(0) in school","Male","","","",""
"Yes","2012","(0) in school","Female","","","",""
"Yes","2012","(1a) inadequately completed","Male","","","",""
"Yes","2012","(1a) inadequately completed","Female","","","",""
"Yes","2012","(1b) general elementary school","Male","","","",""
"Yes","2012","(1b) general elementary school","Female","","","",""
"Yes","2012","(1c) basic vocational qualification","Male","","","",""
"Yes","2012","(1c) basic vocational qualification","Female","","","",""
"Yes","2012","(2b) intermediate general qualification","Male","","","",""
"Yes","2012","(2b) intermediate general qualification","Female","","","",""
"Yes","2012","(2a) intermediate vocational","Male","","","",""
"Yes","2012","(2a) intermediate vocational","Female","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2012","(3a) lower tertiary education","Male","","","",""
"Yes","2012","(3a) lower tertiary education","Female","","","",""
"Yes","2012","(3b) higher tertiary education","Male","","","",""
"Yes","2012","(3b) higher tertiary education","Female","","","",""
"Yes","2013","(0) in school","Male","6","","",""
"Yes","2013","(0) in school","Female","9","","",""
"Yes","2013","(1a) inadequately completed","Male","5","","",""
"Yes","2013","(1a) inadequately completed","Female","16","","",""
"Yes","2013","(1b) general elementary school","Male","13","","",""
"Yes","2013","(1b) general elementary school","Female","80","1","1","1"
"Yes","2013","(1c) basic vocational qualification","Male","70","1","1","1"
"Yes","2013","(1c) basic vocational qualification","Female","197","1","1","1"
"Yes","2013","(2b) intermediate general qualification","Male","4","","",""
"Yes","2013","(2b) intermediate general qualification","Female","31","1","1","1"
"Yes","2013","(2a) intermediate vocational","Male","54","1","1","1"
"Yes","2013","(2a) intermediate vocational","Female","283","1","1","1"
"Yes","2013","(2c_gen) general maturity certificate","Male","9","","",""
"Yes","2013","(2c_gen) general maturity certificate","Female","34","1","1","1"
"Yes","2013","(2c_voc) vocational maturity certificate","Male","22","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","Female","98","1","1","1"
"Yes","2013","(3a) lower tertiary education","Male","17","","",""
"Yes","2013","(3a) lower tertiary education","Female","87","1","1","1"
"Yes","2013","(3b) higher tertiary education","Male","35","1","1","1"
"Yes","2013","(3b) higher tertiary education","Female","119","1","1","1"
"Yes","2014","(0) in school","Male","","","",""
"Yes","2014","(0) in school","Female","","","",""
"Yes","2014","(1a) inadequately completed","Male","","","",""
"Yes","2014","(1a) inadequately completed","Female","","","",""
"Yes","2014","(1b) general elementary school","Male","","","",""
"Yes","2014","(1b) general elementary school","Female","","","",""
"Yes","2014","(1c) basic vocational qualification","Male","","","",""
"Yes","2014","(1c) basic vocational qualification","Female","","","",""
"Yes","2014","(2b) intermediate general qualification","Male","","","",""
"Yes","2014","(2b) intermediate general qualification","Female","","","",""
"Yes","2014","(2a) intermediate vocational","Male","","","",""
"Yes","2014","(2a) intermediate vocational","Female","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2014","(3a) lower tertiary education","Male","","","",""
"Yes","2014","(3a) lower tertiary education","Female","","","",""
"Yes","2014","(3b) higher tertiary education","Male","","","",""
"Yes","2014","(3b) higher tertiary education","Female","","","",""
"Yes","2015","(0) in school","Male","5","","",""
"Yes","2015","(0) in school","Female","15","","",""
"Yes","2015","(1a) inadequately completed","Male","9","","",""
"Yes","2015","(1a) inadequately completed","Female","42","1","1","1"
"Yes","2015","(1b) general elementary school","Male","18","","",""
"Yes","2015","(1b) general elementary school","Female","100","1","1","1"
"Yes","2015","(1c) basic vocational qualification","Male","76","1","1","1"
"Yes","2015","(1c) basic vocational qualification","Female","201","1","1","1"
"Yes","2015","(2b) intermediate general qualification","Male","15","","",""
"Yes","2015","(2b) intermediate general qualification","Female","47","1","1","1"
"Yes","2015","(2a) intermediate vocational","Male","63","1","1","1"
"Yes","2015","(2a) intermediate vocational","Female","400","1","1","1"
"Yes","2015","(2c_gen) general maturity certificate","Male","18","","",""
"Yes","2015","(2c_gen) general maturity certificate","Female","73","1","1","1"
"Yes","2015","(2c_voc) vocational maturity certificate","Male","28","","",""
"Yes","2015","(2c_voc) vocational maturity certificate","Female","178","1","1","1"
"Yes","2015","(3a) lower tertiary education","Male","28","","",""
"Yes","2015","(3a) lower tertiary education","Female","101","1","1","1"
"Yes","2015","(3b) higher tertiary education","Male","55","1","1","1"
"Yes","2015","(3b) higher tertiary education","Female","196","1","1","1"
"Yes","2016","(0) in school","Male","","","",""
"Yes","2016","(0) in school","Female","","","",""
"Yes","2016","(1a) inadequately completed","Male","","","",""
"Yes","2016","(1a) inadequately completed","Female","","","",""
"Yes","2016","(1b) general elementary school","Male","","","",""
"Yes","2016","(1b) general elementary school","Female","","","",""
"Yes","2016","(1c) basic vocational qualification","Male","","","",""
"Yes","2016","(1c) basic vocational qualification","Female","","","",""
"Yes","2016","(2b) intermediate general qualification","Male","","","",""
"Yes","2016","(2b) intermediate general qualification","Female","","","",""
"Yes","2016","(2a) intermediate vocational","Male","","","",""
"Yes","2016","(2a) intermediate vocational","Female","","","",""
"Yes","2016","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2016","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2016","(3a) lower tertiary education","Male","","","",""
"Yes","2016","(3a) lower tertiary education","Female","","","",""
"Yes","2016","(3b) higher tertiary education","Male","","","",""
"Yes","2016","(3b) higher tertiary education","Female","","","",""
"Yes","2017","(0) in school","Male","14","","",""
"Yes","2017","(0) in school","Female","19","","",""
"Yes","2017","(1a) inadequately completed","Male","15","","",""
"Yes","2017","(1a) inadequately completed","Female","44","1","1","1"
"Yes","2017","(1b) general elementary school","Male","25","","",""
"Yes","2017","(1b) general elementary school","Female","113","1","1","1"
"Yes","2017","(1c) basic vocational qualification","Male","74","1","1","1"
"Yes","2017","(1c) basic vocational qualification","Female","200","1","1","1"
"Yes","2017","(2b) intermediate general qualification","Male","13","","",""
"Yes","2017","(2b) intermediate general qualification","Female","56","1","1","1"
"Yes","2017","(2a) intermediate vocational","Male","77","1","1","1"
"Yes","2017","(2a) intermediate vocational","Female","417","1","1","1"
"Yes","2017","(2c_gen) general maturity certificate","Male","33","1","1","1"
"Yes","2017","(2c_gen) general maturity certificate","Female","81","1","1","1"
"Yes","2017","(2c_voc) vocational maturity certificate","Male","28","","",""
"Yes","2017","(2c_voc) vocational maturity certificate","Female","202","1","1","1"
"Yes","2017","(3a) lower tertiary education","Male","31","1","1","1"
"Yes","2017","(3a) lower tertiary education","Female","105","1","1","1"
"Yes","2017","(3b) higher tertiary education","Male","71","1","1","1"
"Yes","2017","(3b) higher tertiary education","Female","230","1","1","1"
"Yes","2018","(0) in school","Male","","","",""
"Yes","2018","(0) in school","Female","","","",""
"Yes","2018","(1a) inadequately completed","Male","","","",""
"Yes","2018","(1a) inadequately completed","Female","","","",""
"Yes","2018","(1b) general elementary school","Male","","","",""
"Yes","2018","(1b) general elementary school","Female","","","",""
"Yes","2018","(1c) basic vocational qualification","Male","","","",""
"Yes","2018","(1c) basic vocational qualification","Female","","","",""
"Yes","2018","(2b) intermediate general qualification","Male","","","",""
"Yes","2018","(2b) intermediate general qualification","Female","","","",""
"Yes","2018","(2a) intermediate vocational","Male","","","",""
"Yes","2018","(2a) intermediate vocational","Female","","","",""
"Yes","2018","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2018","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2018","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2018","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2018","(3a) lower tertiary education","Male","","","",""
"Yes","2018","(3a) lower tertiary education","Female","","","",""
"Yes","2018","(3b) higher tertiary education","Male","","","",""
"Yes","2018","(3b) higher tertiary education","Female","","","",""
"Yes","2019","(0) in school","Male","12","","",""
"Yes","2019","(0) in school","Female","14","","",""
"Yes","2019","(1a) inadequately completed","Male","7","","",""
"Yes","2019","(1a) inadequately completed","Female","31","1","1","1"
"Yes","2019","(1b) general elementary school","Male","19","","",""
"Yes","2019","(1b) general elementary school","Female","97","1","1","1"
"Yes","2019","(1c) basic vocational qualification","Male","81","1","1","1"
"Yes","2019","(1c) basic vocational qualification","Female","189","1","1","1"
"Yes","2019","(2b) intermediate general qualification","Male","14","","",""
"Yes","2019","(2b) intermediate general qualification","Female","54","1","1","1"
"Yes","2019","(2a) intermediate vocational","Male","77","1","1","1"
"Yes","2019","(2a) intermediate vocational","Female","411","1","1","1"
"Yes","2019","(2c_gen) general maturity certificate","Male","33","1","1","1"
"Yes","2019","(2c_gen) general maturity certificate","Female","87","1","1","1"
"Yes","2019","(2c_voc) vocational maturity certificate","Male","35","1","1","1"
"Yes","2019","(2c_voc) vocational maturity certificate","Female","190","1","1","1"
"Yes","2019","(3a) lower tertiary education","Male","35","1","1","1"
"Yes","2019","(3a) lower tertiary education","Female","125","1","1","1"
"Yes","2019","(3b) higher tertiary education","Male","98","1","1","1"
"Yes","2019","(3b) higher tertiary education","Female","242","1","1","1"
