"ple0017","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","no migration background","212","1","1","1"
"Yes","2009","lower secondary degree","direct migration background","18","","",""
"Yes","2009","lower secondary degree","indirect migration background","17","","",""
"Yes","2009","secondary school degree","no migration background","291","1","1","1"
"Yes","2009","secondary school degree","direct migration background","13","","",""
"Yes","2009","secondary school degree","indirect migration background","11","","",""
"Yes","2009","college entrance qualification","no migration background","251","1","1","1"
"Yes","2009","college entrance qualification","direct migration background","13","","",""
"Yes","2009","college entrance qualification","indirect migration background","10","","",""
"Yes","2009","Other degree","no migration background","6","","",""
"Yes","2009","Other degree","direct migration background","37","1","1","1"
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","8","","",""
"Yes","2009","no degree/no degree yet","direct migration background","9","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","3","","",""
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","276","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","24","","",""
"Yes","2011","lower secondary degree","indirect migration background","21","","",""
"Yes","2011","secondary school degree","no migration background","366","1","1","1"
"Yes","2011","secondary school degree","direct migration background","11","","",""
"Yes","2011","secondary school degree","indirect migration background","13","","",""
"Yes","2011","college entrance qualification","no migration background","314","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","13","","",""
"Yes","2011","college entrance qualification","indirect migration background","9","","",""
"Yes","2011","Other degree","no migration background","12","","",""
"Yes","2011","Other degree","direct migration background","56","1","1","1"
"Yes","2011","Other degree","indirect migration background","2","","",""
"Yes","2011","no degree/no degree yet","no migration background","16","","",""
"Yes","2011","no degree/no degree yet","direct migration background","5","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","299","1","1","1"
"Yes","2013","lower secondary degree","direct migration background","16","","",""
"Yes","2013","lower secondary degree","indirect migration background","16","","",""
"Yes","2013","secondary school degree","no migration background","395","1","1","1"
"Yes","2013","secondary school degree","direct migration background","5","","",""
"Yes","2013","secondary school degree","indirect migration background","17","","",""
"Yes","2013","college entrance qualification","no migration background","304","1","1","1"
"Yes","2013","college entrance qualification","direct migration background","13","","",""
"Yes","2013","college entrance qualification","indirect migration background","11","","",""
"Yes","2013","Other degree","no migration background","9","","",""
"Yes","2013","Other degree","direct migration background","67","1","1","1"
"Yes","2013","Other degree","indirect migration background","1","","",""
"Yes","2013","no degree/no degree yet","no migration background","26","","",""
"Yes","2013","no degree/no degree yet","direct migration background","5","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","5","","",""
"Yes","2014","lower secondary degree","no migration background","","","",""
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","","","",""
"Yes","2014","secondary school degree","no migration background","","","",""
"Yes","2014","secondary school degree","direct migration background","","","",""
"Yes","2014","secondary school degree","indirect migration background","","","",""
"Yes","2014","college entrance qualification","no migration background","","","",""
"Yes","2014","college entrance qualification","direct migration background","","","",""
"Yes","2014","college entrance qualification","indirect migration background","","","",""
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","","","",""
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"Yes","2015","lower secondary degree","no migration background","286","1","1","1"
"Yes","2015","lower secondary degree","direct migration background","19","","",""
"Yes","2015","lower secondary degree","indirect migration background","26","","",""
"Yes","2015","secondary school degree","no migration background","509","1","1","1"
"Yes","2015","secondary school degree","direct migration background","25","","",""
"Yes","2015","secondary school degree","indirect migration background","35","1","1","1"
"Yes","2015","college entrance qualification","no migration background","433","1","1","1"
"Yes","2015","college entrance qualification","direct migration background","31","1","1","1"
"Yes","2015","college entrance qualification","indirect migration background","42","1","1","1"
"Yes","2015","Other degree","no migration background","9","","",""
"Yes","2015","Other degree","direct migration background","173","1","1","1"
"Yes","2015","Other degree","indirect migration background","5","","",""
"Yes","2015","no degree/no degree yet","no migration background","36","1","1","1"
