"ple0017","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","52","1","1","1"
"Yes","2009","lower secondary degree","Female","195","1","1","1"
"Yes","2009","secondary school degree","Male","49","1","1","1"
"Yes","2009","secondary school degree","Female","266","1","1","1"
"Yes","2009","college entrance qualification","Male","63","1","1","1"
"Yes","2009","college entrance qualification","Female","211","1","1","1"
"Yes","2009","Other degree","Male","9","","",""
"Yes","2009","Other degree","Female","34","1","1","1"
"Yes","2009","no degree/no degree yet","Male","6","","",""
"Yes","2009","no degree/no degree yet","Female","14","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","74","1","1","1"
"Yes","2011","lower secondary degree","Female","247","1","1","1"
"Yes","2011","secondary school degree","Male","65","1","1","1"
"Yes","2011","secondary school degree","Female","325","1","1","1"
"Yes","2011","college entrance qualification","Male","69","1","1","1"
"Yes","2011","college entrance qualification","Female","267","1","1","1"
"Yes","2011","Other degree","Male","5","","",""
"Yes","2011","Other degree","Female","65","1","1","1"
"Yes","2011","no degree/no degree yet","Male","8","","",""
"Yes","2011","no degree/no degree yet","Female","14","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","75","1","1","1"
"Yes","2013","lower secondary degree","Female","256","1","1","1"
"Yes","2013","secondary school degree","Male","64","1","1","1"
"Yes","2013","secondary school degree","Female","353","1","1","1"
"Yes","2013","college entrance qualification","Male","71","1","1","1"
"Yes","2013","college entrance qualification","Female","257","1","1","1"
"Yes","2013","Other degree","Male","14","","",""
"Yes","2013","Other degree","Female","63","1","1","1"
"Yes","2013","no degree/no degree yet","Male","11","","",""
"Yes","2013","no degree/no degree yet","Female","25","","",""
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","84","1","1","1"
"Yes","2015","lower secondary degree","Female","247","1","1","1"
"Yes","2015","secondary school degree","Male","85","1","1","1"
"Yes","2015","secondary school degree","Female","484","1","1","1"
"Yes","2015","college entrance qualification","Male","99","1","1","1"
"Yes","2015","college entrance qualification","Female","407","1","1","1"
"Yes","2015","Other degree","Male","32","1","1","1"
"Yes","2015","Other degree","Female","155","1","1","1"
"Yes","2015","no degree/no degree yet","Male","14","","",""
"Yes","2015","no degree/no degree yet","Female","57","1","1","1"
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","89","1","1","1"
"Yes","2017","lower secondary degree","Female","259","1","1","1"
"Yes","2017","secondary school degree","Male","99","1","1","1"
"Yes","2017","secondary school degree","Female","503","1","1","1"
"Yes","2017","college entrance qualification","Male","120","1","1","1"
"Yes","2017","college entrance qualification","Female","458","1","1","1"
"Yes","2017","Other degree","Male","42","1","1","1"
"Yes","2017","Other degree","Female","181","1","1","1"
"Yes","2017","no degree/no degree yet","Male","29","","",""
"Yes","2017","no degree/no degree yet","Female","64","1","1","1"
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","88","1","1","1"
"Yes","2019","lower secondary degree","Female","242","1","1","1"
"Yes","2019","secondary school degree","Male","101","1","1","1"
"Yes","2019","secondary school degree","Female","509","1","1","1"
"Yes","2019","college entrance qualification","Male","161","1","1","1"
"Yes","2019","college entrance qualification","Female","482","1","1","1"
"Yes","2019","Other degree","Male","39","1","1","1"
"Yes","2019","Other degree","Female","155","1","1","1"
"Yes","2019","no degree/no degree yet","Male","19","","",""
"Yes","2019","no degree/no degree yet","Female","45","1","1","1"
