"ple0017","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","29","","",""
"Yes","2009","16-34 y.","secondary school degree","72","1","1","1"
"Yes","2009","16-34 y.","college entrance qualification","81","1","1","1"
"Yes","2009","16-34 y.","Other degree","4","","",""
"Yes","2009","16-34 y.","no degree/no degree yet","8","","",""
"Yes","2009","35-65 y.","lower secondary degree","142","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","217","1","1","1"
"Yes","2009","35-65 y.","college entrance qualification","169","1","1","1"
"Yes","2009","35-65 y.","Other degree","33","1","1","1"
"Yes","2009","35-65 y.","no degree/no degree yet","11","","",""
"Yes","2009","66 and older","lower secondary degree","76","1","1","1"
"Yes","2009","66 and older","secondary school degree","26","","",""
"Yes","2009","66 and older","college entrance qualification","24","","",""
"Yes","2009","66 and older","Other degree","6","","",""
"Yes","2009","66 and older","no degree/no degree yet","1","","",""
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","37","1","1","1"
"Yes","2011","16-34 y.","secondary school degree","96","1","1","1"
"Yes","2011","16-34 y.","college entrance qualification","103","1","1","1"
"Yes","2011","16-34 y.","Other degree","12","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","12","","",""
"Yes","2011","35-65 y.","lower secondary degree","179","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","260","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","205","1","1","1"
"Yes","2011","35-65 y.","Other degree","47","1","1","1"
"Yes","2011","35-65 y.","no degree/no degree yet","8","","",""
"Yes","2011","66 and older","lower secondary degree","105","1","1","1"
"Yes","2011","66 and older","secondary school degree","34","1","1","1"
"Yes","2011","66 and older","college entrance qualification","28","","",""
"Yes","2011","66 and older","Other degree","11","","",""
"Yes","2011","66 and older","no degree/no degree yet","2","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
"Yes","2013","16-34 y.","lower secondary degree","38","1","1","1"
"Yes","2013","16-34 y.","secondary school degree","88","1","1","1"
"Yes","2013","16-34 y.","college entrance qualification","91","1","1","1"
"Yes","2013","16-34 y.","Other degree","11","","",""
"Yes","2013","16-34 y.","no degree/no degree yet","17","","",""
"Yes","2013","35-65 y.","lower secondary degree","189","1","1","1"
"Yes","2013","35-65 y.","secondary school degree","288","1","1","1"
"Yes","2013","35-65 y.","college entrance qualification","206","1","1","1"
"Yes","2013","35-65 y.","Other degree","57","1","1","1"
"Yes","2013","35-65 y.","no degree/no degree yet","15","","",""
"Yes","2013","66 and older","lower secondary degree","104","1","1","1"
"Yes","2013","66 and older","secondary school degree","41","1","1","1"
"Yes","2013","66 and older","college entrance qualification","31","1","1","1"
"Yes","2013","66 and older","Other degree","9","","",""
"Yes","2013","66 and older","no degree/no degree yet","4","","",""
"Yes","2014","16-34 y.","lower secondary degree","","","",""
"Yes","2014","16-34 y.","secondary school degree","","","",""
"Yes","2014","16-34 y.","college entrance qualification","","","",""
"Yes","2014","16-34 y.","Other degree","","","",""
"Yes","2014","16-34 y.","no degree/no degree yet","","","",""
"Yes","2014","35-65 y.","lower secondary degree","","","",""
"Yes","2014","35-65 y.","secondary school degree","","","",""
"Yes","2014","35-65 y.","college entrance qualification","","","",""
"Yes","2014","35-65 y.","Other degree","","","",""
"Yes","2014","35-65 y.","no degree/no degree yet","","","",""
"Yes","2014","66 and older","lower secondary degree","","","",""
"Yes","2014","66 and older","secondary school degree","","","",""
"Yes","2014","66 and older","college entrance qualification","","","",""
"Yes","2014","66 and older","Other degree","","","",""
"Yes","2014","66 and older","no degree/no degree yet","","","",""
"Yes","2015","16-34 y.","lower secondary degree","56","1","1","1"
"Yes","2015","16-34 y.","secondary school degree","128","1","1","1"
"Yes","2015","16-34 y.","college entrance qualification","133","1","1","1"
"Yes","2015","16-34 y.","Other degree","34","1","1","1"
"Yes","2015","16-34 y.","no degree/no degree yet","31","1","1","1"
"Yes","2015","35-65 y.","lower secondary degree","186","1","1","1"
"Yes","2015","35-65 y.","secondary school degree","399","1","1","1"
"Yes","2015","35-65 y.","college entrance qualification","339","1","1","1"
"Yes","2015","35-65 y.","Other degree","138","1","1","1"
"Yes","2015","35-65 y.","no degree/no degree yet","37","1","1","1"
"Yes","2015","66 and older","lower secondary degree","89","1","1","1"
"Yes","2015","66 and older","secondary school degree","42","1","1","1"
"Yes","2015","66 and older","college entrance qualification","34","1","1","1"
"Yes","2015","66 and older","Other degree","15","","",""
"Yes","2015","66 and older","no degree/no degree yet","3","","",""
"Yes","2016","16-34 y.","lower secondary degree","","","",""
"Yes","2016","16-34 y.","secondary school degree","","","",""
"Yes","2016","16-34 y.","college entrance qualification","","","",""
"Yes","2016","16-34 y.","Other degree","","","",""
"Yes","2016","16-34 y.","no degree/no degree yet","","","",""
"Yes","2016","35-65 y.","lower secondary degree","","","",""
"Yes","2016","35-65 y.","secondary school degree","","","",""
"Yes","2016","35-65 y.","college entrance qualification","","","",""
"Yes","2016","35-65 y.","Other degree","","","",""
"Yes","2016","35-65 y.","no degree/no degree yet","","","",""
"Yes","2016","66 and older","lower secondary degree","","","",""
"Yes","2016","66 and older","secondary school degree","","","",""
"Yes","2016","66 and older","college entrance qualification","","","",""
"Yes","2016","66 and older","Other degree","","","",""
"Yes","2016","66 and older","no degree/no degree yet","","","",""
"Yes","2017","16-34 y.","lower secondary degree","57","1","1","1"
"Yes","2017","16-34 y.","secondary school degree","119","1","1","1"
"Yes","2017","16-34 y.","college entrance qualification","163","1","1","1"
"Yes","2017","16-34 y.","Other degree","32","1","1","1"
"Yes","2017","16-34 y.","no degree/no degree yet","44","1","1","1"
"Yes","2017","35-65 y.","lower secondary degree","213","1","1","1"
"Yes","2017","35-65 y.","secondary school degree","433","1","1","1"
"Yes","2017","35-65 y.","college entrance qualification","379","1","1","1"
"Yes","2017","35-65 y.","Other degree","174","1","1","1"
"Yes","2017","35-65 y.","no degree/no degree yet","44","1","1","1"
"Yes","2017","66 and older","lower secondary degree","78","1","1","1"
"Yes","2017","66 and older","secondary school degree","50","1","1","1"
"Yes","2017","66 and older","college entrance qualification","36","1","1","1"
"Yes","2017","66 and older","Other degree","17","","",""
"Yes","2017","66 and older","no degree/no degree yet","5","","",""
"Yes","2018","16-34 y.","lower secondary degree","","","",""
"Yes","2018","16-34 y.","secondary school degree","","","",""
"Yes","2018","16-34 y.","college entrance qualification","","","",""
"Yes","2018","16-34 y.","Other degree","","","",""
"Yes","2018","16-34 y.","no degree/no degree yet","","","",""
"Yes","2018","35-65 y.","lower secondary degree","","","",""
"Yes","2018","35-65 y.","secondary school degree","","","",""
"Yes","2018","35-65 y.","college entrance qualification","","","",""
"Yes","2018","35-65 y.","Other degree","","","",""
"Yes","2018","35-65 y.","no degree/no degree yet","","","",""
"Yes","2018","66 and older","lower secondary degree","","","",""
"Yes","2018","66 and older","secondary school degree","","","",""
"Yes","2018","66 and older","college entrance qualification","","","",""
"Yes","2018","66 and older","Other degree","","","",""
"Yes","2018","66 and older","no degree/no degree yet","","","",""
"Yes","2019","16-34 y.","lower secondary degree","58","1","1","1"
"Yes","2019","16-34 y.","secondary school degree","114","1","1","1"
"Yes","2019","16-34 y.","college entrance qualification","156","1","1","1"
"Yes","2019","16-34 y.","Other degree","19","","",""
"Yes","2019","16-34 y.","no degree/no degree yet","32","1","1","1"
"Yes","2019","35-65 y.","lower secondary degree","183","1","1","1"
"Yes","2019","35-65 y.","secondary school degree","441","1","1","1"
"Yes","2019","35-65 y.","college entrance qualification","440","1","1","1"
"Yes","2019","35-65 y.","Other degree","157","1","1","1"
"Yes","2019","35-65 y.","no degree/no degree yet","27","","",""
"Yes","2019","66 and older","lower secondary degree","89","1","1","1"
"Yes","2019","66 and older","secondary school degree","56","1","1","1"
"Yes","2019","66 and older","college entrance qualification","47","1","1","1"
"Yes","2019","66 and older","Other degree","18","","",""
"Yes","2019","66 and older","no degree/no degree yet","5","","",""
