"ple0017","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","in school","","","",""
"Yes","2009","lower secondary degree","inadequately","","","",""
"Yes","2009","lower secondary degree","general elemantary","64","1","1","1"
"Yes","2009","lower secondary degree","middle vocational","172","1","1","1"
"Yes","2009","lower secondary degree","vocational + Abi","","","",""
"Yes","2009","lower secondary degree","higher vocational","6","","",""
"Yes","2009","lower secondary degree","higher education","5","","",""
"Yes","2009","secondary school degree","in school","","","",""
"Yes","2009","secondary school degree","inadequately","","","",""
"Yes","2009","secondary school degree","general elemantary","25","","",""
"Yes","2009","secondary school degree","middle vocational","212","1","1","1"
"Yes","2009","secondary school degree","vocational + Abi","1","","",""
"Yes","2009","secondary school degree","higher vocational","37","1","1","1"
"Yes","2009","secondary school degree","higher education","40","1","1","1"
"Yes","2009","college entrance qualification","in school","","","",""
"Yes","2009","college entrance qualification","inadequately","","","",""
"Yes","2009","college entrance qualification","general elemantary","","","",""
"Yes","2009","college entrance qualification","middle vocational","32","1","1","1"
"Yes","2009","college entrance qualification","vocational + Abi","60","1","1","1"
"Yes","2009","college entrance qualification","higher vocational","24","","",""
"Yes","2009","college entrance qualification","higher education","158","1","1","1"
"Yes","2009","Other degree","in school","","","",""
"Yes","2009","Other degree","inadequately","1","","",""
"Yes","2009","Other degree","general elemantary","13","","",""
"Yes","2009","Other degree","middle vocational","12","","",""
"Yes","2009","Other degree","vocational + Abi","4","","",""
"Yes","2009","Other degree","higher vocational","4","","",""
"Yes","2009","Other degree","higher education","9","","",""
"Yes","2009","no degree/no degree yet","in school","7","","",""
"Yes","2009","no degree/no degree yet","inadequately","10","","",""
"Yes","2009","no degree/no degree yet","general elemantary","","","",""
"Yes","2009","no degree/no degree yet","middle vocational","3","","",""
"Yes","2009","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2009","no degree/no degree yet","higher vocational","","","",""
"Yes","2009","no degree/no degree yet","higher education","","","",""
"Yes","2010","lower secondary degree","in school","","","",""
"Yes","2010","lower secondary degree","inadequately","","","",""
"Yes","2010","lower secondary degree","general elemantary","","","",""
"Yes","2010","lower secondary degree","middle vocational","","","",""
"Yes","2010","lower secondary degree","vocational + Abi","","","",""
"Yes","2010","lower secondary degree","higher vocational","","","",""
"Yes","2010","lower secondary degree","higher education","","","",""
"Yes","2010","secondary school degree","in school","","","",""
"Yes","2010","secondary school degree","inadequately","","","",""
"Yes","2010","secondary school degree","general elemantary","","","",""
"Yes","2010","secondary school degree","middle vocational","","","",""
"Yes","2010","secondary school degree","vocational + Abi","","","",""
"Yes","2010","secondary school degree","higher vocational","","","",""
"Yes","2010","secondary school degree","higher education","","","",""
"Yes","2010","college entrance qualification","in school","","","",""
"Yes","2010","college entrance qualification","inadequately","","","",""
"Yes","2010","college entrance qualification","general elemantary","","","",""
"Yes","2010","college entrance qualification","middle vocational","","","",""
"Yes","2010","college entrance qualification","vocational + Abi","","","",""
"Yes","2010","college entrance qualification","higher vocational","","","",""
"Yes","2010","college entrance qualification","higher education","","","",""
"Yes","2010","Other degree","in school","","","",""
"Yes","2010","Other degree","inadequately","","","",""
"Yes","2010","Other degree","general elemantary","","","",""
"Yes","2010","Other degree","middle vocational","","","",""
"Yes","2010","Other degree","vocational + Abi","","","",""
"Yes","2010","Other degree","higher vocational","","","",""
