"ple0017","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","direct migration background","326","0.948632804062921","0.925203310553925","0.972062297571917","2"
"No","2009","66 and older","indirect migration background","6","","","","2"
"No","2009","16-34 y.","no migration background","3010","0.943640704711791","0.935637961905657","0.951643447517924","2"
"No","2009","16-34 y.","indirect migration background","491","0.954786637951154","0.936894189341743","0.972679086560565","2"
"No","2009","35-65 y.","no migration background","8191","0.944818848950404","0.940015624680409","0.949622073220398","2"
"No","2009","35-65 y.","direct migration background","959","0.920818465776393","0.904320159190182","0.937316772362603","2"
"No","2009","66 and older","no migration background","3752","0.971172624430197","0.965902374808103","0.976442874052292","2"
"No","2009","16-34 y.","direct migration background","288","0.973058655977028","0.954675541235433","0.991441770718622","2"
"No","2009","35-65 y.","indirect migration background","174","0.877317819054558","0.830791293024673","0.923844345084444","2"
"Yes","2009","16-34 y.","no migration background","180","0.0563592952882095","0.0483565524820756","0.0643620380943433","1"
"Yes","2009","16-34 y.","direct migration background","10","","","","1"
"Yes","2009","16-34 y.","indirect migration background","27","","","","1"
"Yes","2009","35-65 y.","no migration background","490","0.0551811510495961","0.0503779267796016","0.0599843753195906","1"
"Yes","2009","35-65 y.","direct migration background","70","0.0791815342236073","0.0626832276373969","0.0956798408098176","1"
"Yes","2009","35-65 y.","indirect migration background","17","","","","1"
"Yes","2009","66 and older","no migration background","120","0.0288273755698027","0.0235571259477079","0.0340976251918974","1"
"Yes","2009","66 and older","direct migration background","15","","","","1"
"Yes","2009","66 and older","indirect migration background","","","","","1"
"No","2010","16-34 y.","no migration background","","","","","2"
"No","2010","16-34 y.","indirect migration background","","","","","2"
"No","2010","35-65 y.","no migration background","","","","","2"
"No","2010","35-65 y.","direct migration background","","","","","2"
"No","2010","66 and older","no migration background","","","","","2"
"No","2010","66 and older","direct migration background","","","","","2"
"No","2010","66 and older","indirect migration background","","","","","2"
"No","2010","16-34 y.","direct migration background","","","","","2"
"No","2010","35-65 y.","indirect migration background","","","","","2"
"Yes","2010","16-34 y.","no migration background","","","","","1"
"Yes","2010","16-34 y.","direct migration background","","","","","1"
"Yes","2010","16-34 y.","indirect migration background","","","","","1"
"Yes","2010","35-65 y.","no migration background","","","","","1"
"Yes","2010","35-65 y.","direct migration background","","","","","1"
"Yes","2010","35-65 y.","indirect migration background","","","","","1"
"Yes","2010","66 and older","no migration background","","","","","1"
"Yes","2010","66 and older","direct migration background","","","","","1"
"Yes","2010","66 and older","indirect migration background","","","","","1"
"No","2011","16-34 y.","no migration background","3177","0.937569762659107","0.929456632390454","0.945682892927759","2"
"No","2011","16-34 y.","direct migration background","355","0.966832290732002","0.948561042401234","0.985103539062771","2"
"No","2011","16-34 y.","indirect migration background","500","0.950929044016952","0.932398031260556","0.969460056773349","2"
"No","2011","35-65 y.","no migration background","9267","0.939810496249029","0.935116701428935","0.944504291069122","2"
"No","2011","35-65 y.","direct migration background","1146","0.930739433884541","0.916544635598288","0.944934232170794","2"
"No","2011","66 and older","no migration background","4598","0.963353440254579","0.958016862676036","0.968690017833122","2"
"No","2011","66 and older","direct migration background","406","0.964774127627621","0.947185353637401","0.982362901617841","2"
"No","2011","66 and older","indirect migration background","6","","","","2"
"No","2011","35-65 y.","indirect migration background","245","0.902557528655089","0.867249372616424","0.937865684693754","2"
"Yes","2011","16-34 y.","no migration background","239","0.0624302373408934","0.0543171070722411","0.0705433676095458","1"
"Yes","2011","16-34 y.","direct migration background","14","","","","1"
"Yes","2011","16-34 y.","indirect migration background","22","","","","1"
"Yes","2011","35-65 y.","no migration background","596","0.0601895037509712","0.0554957089308776","0.0648832985710648","1"
"Yes","2011","35-65 y.","direct migration background","83","0.069260566115459","0.0550657678292063","0.0834553644017117","1"
"Yes","2011","35-65 y.","indirect migration background","26","","","","1"
"Yes","2011","66 and older","no migration background","164","0.0366465597454212","0.0313099821668782","0.0419831373239641","1"
"Yes","2011","66 and older","direct migration background","16","","","","1"
"Yes","2011","66 and older","indirect migration background","","","","","1"
"No","2012","16-34 y.","no migration background","","","","","2"
"No","2012","16-34 y.","direct migration background","","","","","2"
"No","2012","16-34 y.","indirect migration background","","","","","2"
"No","2012","35-65 y.","no migration background","","","","","2"
"No","2012","35-65 y.","direct migration background","","","","","2"
"No","2012","66 and older","no migration background","","","","","2"
"No","2012","66 and older","direct migration background","","","","","2"
"No","2012","66 and older","indirect migration background","","","","","2"
"No","2012","35-65 y.","indirect migration background","","","","","2"
"Yes","2012","16-34 y.","no migration background","","","","","1"
"Yes","2012","16-34 y.","direct migration background","","","","","1"
"Yes","2012","16-34 y.","indirect migration background","","","","","1"
"Yes","2012","35-65 y.","no migration background","","","","","1"
"Yes","2012","35-65 y.","direct migration background","","","","","1"
"Yes","2012","35-65 y.","indirect migration background","","","","","1"
"Yes","2012","66 and older","no migration background","","","","","1"
"Yes","2012","66 and older","direct migration background","","","","","1"
"Yes","2012","66 and older","indirect migration background","","","","","1"
"No","2013","16-34 y.","no migration background","2773","0.926027426695283","0.9166587216772","0.935396131713366","2"
"No","2013","16-34 y.","direct migration background","272","0.980944795936655","0.965099726006627","0.996789865866683","2"
"No","2013","16-34 y.","indirect migration background","392","0.946310563090727","0.924880922143962","0.967740204037491","2"
"No","2013","35-65 y.","no migration background","8285","0.926275269703912","0.920858305541092","0.931692233866732","2"
"No","2013","35-65 y.","direct migration background","953","0.910558230090528","0.893163733037961","0.927952727143095","2"
"No","2013","35-65 y.","indirect migration background","264","0.95265191173606","0.928037842358053","0.977265981114066","2"
"No","2013","66 and older","no migration background","4445","0.958711155266402","0.952974742907078","0.964447567625727","2"
"No","2013","66 and older","direct migration background","363","0.96951710851984","0.952140701245856","0.986893515793824","2"
"No","2013","66 and older","indirect migration background","5","","","","2"
"Yes","2013","16-34 y.","no migration background","225","0.0739725733047171","0.0646038682866341","0.0833412783228","1"
"Yes","2013","16-34 y.","direct migration background","14","","","","1"
"Yes","2013","16-34 y.","indirect migration background","33","0.0536894369092734","0.032259795962509","0.0751190778560378","1"
"Yes","2013","35-65 y.","no migration background","655","0.073724730296088","0.068307766133268","0.079141694458908","1"
"Yes","2013","35-65 y.","direct migration background","81","0.0894417699094718","0.0720472728569051","0.106836266962039","1"
"Yes","2013","35-65 y.","indirect migration background","22","","","","1"
"Yes","2013","66 and older","no migration background","176","0.0412888447335977","0.035552432374273","0.0470252570929224","1"
"Yes","2013","66 and older","direct migration background","13","","","","1"
"Yes","2013","66 and older","indirect migration background","","","","","1"
"No","2014","16-34 y.","no migration background","","","","","2"
"No","2014","16-34 y.","direct migration background","","","","","2"
"No","2014","16-34 y.","indirect migration background","","","","","2"
"No","2014","35-65 y.","no migration background","","","","","2"
"No","2014","35-65 y.","direct migration background","","","","","2"
"No","2014","35-65 y.","indirect migration background","","","","","2"
"No","2014","66 and older","no migration background","","","","","2"
"No","2014","66 and older","direct migration background","","","","","2"
"No","2014","66 and older","indirect migration background","","","","","2"
"Yes","2014","16-34 y.","no migration background","","","","","1"
"Yes","2014","16-34 y.","direct migration background","","","","","1"
"Yes","2014","16-34 y.","indirect migration background","","","","","1"
"Yes","2014","35-65 y.","no migration background","","","","","1"
"Yes","2014","35-65 y.","direct migration background","","","","","1"
"Yes","2014","35-65 y.","indirect migration background","","","","","1"
"Yes","2014","66 and older","no migration background","","","","","1"
"Yes","2014","66 and older","direct migration background","","","","","1"
"Yes","2014","66 and older","indirect migration background","","","","","1"
"No","2015","16-34 y.","no migration background","3436","0.926612893687148","0.9182465379887","0.934979249385597","2"
"No","2015","16-34 y.","direct migration background","1017","0.940811150289465","0.92673747939109","0.954884821187841","2"
"No","2015","16-34 y.","indirect migration background","894","0.920282164971187","0.903130606545529","0.937433723396844","2"
"No","2015","35-65 y.","no migration background","10117","0.928102484656717","0.92326746012684","0.932937509186594","2"
"No","2015","35-65 y.","direct migration background","2615","0.920318863588525","0.910313497908345","0.930324229268705","2"
"No","2015","35-65 y.","indirect migration background","606","0.923562598007291","0.903444041516511","0.943681154498071","2"
"No","2015","66 and older","no migration background","4350","0.959119733564559","0.953346485848208","0.964892981280909","2"
"No","2015","66 and older","direct migration background","411","0.950417265814392","0.929827256263322","0.971007275365462","2"
"No","2015","66 and older","indirect migration background","5","","","","2"
"Yes","2015","16-34 y.","no migration background","296","0.0733871063128517","0.0650207506144033","0.0817534620113001","1"
"Yes","2015","16-34 y.","direct migration background","63","0.0591888497105347","0.0451151788121592","0.0732625206089102","1"
"Yes","2015","16-34 y.","indirect migration background","64","0.0797178350288134","0.0625662766031562","0.0968693934544706","1"
"Yes","2015","35-65 y.","no migration background","848","0.071897515343283","0.0670624908134061","0.0767325398731599","1"
"Yes","2015","35-65 y.","direct migration background","199","0.0796811364114747","0.0696757707312946","0.0896865020916547","1"
