"ple0017","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","247","1","1","1"
"Yes","2009","secondary school degree","315","1","1","1"
"Yes","2009","college entrance qualification","274","1","1","1"
"Yes","2009","Other degree","43","1","1","1"
"Yes","2009","no degree/no degree yet","20","","",""
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","321","1","1","1"
"Yes","2011","secondary school degree","390","1","1","1"
"Yes","2011","college entrance qualification","336","1","1","1"
"Yes","2011","Other degree","70","1","1","1"
"Yes","2011","no degree/no degree yet","22","","",""
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","331","1","1","1"
"Yes","2013","secondary school degree","417","1","1","1"
"Yes","2013","college entrance qualification","328","1","1","1"
"Yes","2013","Other degree","77","1","1","1"
"Yes","2013","no degree/no degree yet","36","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","331","1","1","1"
"Yes","2015","secondary school degree","569","1","1","1"
"Yes","2015","college entrance qualification","506","1","1","1"
"Yes","2015","Other degree","187","1","1","1"
"Yes","2015","no degree/no degree yet","71","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","348","1","1","1"
"Yes","2017","secondary school degree","602","1","1","1"
"Yes","2017","college entrance qualification","578","1","1","1"
"Yes","2017","Other degree","223","1","1","1"
"Yes","2017","no degree/no degree yet","93","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","330","1","1","1"
"Yes","2019","secondary school degree","611","1","1","1"
"Yes","2019","college entrance qualification","643","1","1","1"
"Yes","2019","Other degree","194","1","1","1"
"Yes","2019","no degree/no degree yet","64","1","1","1"
