"ple0017","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","no migration background","28","","",""
"Yes","2009","Schleswig-Holstein","direct migration background","3","","",""
"Yes","2009","Schleswig-Holstein","indirect migration background","1","","",""
"Yes","2009","Hamburg","no migration background","15","","",""
"Yes","2009","Hamburg","direct migration background","","","",""
"Yes","2009","Hamburg","indirect migration background","","","",""
"Yes","2009","Lower Saxony","no migration background","76","0.0515154791595545","0.0402156098839553","0.0628153484351537"
"Yes","2009","Lower Saxony","direct migration background","4","","",""
"Yes","2009","Lower Saxony","indirect migration background","4","","",""
"Yes","2009","Bremen","no migration background","3","","",""
"Yes","2009","Bremen","direct migration background","","","",""
"Yes","2009","Bremen","indirect migration background","1","","",""
"Yes","2009","North Rhine-Westphalia","no migration background","148","0.045319565177616","0.0378776113429169","0.0527615190123151"
"Yes","2009","North Rhine-Westphalia","direct migration background","21","","",""
"Yes","2009","North Rhine-Westphalia","indirect migration background","8","","",""
"Yes","2009","Hesse","no migration background","51","0.0520392973050841","0.0383007088736003","0.0657778857365679"
"Yes","2009","Hesse","direct migration background","10","","",""
"Yes","2009","Hesse","indirect migration background","2","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","no migration background","43","0.0477705360237416","0.0333302117275222","0.062210860319961"
"Yes","2009","Rhineland-Palatinate,Saarland","direct migration background","8","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"Yes","2009","Baden-Württemberg","no migration background","80","0.0472087505930868","0.0368523115309642","0.0575651896552094"
"Yes","2009","Baden-Württemberg","direct migration background","21","","",""
"Yes","2009","Baden-Württemberg","indirect migration background","13","","",""
"Yes","2009","Bavaria","no migration background","110","0.0513320721882217","0.0421976349899478","0.0604665093864956"
"Yes","2009","Bavaria","direct migration background","17","","",""
"Yes","2009","Bavaria","indirect migration background","10","","",""
"Yes","2009","Berlin","no migration background","40","0.0519755971194205","0.0344176633116491","0.069533530927192"
"Yes","2009","Berlin","direct migration background","6","","",""
"Yes","2009","Berlin","indirect migration background","1","","",""
"Yes","2009","Brandenburg","no migration background","37","0.044376095869025","0.0298308597290856","0.0589213320089644"
"Yes","2009","Brandenburg","direct migration background","1","","",""
"Yes","2009","Brandenburg","indirect migration background","1","","",""
"Yes","2009","Mecklenburg-Western Pomerania","no migration background","20","","",""
"Yes","2009","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2009","Saxony","no migration background","61","0.0476037480039646","0.0362074679089448","0.0590000280989843"
"Yes","2009","Saxony","direct migration background","3","","",""
"Yes","2009","Saxony","indirect migration background","","","",""
"Yes","2009","Saxony-Anhalt","no migration background","36","0.0520332158853095","0.036170136518599","0.0678962952520201"
