"ple0017","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","general elemantary","West Germany","1452","0.945830344375831","0.934547255603454","0.957113433148209","2"
"No","2009","vocational + Abi","West Germany","793","0.938355032514629","0.922186483935288","0.95452358109397","2"
"No","2009","higher education","West Germany","2692","0.945668637261001","0.937332138055833","0.95400513646617","2"
"No","2009","in school","West Germany","251","0.974083810844988","0.954696303680127","0.993471318009848","2"
"No","2009","in school","East Germany","55","1","1","1","2"
"No","2009","general elemantary","East Germany","258","0.968845722214044","0.947967504130248","0.989723940297839","2"
"No","2009","vocational + Abi","East Germany","145","0.918212632361162","0.874789902531804","0.96163536219052","2"
"No","2009","higher education","East Germany","1144","0.952008493858856","0.939959867348514","0.964057120369199","2"
"No","2009","inadequately","West Germany","143","0.939826284297923","0.902144662707207","0.977507905888638","2"
"No","2009","inadequately","East Germany","15","","","","2"
"No","2009","middle vocational","West Germany","6374","0.948920650026094","0.943649765412606","0.954191534639581","2"
"No","2009","middle vocational","East Germany","2297","0.951439334470927","0.942855871120339","0.960022797821514","2"
"No","2009","higher vocational","West Germany","912","0.954613834908605","0.941480952951273","0.967746716865936","2"
"No","2009","higher vocational","East Germany","355","0.947644076610197","0.925039352385473","0.97024880083492","2"
"Yes","2009","in school","West Germany","7","","","","1"
"Yes","2009","in school","East Germany","","","","","1"
"Yes","2009","inadequately","West Germany","10","","","","1"
"Yes","2009","inadequately","East Germany","1","","","","1"
"Yes","2009","general elemantary","West Germany","94","0.0541696556241689","0.0428865668517915","0.0654527443965463","1"
"Yes","2009","general elemantary","East Germany","8","","","","1"
"Yes","2009","middle vocational","West Germany","328","0.0510793499739062","0.0458084653604189","0.0563502345873936","1"
"Yes","2009","middle vocational","East Germany","112","0.0485606655290734","0.0399772021784858","0.057144128879661","1"
"Yes","2009","vocational + Abi","West Germany","57","0.0616449674853707","0.0454764189060297","0.0778135160647117","1"
"Yes","2009","vocational + Abi","East Germany","8","","","","1"
"Yes","2009","higher vocational","West Germany","53","0.045386165091395","0.0322532831340635","0.0585190470487266","1"
"Yes","2009","higher vocational","East Germany","18","","","","1"
"Yes","2009","higher education","West Germany","148","0.0543313627389986","0.04599486353383","0.0626678619441673","1"
"Yes","2009","higher education","East Germany","65","0.0479915061411436","0.0359428796308015","0.0600401326514858","1"
"No","2010","in school","West Germany","","","","","2"
"No","2010","in school","East Germany","","","","","2"
"No","2010","general elemantary","West Germany","","","","","2"
"No","2010","general elemantary","East Germany","","","","","2"
"No","2010","vocational + Abi","West Germany","","","","","2"
"No","2010","vocational + Abi","East Germany","","","","","2"
"No","2010","higher education","West Germany","","","","","2"
"No","2010","higher education","East Germany","","","","","2"
"No","2010","inadequately","West Germany","","","","","2"
"No","2010","inadequately","East Germany","","","","","2"
"No","2010","middle vocational","West Germany","","","","","2"
