"ple0017","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","Male","26","","",""
"Yes","2009","1-pers.-HH","Female","109","1","1","1"
"Yes","2009","(Married) couple without C. ","Male","71","1","1","1"
"Yes","2009","(Married) couple without C. ","Female","263","1","1","1"
"Yes","2009","Single parent ","Male","13","","",""
"Yes","2009","Single parent ","Female","56","1","1","1"
"Yes","2009","Couple + C. LE 16 ","Male","41","1","1","1"
"Yes","2009","Couple + C. LE 16 ","Female","153","1","1","1"
"Yes","2009","Couple + C. GT 16 ","Male","24","","",""
"Yes","2009","Couple + C. GT 16 ","Female","97","1","1","1"
"Yes","2009","Couple + C. LE and GT 16","Male","10","","",""
"Yes","2009","Couple + C. LE and GT 16","Female","50","1","1","1"
"Yes","2010","1-pers.-HH","Male","","","",""
"Yes","2010","1-pers.-HH","Female","","","",""
"Yes","2010","(Married) couple without C. ","Male","","","",""
"Yes","2010","(Married) couple without C. ","Female","","","",""
"Yes","2010","Single parent ","Male","","","",""
"Yes","2010","Single parent ","Female","","","",""
"Yes","2010","Couple + C. LE 16 ","Male","","","",""
"Yes","2010","Couple + C. LE 16 ","Female","","","",""
"Yes","2010","Couple + C. GT 16 ","Male","","","",""
"Yes","2010","Couple + C. GT 16 ","Female","","","",""
"Yes","2010","Couple + C. LE and GT 16","Male","","","",""
"Yes","2010","Couple + C. LE and GT 16","Female","","","",""
"Yes","2011","1-pers.-HH","Male","30","1","1","1"
"Yes","2011","1-pers.-HH","Female","169","1","1","1"
"Yes","2011","(Married) couple without C. ","Male","77","1","1","1"
"Yes","2011","(Married) couple without C. ","Female","320","1","1","1"
"Yes","2011","Single parent ","Male","10","","",""
"Yes","2011","Single parent ","Female","77","1","1","1"
"Yes","2011","Couple + C. LE 16 ","Male","54","1","1","1"
"Yes","2011","Couple + C. LE 16 ","Female","172","1","1","1"
"Yes","2011","Couple + C. GT 16 ","Male","31","1","1","1"
"Yes","2011","Couple + C. GT 16 ","Female","112","1","1","1"
"Yes","2011","Couple + C. LE and GT 16","Male","25","","",""
"Yes","2011","Couple + C. LE and GT 16","Female","55","1","1","1"
"Yes","2012","1-pers.-HH","Male","","","",""
"Yes","2012","1-pers.-HH","Female","","","",""
"Yes","2012","(Married) couple without C. ","Male","","","",""
"Yes","2012","(Married) couple without C. ","Female","","","",""
"Yes","2012","Single parent ","Male","","","",""
"Yes","2012","Single parent ","Female","","","",""
"Yes","2012","Couple + C. LE 16 ","Male","","","",""
"Yes","2012","Couple + C. LE 16 ","Female","","","",""
"Yes","2012","Couple + C. GT 16 ","Male","","","",""
"Yes","2012","Couple + C. GT 16 ","Female","","","",""
"Yes","2012","Couple + C. LE and GT 16","Male","","","",""
"Yes","2012","Couple + C. LE and GT 16","Female","","","",""
"Yes","2013","1-pers.-HH","Male","45","1","1","1"
"Yes","2013","1-pers.-HH","Female","180","1","1","1"
"Yes","2013","(Married) couple without C. ","Male","82","1","1","1"
