"ple0017","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","inadequately","42","0.966289904637145","0.912345354600019","1.02023445467427","2"
"No","2009","66 and older","vocational + Abi","93","0.95813132867248","0.918272977074126","0.997989680270834","2"
"No","2009","66 and older","higher vocational","315","0.98852695698166","0.976858681572516","1.0001952323908","2"
"No","2009","66 and older","middle vocational","2126","0.967399138202675","0.959971524451821","0.974826751953529","2"
"No","2009","66 and older","general elemantary","645","0.969595754340569","0.956585149065236","0.982606359615902","2"
"No","2009","35-65 y.","higher vocational","853","0.94285049324089","0.927760334479532","0.957940652002248","2"
"No","2009","35-65 y.","higher education","2467","0.937008719799365","0.927704234041994","0.946313205556735","2"
"No","2009","66 and older","higher education","860","0.967269762259304","0.955580113194129","0.978959411324478","2"
"No","2009","35-65 y.","middle vocational","4846","0.943947404079879","0.937644298430303","0.950250509729455","2"
"No","2009","35-65 y.","vocational + Abi","533","0.942507939809079","0.923364482783947","0.961651396834211","2"
"No","2009","66 and older","in school","","","","","2"
"No","2009","35-65 y.","in school","","","","","2"
"No","2009","35-65 y.","inadequately","77","0.909080731981177","0.847962916924347","0.970198547038007","2"
"No","2009","35-65 y.","general elemantary","537","0.920987986732822","0.899221134356758","0.942754839108886","2"
"No","2009","16-34 y.","higher vocational","99","0.92717539187236","0.878393923545313","0.975956860199406","2"
"No","2009","16-34 y.","higher education","509","0.95679264164546","0.939643634477377","0.973941648813542","2"
"No","2009","16-34 y.","general elemantary","528","0.952951341587854","0.935303381605747","0.970599301569961","2"
"No","2009","16-34 y.","middle vocational","1699","0.942840014899474","0.932112538547483","0.953567491251466","2"
"No","2009","16-34 y.","vocational + Abi","312","0.917326564342077","0.887968006452596","0.946685122231558","2"
"No","2009","16-34 y.","in school","306","0.97855425194216","0.962505584556408","0.994602919327913","2"
"No","2009","16-34 y.","inadequately","39","0.982437280348872","0.942230021654455","1.02264453904329","2"
"Yes","2009","16-34 y.","in school","7","","","","1"
"Yes","2009","16-34 y.","inadequately","2","","","","1"
"Yes","2009","16-34 y.","general elemantary","25","","","","1"
"Yes","2009","16-34 y.","middle vocational","100","0.0571599851005256","0.0464325087485343","0.0678874614525168","1"
"Yes","2009","16-34 y.","vocational + Abi","26","","","","1"
"Yes","2009","16-34 y.","higher vocational","10","","","","1"
"Yes","2009","16-34 y.","higher education","31","0.0432073583545403","0.0260583511864576","0.0603563655226229","1"
"Yes","2009","35-65 y.","in school","","","","","1"
"Yes","2009","35-65 y.","inadequately","8","","","","1"
"Yes","2009","35-65 y.","general elemantary","53","0.0790120132671781","0.0572451608911138","0.100778865643242","1"
"Yes","2009","35-65 y.","middle vocational","270","0.0560525959201209","0.0497494902705447","0.0623557015696972","1"
"Yes","2009","35-65 y.","vocational + Abi","35","0.0574920601909207","0.0383486031657887","0.0766355172160528","1"
"Yes","2009","35-65 y.","higher vocational","56","0.05714950675911","0.0420593479977524","0.0722396655204675","1"
"Yes","2009","35-65 y.","higher education","152","0.0629912802006356","0.0536867944432653","0.0722957659580058","1"
"Yes","2009","66 and older","in school","","","","","1"
"Yes","2009","66 and older","inadequately","1","","","","1"
"Yes","2009","66 and older","general elemantary","24","","","","1"
"Yes","2009","66 and older","middle vocational","70","0.032600861797325","0.0251732480464713","0.0400284755481787","1"
"Yes","2009","66 and older","vocational + Abi","4","","","","1"
"Yes","2009","66 and older","higher vocational","5","","","","1"
"Yes","2009","66 and older","higher education","30","0.0327302377406963","0.0210405886755219","0.0444198868058708","1"
"No","2010","66 and older","inadequately","","","","","2"
"No","2010","66 and older","vocational + Abi","","","","","2"
"No","2010","66 and older","general elemantary","","","","","2"
"No","2010","66 and older","middle vocational","","","","","2"
"No","2010","35-65 y.","middle vocational","","","","","2"
"No","2010","35-65 y.","vocational + Abi","","","","","2"
"No","2010","66 and older","higher vocational","","","","","2"
"No","2010","35-65 y.","higher vocational","","","","","2"
"No","2010","66 and older","higher education","","","","","2"
"No","2010","35-65 y.","higher education","","","","","2"
"No","2010","66 and older","in school","","","","","2"
"No","2010","16-34 y.","higher vocational","","","","","2"
"No","2010","16-34 y.","higher education","","","","","2"
"No","2010","35-65 y.","in school","","","","","2"
"No","2010","35-65 y.","inadequately","","","","","2"
"No","2010","35-65 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","in school","","","","","2"
"No","2010","16-34 y.","inadequately","","","","","2"
"No","2010","16-34 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","middle vocational","","","","","2"
"No","2010","16-34 y.","vocational + Abi","","","","","2"
"Yes","2010","35-65 y.","general elemantary","","","","","1"
"Yes","2010","35-65 y.","middle vocational","","","","","1"
"Yes","2010","35-65 y.","vocational + Abi","","","","","1"
"Yes","2010","35-65 y.","higher vocational","","","","","1"
"Yes","2010","16-34 y.","in school","","","","","1"
"Yes","2010","16-34 y.","inadequately","","","","","1"
"Yes","2010","16-34 y.","general elemantary","","","","","1"
"Yes","2010","16-34 y.","middle vocational","","","","","1"
"Yes","2010","16-34 y.","vocational + Abi","","","","","1"
"Yes","2010","16-34 y.","higher vocational","","","","","1"
"Yes","2010","16-34 y.","higher education","","","","","1"
"Yes","2010","35-65 y.","in school","","","","","1"
"Yes","2010","35-65 y.","inadequately","","","","","1"
"Yes","2010","35-65 y.","higher education","","","","","1"
"Yes","2010","66 and older","in school","","","","","1"
"Yes","2010","66 and older","inadequately","","","","","1"
"Yes","2010","66 and older","general elemantary","","","","","1"
"Yes","2010","66 and older","middle vocational","","","","","1"
"Yes","2010","66 and older","vocational + Abi","","","","","1"
"Yes","2010","66 and older","higher vocational","","","","","1"
"Yes","2010","66 and older","higher education","","","","","1"
"No","2011","35-65 y.","higher vocational","887","0.926567706836623","0.909963197464652","0.943172216208594","2"
"No","2011","35-65 y.","middle vocational","5598","0.942505886521043","0.936584569775959","0.948427203266127","2"
"No","2011","35-65 y.","vocational + Abi","638","0.933017779504901","0.914378299285547","0.951657259724256","2"
"No","2011","35-65 y.","higher education","2685","0.940209555095041","0.931517045043242","0.94890206514684","2"
"No","2011","66 and older","in school","","","","","2"
"No","2011","16-34 y.","higher vocational","113","0.927065262409468","0.881297506886774","0.972833017932162","2"
"No","2011","66 and older","inadequately","57","0.924755530785844","0.858559197526445","0.990951864045243","2"
"No","2011","66 and older","general elemantary","803","0.96963033991442","0.958004925971098","0.981255753857741","2"
"No","2011","16-34 y.","higher education","605","0.948661963337748","0.931657171399145","0.965666755276351","2"
"No","2011","35-65 y.","in school","","","","","2"
"No","2011","35-65 y.","inadequately","112","0.915909170803368","0.865835709985715","0.965982631621021","2"
"No","2011","66 and older","middle vocational","2579","0.959308945295748","0.951817621228671","0.966800269362825","2"
"No","2011","66 and older","vocational + Abi","124","0.981529402465981","0.958203672924267","1.0048551320077","2"
"No","2011","66 and older","higher vocational","369","0.967878802643813","0.950197153781549","0.985560451506078","2"
"No","2011","66 and older","higher education","1063","0.967612960599609","0.957127741868626","0.978098179330591","2"
"No","2011","35-65 y.","general elemantary","712","0.919005736625595","0.899871602442819","0.938139870808371","2"
"No","2011","16-34 y.","in school","302","0.979167308744458","0.963344737359573","0.994989880129343","2"
"No","2011","16-34 y.","inadequately","50","0.937277742012264","0.872608733097589","1.00194675092694","2"
"No","2011","16-34 y.","general elemantary","535","0.945666874994556","0.927058343843848","0.964275406145264","2"
"No","2011","16-34 y.","middle vocational","1807","0.933239791136173","0.922129775919973","0.944349806352373","2"
"No","2011","16-34 y.","vocational + Abi","358","0.932396291188463","0.907478971890707","0.957313610486218","2"
"Yes","2011","16-34 y.","higher education","42","0.0513380366622515","0.0343332447236486","0.0683428286008545","1"
"Yes","2011","35-65 y.","in school","","","","","1"
"Yes","2011","35-65 y.","inadequately","6","","","","1"
"Yes","2011","35-65 y.","general elemantary","69","0.0809942633744052","0.0618601291916291","0.100128397557181","1"
"Yes","2011","16-34 y.","higher vocational","11","","","","1"
"Yes","2011","66 and older","higher vocational","13","","","","1"
"Yes","2011","66 and older","higher education","32","0.0323870394003911","0.0219018206694086","0.0428722581313737","1"
"Yes","2011","35-65 y.","middle vocational","339","0.0574941134789572","0.0515727967338734","0.0634154302240411","1"
"Yes","2011","35-65 y.","vocational + Abi","53","0.0669822204950987","0.0483427402757442","0.0856217007144533","1"
"Yes","2011","35-65 y.","higher vocational","61","0.0734322931633768","0.0568277837914055","0.0900368025353481","1"
"Yes","2011","16-34 y.","in school","11","","","","1"
"Yes","2011","16-34 y.","inadequately","4","","","","1"
"Yes","2011","16-34 y.","general elemantary","35","0.0543331250054443","0.0357245938547364","0.0729416561561522","1"
"Yes","2011","16-34 y.","middle vocational","132","0.0667602088638274","0.0556501936476273","0.0778702240800274","1"
"Yes","2011","16-34 y.","vocational + Abi","32","0.067603708811537","0.0426863895137817","0.0925210281092924","1"
"Yes","2011","66 and older","vocational + Abi","4","","","","1"
"Yes","2011","35-65 y.","higher education","173","0.0597904449049588","0.0510979348531598","0.0684829549567579","1"
"Yes","2011","66 and older","in school","","","","","1"
"Yes","2011","66 and older","inadequately","4","","","","1"
"Yes","2011","66 and older","general elemantary","34","0.0303696600855802","0.018744246142259","0.0419950740289015","1"
"Yes","2011","66 and older","middle vocational","93","0.040691054704252","0.0331997306371753","0.0481823787713287","1"
"No","2012","66 and older","higher vocational","","","","","2"
