"ple0017","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","790","1","1","1"
"Yes","2009","direct migration background","95","1","1","1"
"Yes","2009","indirect migration background","44","1","1","1"
"Yes","2010","no migration background","","","",""
"Yes","2010","direct migration background","","","",""
"Yes","2010","indirect migration background","","","",""
"Yes","2011","no migration background","999","1","1","1"
"Yes","2011","direct migration background","113","1","1","1"
"Yes","2011","indirect migration background","48","1","1","1"
"Yes","2012","no migration background","","","",""
"Yes","2012","direct migration background","","","",""
"Yes","2012","indirect migration background","","","",""
"Yes","2013","no migration background","1056","1","1","1"
"Yes","2013","direct migration background","108","1","1","1"
"Yes","2013","indirect migration background","55","1","1","1"
"Yes","2014","no migration background","","","",""
"Yes","2014","direct migration background","","","",""
"Yes","2014","indirect migration background","","","",""
"Yes","2015","no migration background","1313","1","1","1"
"Yes","2015","direct migration background","278","1","1","1"
"Yes","2015","indirect migration background","128","1","1","1"
"Yes","2016","no migration background","","","",""
"Yes","2016","direct migration background","","","",""
"Yes","2016","indirect migration background","","","",""
"Yes","2017","no migration background","1447","1","1","1"
"Yes","2017","direct migration background","320","1","1","1"
"Yes","2017","indirect migration background","146","1","1","1"
"Yes","2018","no migration background","","","",""
"Yes","2018","direct migration background","","","",""
"Yes","2018","indirect migration background","","","",""
"Yes","2019","no migration background","1510","1","1","1"
"Yes","2019","direct migration background","273","1","1","1"
"Yes","2019","indirect migration background","138","1","1","1"
