"ple0017","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","1-pers.-HH","35","0.05833399060563","0.0387821412232629","0.0778858399879972"
"Yes","2009","16-34 y.","(Married) couple without C. ","58","0.069305591119739","0.0510561608082644","0.0875550214312136"
"Yes","2009","16-34 y.","Single parent ","24","","",""
"Yes","2009","16-34 y.","Couple + C. LE 16 ","55","0.06954911733184","0.0514515691942071","0.0876466654694729"
"Yes","2009","16-34 y.","Couple + C. GT 16 ","31","0.0293770850653235","0.0193109010674508","0.0394432690631961"
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","12","","",""
"Yes","2009","35-65 y.","1-pers.-HH","66","0.0490462918068421","0.0367188214903458","0.0613737621233383"
"Yes","2009","35-65 y.","(Married) couple without C. ","184","0.0596902192835179","0.0515098598402108","0.0678705787268249"
"Yes","2009","35-65 y.","Single parent ","42","0.100387679561533","0.0748272154251803","0.125948143697885"
"Yes","2009","35-65 y.","Couple + C. LE 16 ","139","0.0713472935617011","0.0603276418590668","0.0823669452643354"
"Yes","2009","35-65 y.","Couple + C. GT 16 ","86","0.0401240214846542","0.0313089790395593","0.048939063929749"
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","48","0.0612065592750475","0.0446680892636938","0.0777450292864011"
"Yes","2009","66 and older","1-pers.-HH","34","0.0266627837611079","0.0174672784757868","0.035858289046429"
"Yes","2009","66 and older","(Married) couple without C. ","92","0.0341134485693027","0.0272855187883864","0.0409413783502191"
"Yes","2009","66 and older","Single parent ","3","","",""
"Yes","2009","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2009","66 and older","Couple + C. GT 16 ","4","","",""
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","",""
"No","2009","16-34 y.","1-pers.-HH","517","0.94166600939437","0.922114160012003","0.961217858776737"
"No","2009","16-34 y.","(Married) couple without C. ","686","0.930694408880261","0.912444978568786","0.948943839191736"
"No","2009","16-34 y.","Single parent ","379","0.957667392078632","0.938009342312773","0.977325441844492"
"No","2009","16-34 y.","Couple + C. LE 16 ","704","0.93045088266816","0.912353334530527","0.948548430805793"
"No","2009","16-34 y.","Couple + C. GT 16 ","1050","0.970622914934677","0.960556730936804","0.980689098932549"
"No","2009","16-34 y.","Couple + C. LE and GT 16","360","0.955629289894502","0.934704093785858","0.976554486003146"
"No","2009","35-65 y.","1-pers.-HH","1113","0.950953708193158","0.938626237876662","0.963281178509654"
"No","2009","35-65 y.","(Married) couple without C. ","3038","0.940309780716482","0.932129421273175","0.948490140159789"
"No","2009","35-65 y.","Single parent ","489","0.899612320438467","0.874051856302115","0.92517278457482"
"No","2009","35-65 y.","Couple + C. LE 16 ","1957","0.928652706438299","0.917633054735664","0.939672358140933"
"No","2009","35-65 y.","Couple + C. GT 16 ","1818","0.959875978515346","0.951060936070251","0.968691020960441"
"No","2009","35-65 y.","Couple + C. LE and GT 16","759","0.938793440724953","0.922254970713599","0.955331910736306"
