"ple0017","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","general elemantary","Male","552","0.986309003516161","0.976693086901452","0.99592492013087","2"
"No","2009","vocational + Abi","Male","380","0.964792295517903","0.94657065039174","0.983013940644066","2"
"No","2009","higher education","Male","2144","0.97418100152766","0.967541777246708","0.980820225808611","2"
"No","2009","in school","Male","166","0.980605332407012","0.959813487149578","1.00139717766445","2"
"No","2009","in school","Female","140","0.976245583936597","0.951373133986308","1.00111803388689","2"
"No","2009","general elemantary","Female","1158","0.930715371938288","0.916643679814595","0.944787064061982","2"
"No","2009","vocational + Abi","Female","558","0.91464840529842","0.89247583276956","0.93682097782728","2"
"No","2009","higher education","Female","1692","0.912432960246451","0.899576750302351","0.925289170190551","2"
"No","2009","inadequately","Male","67","0.989455025813904","0.965526284159927","1.01338376746788","2"
"No","2009","inadequately","Female","91","0.901370420395133","0.842636940139507","0.960103900650759","2"
"No","2009","middle vocational","Male","4202","0.9742535460447","0.969517005974388","0.978990086115012","2"
"No","2009","middle vocational","Female","4469","0.925905337913058","0.918507895266602","0.933302780559514","2"
"No","2009","higher vocational","Male","775","0.983456241987895","0.974544649270852","0.992367834704938","2"
"No","2009","higher vocational","Female","492","0.909205891243963","0.885215780813771","0.933196001674156","2"
"Yes","2009","in school","Male","3","","","","1"
"Yes","2009","in school","Female","4","","","","1"
"Yes","2009","inadequately","Male","3","","","","1"
"Yes","2009","inadequately","Female","8","","","","1"
"Yes","2009","general elemantary","Male","9","","","","1"
"Yes","2009","general elemantary","Female","93","0.0692846280617114","0.0552129359380184","0.0833563201854045","1"
"Yes","2009","middle vocational","Male","93","0.0257464539552998","0.0210099138849879","0.0304829940256117","1"
"Yes","2009","middle vocational","Female","347","0.0740946620869415","0.0666972194404855","0.0814921047333975","1"
"Yes","2009","vocational + Abi","Male","13","","","","1"
"Yes","2009","vocational + Abi","Female","52","0.0853515947015802","0.0631790221727202","0.10752416723044","1"
"Yes","2009","higher vocational","Male","12","","","","1"
"Yes","2009","higher vocational","Female","59","0.0907941087560367","0.066803998325844","0.114784219186229","1"
"Yes","2009","higher education","Male","48","0.0258189984723405","0.0191797741913887","0.0324582227532923","1"
"Yes","2009","higher education","Female","165","0.0875670397535488","0.0747108298094488","0.100423249697649","1"
"No","2010","in school","Male","","","","","2"
"No","2010","in school","Female","","","","","2"
"No","2010","general elemantary","Male","","","","","2"
"No","2010","general elemantary","Female","","","","","2"
"No","2010","vocational + Abi","Male","","","","","2"
"No","2010","vocational + Abi","Female","","","","","2"
"No","2010","higher education","Male","","","","","2"
"No","2010","higher education","Female","","","","","2"
"No","2010","inadequately","Male","","","","","2"
"No","2010","inadequately","Female","","","","","2"
"No","2010","middle vocational","Male","","","","","2"
"No","2010","middle vocational","Female","","","","","2"
"No","2010","higher vocational","Male","","","","","2"
"No","2010","higher vocational","Female","","","","","2"
"Yes","2010","in school","Male","","","","","1"
"Yes","2010","in school","Female","","","","","1"
"Yes","2010","inadequately","Male","","","","","1"
"Yes","2010","inadequately","Female","","","","","1"
"Yes","2010","general elemantary","Male","","","","","1"
"Yes","2010","general elemantary","Female","","","","","1"
"Yes","2010","middle vocational","Male","","","","","1"
"Yes","2010","middle vocational","Female","","","","","1"
"Yes","2010","vocational + Abi","Male","","","","","1"
"Yes","2010","vocational + Abi","Female","","","","","1"
"Yes","2010","higher vocational","Male","","","","","1"
"Yes","2010","higher vocational","Female","","","","","1"
"Yes","2010","higher education","Male","","","","","1"
"Yes","2010","higher education","Female","","","","","1"
"No","2011","in school","Male","155","0.975479358030548","0.951663537785345","0.999295178275751","2"
"No","2011","general elemantary","Male","653","0.975424438588845","0.963709625305307","0.987139251872383","2"
"No","2011","vocational + Abi","Male","439","0.975140968789831","0.960834969671264","0.989446967908398","2"
"No","2011","in school","Female","147","0.982926648327812","0.962264305404148","1.00358899125148","2"
"No","2011","general elemantary","Female","1397","0.932314391793584","0.919673297739197","0.944955485847971","2"
"No","2011","vocational + Abi","Female","681","0.910712446597195","0.890358505397197","0.931066387797194","2"
"No","2011","inadequately","Male","88","0.994014857603499","0.978079547550011","1.00995016765699","2"
"No","2011","inadequately","Female","131","0.87205564581622","0.817308342177364","0.926802949455076","2"
"No","2011","middle vocational","Male","4809","0.976128268409838","0.971865022540441","0.980391514279236","2"
"No","2011","middle vocational","Female","5175","0.915987605955561","0.908736896074302","0.92323831583682","2"
"No","2011","higher vocational","Male","886","0.978038995580905","0.968474787692602","0.987603203469209","2"
"No","2011","higher vocational","Female","483","0.870684008198757","0.842691942189527","0.898676074207988","2"
"No","2011","higher education","Male","2425","0.972364505782578","0.965906347931015","0.978822663634141","2"
"No","2011","higher education","Female","1928","0.918315917798172","0.906671081253853","0.929960754342492","2"
"Yes","2011","in school","Male","7","","","","1"
"Yes","2011","in school","Female","4","","","","1"
"Yes","2011","inadequately","Male","2","","","","1"
"Yes","2011","inadequately","Female","12","","","","1"
"Yes","2011","general elemantary","Male","18","","","","1"
"Yes","2011","general elemantary","Female","120","0.0676856082064161","0.0550445141520292","0.080326702260803","1"
"Yes","2011","middle vocational","Male","116","0.0238717315901617","0.0196084857207645","0.028134977459559","1"
"Yes","2011","middle vocational","Female","448","0.0840123940444388","0.07676168416318","0.0912631039256977","1"
"Yes","2011","vocational + Abi","Male","16","","","","1"
"Yes","2011","vocational + Abi","Female","73","0.0892875534028046","0.0689336122028064","0.109641494602803","1"
"Yes","2011","higher vocational","Male","16","","","","1"
"Yes","2011","higher vocational","Female","69","0.129315991801243","0.101323925792012","0.157308057810473","1"
"Yes","2011","higher education","Male","50","0.027635494217422","0.0211773363658591","0.0340936520689849","1"
"Yes","2011","higher education","Female","197","0.0816840822018279","0.0700392456575083","0.0933289187461475","1"
"No","2012","in school","Male","","","","","2"
"No","2012","in school","Female","","","","","2"
"No","2012","general elemantary","Male","","","","","2"
"No","2012","general elemantary","Female","","","","","2"
"No","2012","vocational + Abi","Male","","","","","2"
"No","2012","vocational + Abi","Female","","","","","2"
"No","2012","higher vocational","Male","","","","","2"
"No","2012","higher vocational","Female","","","","","2"
"No","2012","higher education","Male","","","","","2"
"No","2012","higher education","Female","","","","","2"
"No","2012","inadequately","Male","","","","","2"
"No","2012","inadequately","Female","","","","","2"
"No","2012","middle vocational","Male","","","","","2"
"No","2012","middle vocational","Female","","","","","2"
"Yes","2012","higher vocational","Male","","","","","1"
"Yes","2012","higher vocational","Female","","","","","1"
"Yes","2012","in school","Male","","","","","1"
"Yes","2012","in school","Female","","","","","1"
"Yes","2012","inadequately","Male","","","","","1"
"Yes","2012","inadequately","Female","","","","","1"
"Yes","2012","general elemantary","Male","","","","","1"
"Yes","2012","general elemantary","Female","","","","","1"
"Yes","2012","middle vocational","Male","","","","","1"
"Yes","2012","middle vocational","Female","","","","","1"
"Yes","2012","vocational + Abi","Male","","","","","1"
"Yes","2012","vocational + Abi","Female","","","","","1"
"Yes","2012","higher education","Male","","","","","1"
"Yes","2012","higher education","Female","","","","","1"
"No","2013","in school","Male","116","0.953553367328401","0.916209628713863","0.99089710594294","2"
"No","2013","in school","Female","129","0.903179992259401","0.853842365128027","0.952517619390774","2"
"No","2013","general elemantary","Male","572","0.984546446021337","0.974550993764099","0.994541898278576","2"
"No","2013","general elemantary","Female","1172","0.926201899295125","0.911885000592768","0.940518797997483","2"
"No","2013","vocational + Abi","Male","405","0.970082587660073","0.953790009462863","0.986375165857283","2"
"No","2013","vocational + Abi","Female","609","0.88081924951523","0.856520484804295","0.905118014226164","2"
"No","2013","higher vocational","Male","809","0.977796031546322","0.967747617930149","0.987844445162494","2"
"No","2013","higher vocational","Female","427","0.848152924194942","0.816914838664203","0.879391009725681","2"
"No","2013","higher education","Male","2307","0.974626381886322","0.968280464679676","0.980972299092968","2"
"No","2013","higher education","Female","1913","0.900353716110362","0.887600499182075","0.913106933038649","2"
