"ple0017","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","in school","5","","",""
"Yes","2009","no migration background","inadequately","4","","",""
"Yes","2009","no migration background","general elemantary","66","1","1","1"
"Yes","2009","no migration background","middle vocational","392","1","1","1"
"Yes","2009","no migration background","vocational + Abi","55","1","1","1"
"Yes","2009","no migration background","higher vocational","62","1","1","1"
"Yes","2009","no migration background","higher education","192","1","1","1"
"Yes","2009","direct migration background","in school","","","",""
"Yes","2009","direct migration background","inadequately","6","","",""
"Yes","2009","direct migration background","general elemantary","26","","",""
"Yes","2009","direct migration background","middle vocational","26","","",""
"Yes","2009","direct migration background","vocational + Abi","7","","",""
"Yes","2009","direct migration background","higher vocational","8","","",""
"Yes","2009","direct migration background","higher education","19","","",""
"Yes","2009","indirect migration background","in school","2","","",""
"Yes","2009","indirect migration background","inadequately","1","","",""
"Yes","2009","indirect migration background","general elemantary","10","","",""
"Yes","2009","indirect migration background","middle vocational","22","","",""
"Yes","2009","indirect migration background","vocational + Abi","3","","",""
"Yes","2009","indirect migration background","higher vocational","1","","",""
"Yes","2009","indirect migration background","higher education","2","","",""
"Yes","2010","no migration background","in school","","","",""
"Yes","2010","no migration background","inadequately","","","",""
"Yes","2010","no migration background","general elemantary","","","",""
"Yes","2010","no migration background","middle vocational","","","",""
"Yes","2010","no migration background","vocational + Abi","","","",""
"Yes","2010","no migration background","higher vocational","","","",""
"Yes","2010","no migration background","higher education","","","",""
"Yes","2010","direct migration background","in school","","","",""
"Yes","2010","direct migration background","inadequately","","","",""
"Yes","2010","direct migration background","general elemantary","","","",""
"Yes","2010","direct migration background","middle vocational","","","",""
"Yes","2010","direct migration background","vocational + Abi","","","",""
"Yes","2010","direct migration background","higher vocational","","","",""
"Yes","2010","direct migration background","higher education","","","",""
"Yes","2010","indirect migration background","in school","","","",""
"Yes","2010","indirect migration background","inadequately","","","",""
"Yes","2010","indirect migration background","general elemantary","","","",""
"Yes","2010","indirect migration background","middle vocational","","","",""
"Yes","2010","indirect migration background","vocational + Abi","","","",""
"Yes","2010","indirect migration background","higher vocational","","","",""
"Yes","2010","indirect migration background","higher education","","","",""
"Yes","2011","no migration background","in school","11","","",""
"Yes","2011","no migration background","inadequately","7","","",""
"Yes","2011","no migration background","general elemantary","95","1","1","1"
"Yes","2011","no migration background","middle vocational","505","1","1","1"
"Yes","2011","no migration background","vocational + Abi","70","1","1","1"
"Yes","2011","no migration background","higher vocational","76","1","1","1"
"Yes","2011","no migration background","higher education","228","1","1","1"
"Yes","2011","direct migration background","in school","","","",""
"Yes","2011","direct migration background","inadequately","5","","",""
"Yes","2011","direct migration background","general elemantary","27","","",""
