"ple0017","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","3044","0.96498100915377","0.958576697904484","0.971385320403056","2"
"No","2009","1-pers.-HH","2775","0.957841076368912","0.9505398959157","0.965142256822124","2"
"No","2009","(Married) couple without C. ","6347","0.949012240647029","0.943737559328496","0.954286921965563","2"
"No","2009","Couple + C. LE and GT 16","1121","0.944867277336226","0.931850206546285","0.957884348126167","2"
"No","2009","Single parent ","927","0.929519096698683","0.91362326298872","0.945414930408646","2"
"No","2009","Couple + C. LE 16 ","2666","0.929255012894616","0.919858204604787","0.938651821184445","2"
"Yes","2009","1-pers.-HH","135","0.0421589236310885","0.0348577431778764","0.0494601040843005","1"
"Yes","2009","(Married) couple without C. ","334","0.0509877593529705","0.0457130780344373","0.0562624406715037","1"
"Yes","2009","Single parent ","69","0.0704809033013171","0.0545850695913537","0.0863767370112804","1"
"Yes","2009","Couple + C. LE 16 ","194","0.0707449871053843","0.0613481788155555","0.080141795395213","1"
"Yes","2009","Couple + C. GT 16 ","121","0.0350189908462297","0.0286146795969439","0.0414233020955155","1"
"Yes","2009","Couple + C. LE and GT 16","60","0.0551327226637737","0.0421156518738327","0.0681497934537147","1"
"No","2010","Couple + C. GT 16 ","","","","","2"
"No","2010","1-pers.-HH","","","","","2"
"No","2010","Couple + C. LE and GT 16","","","","","2"
"No","2010","(Married) couple without C. ","","","","","2"
"No","2010","Single parent ","","","","","2"
"No","2010","Couple + C. LE 16 ","","","","","2"
"Yes","2010","1-pers.-HH","","","","","1"
"Yes","2010","(Married) couple without C. ","","","","","1"
"Yes","2010","Single parent ","","","","","1"
"Yes","2010","Couple + C. LE 16 ","","","","","1"
"Yes","2010","Couple + C. GT 16 ","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","","","","","1"
"No","2011","1-pers.-HH","3375","0.94652377291139","0.939147839973309","0.953899705849472","2"
"No","2011","Couple + C. GT 16 ","3058","0.95711804917018","0.950099856700917","0.964136241639442","2"
"No","2011","Couple + C. LE and GT 16","1154","0.937975353941446","0.924517730502086","0.951432977380806","2"
"No","2011","(Married) couple without C. ","7748","0.947147682776302","0.942288721770859","0.952006643781746","2"
"No","2011","Single parent ","1087","0.944904217369917","0.931852516414929","0.957955918324904","2"
"No","2011","Couple + C. LE 16 ","2891","0.927806876642833","0.918721218350413","0.936892534935254","2"
"Yes","2011","1-pers.-HH","199","0.0534762270886096","0.0461002941505282","0.0608521600266909","1"
"Yes","2011","(Married) couple without C. ","397","0.0528523172236977","0.0479933562182542","0.0577112782291411","1"
"Yes","2011","Single parent ","87","0.0550957826300831","0.0420440816750957","0.0681474835850705","1"
"Yes","2011","Couple + C. LE 16 ","226","0.0721931233571665","0.0631074650647461","0.0812787816495869","1"
"Yes","2011","Couple + C. GT 16 ","143","0.0428819508298204","0.0358637583605577","0.0499001432990831","1"
"Yes","2011","Couple + C. LE and GT 16","80","0.0620246460585545","0.0485670226191944","0.0754822694979146","1"
"No","2012","1-pers.-HH","","","","","2"
"No","2012","(Married) couple without C. ","","","","","2"
"No","2012","Couple + C. GT 16 ","","","","","2"
"No","2012","Couple + C. LE and GT 16","","","","","2"
"No","2012","Single parent ","","","","","2"
"No","2012","Couple + C. LE 16 ","","","","","2"
"Yes","2012","1-pers.-HH","","","","","1"
"Yes","2012","(Married) couple without C. ","","","","","1"
"Yes","2012","Single parent ","","","","","1"
"Yes","2012","Couple + C. LE 16 ","","","","","1"
"Yes","2012","Couple + C. GT 16 ","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","","","","","1"
"No","2013","1-pers.-HH","3248","0.935772339655173","0.927618881394768","0.943925797915578","2"
"No","2013","(Married) couple without C. ","7224","0.941228542503612","0.935959808561633","0.94649727644559","2"
"No","2013","Single parent ","1017","0.92963503985242","0.914629540268433","0.944640539436407","2"
"No","2013","Couple + C. LE 16 ","2563","0.921452774728595","0.91143952329969","0.9314660261575","2"
"No","2013","Couple + C. GT 16 ","2482","0.94008788071704","0.931024676334287","0.949151085099794","2"
"No","2013","Couple + C. LE and GT 16","865","0.916870057081328","0.899239936782556","0.934500177380099","2"
"Yes","2013","1-pers.-HH","225","0.0642276603448272","0.0560742020844222","0.0723811186052321","1"
"Yes","2013","(Married) couple without C. ","431","0.0587714574963882","0.0535027235544099","0.0640401914383665","1"
"Yes","2013","Single parent ","99","0.0703649601475799","0.0553594605635931","0.0853704597315667","1"
"Yes","2013","Couple + C. LE 16 ","210","0.0785472252714053","0.0685339738425004","0.0885604767003102","1"
"Yes","2013","Couple + C. GT 16 ","152","0.0599121192829596","0.0508489149002058","0.0689753236657134","1"
"Yes","2013","Couple + C. LE and GT 16","77","0.0831299429186723","0.0654998226199006","0.100760063217444","1"
"No","2014","1-pers.-HH","","","","","2"
"No","2014","(Married) couple without C. ","","","","","2"
"No","2014","Single parent ","","","","","2"
"No","2014","Couple + C. LE 16 ","","","","","2"
"No","2014","Couple + C. GT 16 ","","","","","2"
"No","2014","Couple + C. LE and GT 16","","","","","2"
"Yes","2014","1-pers.-HH","","","","","1"
"Yes","2014","(Married) couple without C. ","","","","","1"
"Yes","2014","Single parent ","","","","","1"
"Yes","2014","Couple + C. LE 16 ","","","","","1"
"Yes","2014","Couple + C. GT 16 ","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","","","","","1"
"No","2015","1-pers.-HH","3299","0.941281057841227","0.933516760008113","0.949045355674341","2"
"No","2015","(Married) couple without C. ","7090","0.933828430187826","0.92820334860142","0.939453511774232","2"
