"ple0017","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Employed","vocational + Abi","230","0.943251850392145","0.914222129301251","0.972281571483039","2"
"No","2009","Employed","inadequately","66","0.948077970884694","0.896829643132813","0.999326298636576","2"
"No","2009","Employed","higher vocational","853","0.941074732189044","0.925791559837526","0.956357904540563","2"
"No","2009","Not Employed","in school","249","0.987644571483092","0.974005743017254","1.00128339994893","2"
"No","2009","Not Employed","inadequately","92","0.938981379031352","0.89134684645696","0.986615911605743","2"
"No","2009","Not Employed","higher vocational","414","0.977784561771298","0.963788935987321","0.991780187555276","2"
"No","2009","Employed","general elemantary","709","0.94385894729797","0.927428240624796","0.960289653971144","2"
"No","2009","Employed","higher education","2782","0.94376048308014","0.935435594263804","0.952085371896477","2"
"No","2009","Not Employed","general elemantary","1001","0.951449306207168","0.938498529835082","0.964400082579254","2"
"No","2009","Not Employed","middle vocational","3389","0.954010842684632","0.947124418658617","0.960897266710647","2"
"No","2009","Not Employed","higher education","1054","0.956435610820595","0.94441108486806","0.96846013677313","2"
"No","2009","Employed","in school","57","0.940253059490944","0.880774096687918","0.999732022293971","2"
"No","2009","Employed","middle vocational","5282","0.946574130808891","0.940661496671165","0.952486764946617","2"
"No","2009","Employed","vocational + Abi","708","0.933496659184217","0.915770880668759","0.951222437699674","2"
"Yes","2009","Not Employed","in school","3","","","","1"
"Yes","2009","Not Employed","inadequately","5","","","","1"
"Yes","2009","Not Employed","general elemantary","57","0.0485506937928317","0.0355999174207456","0.0615014701649178","1"
"Yes","2009","Not Employed","middle vocational","165","0.0459891573153678","0.0391027332893526","0.0528755813413829","1"
"Yes","2009","Not Employed","vocational + Abi","14","","","","1"
"Yes","2009","Not Employed","higher vocational","12","","","","1"
"Yes","2009","Not Employed","higher education","53","0.0435643891794049","0.0315398632268696","0.0555889151319401","1"
"Yes","2009","Employed","in school","4","","","","1"
"Yes","2009","Employed","inadequately","6","","","","1"
"Yes","2009","Employed","general elemantary","45","0.0561410527020297","0.039710346028856","0.0725717593752035","1"
"Yes","2009","Employed","middle vocational","275","0.0534258691911091","0.0475132350533833","0.0593385033288349","1"
"Yes","2009","Employed","vocational + Abi","51","0.0665033408157832","0.048777562300326","0.0842291193312405","1"
"Yes","2009","Employed","higher vocational","59","0.0589252678109557","0.0436420954594368","0.0742084401624745","1"
"Yes","2009","Employed","higher education","160","0.0562395169198596","0.0479146281035232","0.0645644057361961","1"
"No","2010","Not Employed","in school","","","","","2"
"No","2010","Not Employed","inadequately","","","","","2"
"No","2010","Not Employed","vocational + Abi","","","","","2"
"No","2010","Not Employed","higher vocational","","","","","2"
"No","2010","Employed","inadequately","","","","","2"
"No","2010","Employed","general elemantary","","","","","2"
"No","2010","Employed","higher vocational","","","","","2"
"No","2010","Employed","higher education","","","","","2"
"No","2010","Not Employed","general elemantary","","","","","2"
"No","2010","Not Employed","middle vocational","","","","","2"
"No","2010","Not Employed","higher education","","","","","2"
"No","2010","Employed","in school","","","","","2"
"No","2010","Employed","middle vocational","","","","","2"
"No","2010","Employed","vocational + Abi","","","","","2"
