"ple0017","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","vocational + Abi","143","0.91598923766409","0.87231806133617","0.959660413992009","2"
"No","2009","Single parent ","in school","42","0.970776074386213","0.921564116562995","1.01998803220943","2"
"No","2009","(Married) couple without C. ","vocational + Abi","283","0.955412586835394","0.931819973863013","0.979005199807775","2"
"No","2009","1-pers.-HH","inadequately","23","","","","2"
"No","2009","(Married) couple without C. ","middle vocational","3342","0.948546748100605","0.941246527951536","0.955846968249675","2"
"No","2009","1-pers.-HH","in school","1","","","","2"
"No","2009","Couple + C. LE 16 ","middle vocational","1265","0.927117002251146","0.91329157400727","0.940942430495022","2"
"No","2009","Couple + C. LE 16 ","in school","","","","","2"
"No","2009","Couple + C. GT 16 ","general elemantary","334","0.982467494224868","0.968598340553982","0.996336647895754","2"
"No","2009","Couple + C. GT 16 ","middle vocational","1531","0.963705824519327","0.954504500235307","0.972907148803346","2"
"No","2009","Single parent ","higher education","145","0.919432412348939","0.876446335026524","0.962418489671354","2"
"No","2009","Couple + C. GT 16 ","higher education","551","0.935691251319029","0.915779240129455","0.955603262508603","2"
"No","2009","Couple + C. LE and GT 16","in school","118","0.979901034292088","0.954686405843958","1.00511566274022","2"
"No","2009","Couple + C. LE and GT 16","inadequately","8","","","","2"
"No","2009","Couple + C. LE and GT 16","general elemantary","126","0.939459117872853","0.8995243538338","0.979393881911906","2"
"No","2009","Couple + C. LE and GT 16","middle vocational","470","0.94038902131541","0.919446727607125","0.961331315023694","2"
"No","2009","Couple + C. LE and GT 16","vocational + Abi","64","0.937575696725039","0.88049312011189","0.994658273338188","2"
"No","2009","Couple + C. LE and GT 16","higher vocational","75","0.976960477893509","0.943665707790027","1.01025524799699","2"
"No","2009","Couple + C. LE and GT 16","higher education","197","0.943492651162943","0.912188878939857","0.974796423386029","2"
"No","2009","1-pers.-HH","general elemantary","378","0.961145686205081","0.942112358274299","0.980179014135864","2"
"No","2009","1-pers.-HH","middle vocational","1448","0.961216591856274","0.951458659851193","0.970974523861354","2"
"No","2009","(Married) couple without C. ","higher vocational","498","0.976437238279479","0.96336234712806","0.989512129430899","2"
"No","2009","(Married) couple without C. ","higher education","1656","0.948903437907885","0.938569122765666","0.959237753050103","2"
"No","2009","Couple + C. LE 16 ","inadequately","22","","","","2"
"No","2009","Couple + C. LE 16 ","general elemantary","170","0.949922774457734","0.918148687241072","0.981696861674395","2"
"No","2009","Couple + C. GT 16 ","vocational + Abi","131","0.937161855634637","0.897106784039035","0.97721692723024","2"
"No","2009","Couple + C. GT 16 ","higher vocational","203","0.984380708365979","0.967569955569649","1.00119146116231","2"
"No","2009","1-pers.-HH","higher vocational","171","0.938874214326392","0.904630166152975","0.973118262499809","2"
"No","2009","1-pers.-HH","higher education","583","0.963603445168114","0.948766254066623","0.978440636269605","2"
"No","2009","(Married) couple without C. ","in school","3","","","","2"
"No","2009","(Married) couple without C. ","inadequately","52","0.941548643761891","0.878978105872488","1.00411918165129","2"
"No","2009","(Married) couple without C. ","general elemantary","487","0.926435208601955","0.903975353924975","0.948895063278934","2"
"No","2009","Single parent ","inadequately","18","","","","2"
"No","2009","Single parent ","general elemantary","159","0.927487638574114","0.888731191515621","0.966244085632608","2"
"No","2009","Single parent ","middle vocational","444","0.918900983281268","0.894505034927368","0.943296931635169","2"
"No","2009","Single parent ","vocational + Abi","42","0.91941392314138","0.838985917868639","0.99984192841412","2"
"No","2009","Single parent ","higher vocational","33","0.967573200057792","0.908890778041964","1.02625562207362","2"
"No","2009","Couple + C. LE 16 ","vocational + Abi","260","0.928924743142462","0.899093239421168","0.958756246863757","2"
