"ple0017","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","no migration background","2528","0.959986220782553","0.952519869727819","0.967452571837287","2"
"No","2009","(Married) couple without C. ","direct migration background","496","0.927893480886932","0.905809411114363","0.949977550659502","2"
"No","2009","Couple + C. LE 16 ","direct migration background","324","0.93589029162638","0.909776850052955","0.962003733199806","2"
"No","2009","1-pers.-HH","indirect migration background","73","0.943845098697436","0.892754030101994","0.994936167292878","2"
"No","2009","(Married) couple without C. ","no migration background","5743","0.951867015959062","0.946468937977723","0.957265093940401","2"
"No","2009","Couple + C. GT 16 ","no migration background","2590","0.967747545563168","0.96106754218274","0.974427548943595","2"
"No","2009","Couple + C. GT 16 ","direct migration background","299","0.960506617847068","0.938998363743787","0.98201487195035","2"
"No","2009","Couple + C. LE and GT 16","no migration background","866","0.944377848625391","0.929486837707911","0.959268859542871","2"
"No","2009","Couple + C. LE and GT 16","direct migration background","156","0.921211811483381","0.880594137889336","0.961829485077426","2"
"No","2009","Couple + C. LE and GT 16","indirect migration background","99","0.982837438034704","0.957632832211645","1.00804204385776","2"
"No","2009","Couple + C. LE 16 ","indirect migration background","155","0.904801686798604","0.860421944345839","0.949181429251368","2"
"No","2009","1-pers.-HH","direct migration background","174","0.938991532052109","0.904501934700202","0.973481129404016","2"
"No","2009","Couple + C. GT 16 ","indirect migration background","155","0.94730860820884","0.913010523723735","0.981606692693945","2"
"No","2009","(Married) couple without C. ","indirect migration background","108","0.941540127687595","0.898473187856336","0.984607067518854","2"
"No","2009","Single parent ","no migration background","780","0.932165890286319","0.915089492667071","0.949242287905567","2"
"No","2009","Single parent ","direct migration background","81","0.925793385381889","0.871339178875321","0.980247591888457","2"
"No","2009","Single parent ","indirect migration background","66","0.90979645584019","0.844526074162811","0.975066837517568","2"
"No","2009","Couple + C. LE 16 ","no migration background","2187","0.930181628602881","0.919886930915138","0.940476326290624","2"
"Yes","2009","1-pers.-HH","no migration background","119","0.0400137792174473","0.0325474281627133","0.0474801302721814","1"
"Yes","2009","1-pers.-HH","direct migration background","11","","","","1"
"Yes","2009","1-pers.-HH","indirect migration background","5","","","","1"
"Yes","2009","(Married) couple without C. ","no migration background","297","0.0481329840409378","0.0427349060595987","0.0535310620222769","1"
"Yes","2009","(Married) couple without C. ","direct migration background","31","0.072106519113068","0.0500224493404986","0.0941905888856373","1"
"Yes","2009","(Married) couple without C. ","indirect migration background","6","","","","1"
"Yes","2009","Single parent ","no migration background","53","0.0678341097136809","0.0507577120944329","0.0849105073329288","1"
"Yes","2009","Single parent ","direct migration background","8","","","","1"
"Yes","2009","Single parent ","indirect migration background","8","","","","1"
"Yes","2009","Couple + C. LE 16 ","no migration background","167","0.069818371397119","0.059523673709376","0.080113069084862","1"
"Yes","2009","Couple + C. LE 16 ","direct migration background","14","","","","1"
"Yes","2009","Couple + C. LE 16 ","indirect migration background","13","","","","1"
"Yes","2009","Couple + C. GT 16 ","no migration background","97","0.0322524544368325","0.0255724510564049","0.0389324578172601","1"
"Yes","2009","Couple + C. GT 16 ","direct migration background","16","","","","1"
"Yes","2009","Couple + C. GT 16 ","indirect migration background","8","","","","1"
"Yes","2009","Couple + C. LE and GT 16","no migration background","44","0.0556221513746089","0.0407311404571286","0.0705131622920891","1"
"Yes","2009","Couple + C. LE and GT 16","direct migration background","13","","","","1"
"Yes","2009","Couple + C. LE and GT 16","indirect migration background","3","","","","1"
"No","2010","Couple + C. LE 16 ","direct migration background","","","","","2"
"No","2010","Couple + C. LE 16 ","indirect migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","no migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","direct migration background","","","","","2"
"No","2010","1-pers.-HH","no migration background","","","","","2"
"No","2010","1-pers.-HH","indirect migration background","","","","","2"
"No","2010","(Married) couple without C. ","no migration background","","","","","2"
"No","2010","(Married) couple without C. ","direct migration background","","","","","2"
"No","2010","Couple + C. GT 16 ","indirect migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","no migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","direct migration background","","","","","2"
"No","2010","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"No","2010","1-pers.-HH","direct migration background","","","","","2"
"No","2010","(Married) couple without C. ","indirect migration background","","","","","2"
"No","2010","Single parent ","no migration background","","","","","2"
"No","2010","Single parent ","direct migration background","","","","","2"
"No","2010","Single parent ","indirect migration background","","","","","2"
"No","2010","Couple + C. LE 16 ","no migration background","","","","","2"
"Yes","2010","1-pers.-HH","no migration background","","","","","1"
"Yes","2010","1-pers.-HH","direct migration background","","","","","1"
"Yes","2010","1-pers.-HH","indirect migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","no migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","direct migration background","","","","","1"
"Yes","2010","(Married) couple without C. ","indirect migration background","","","","","1"
"Yes","2010","Single parent ","no migration background","","","","","1"
"Yes","2010","Single parent ","direct migration background","","","","","1"
"Yes","2010","Single parent ","indirect migration background","","","","","1"
"Yes","2010","Couple + C. LE 16 ","no migration background","","","","","1"
"Yes","2010","Couple + C. LE 16 ","direct migration background","","","","","1"
"Yes","2010","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Yes","2010","Couple + C. GT 16 ","no migration background","","","","","1"
"Yes","2010","Couple + C. GT 16 ","direct migration background","","","","","1"
"Yes","2010","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","no migration background","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"No","2011","1-pers.-HH","no migration background","3061","0.948955054419655","0.94137201997354","0.95653808886577","2"
"No","2011","Couple + C. LE 16 ","direct migration background","357","0.96850715397537","0.950901199987143","0.986113107963598","2"
"No","2011","Couple + C. LE 16 ","indirect migration background","185","0.93996235285679","0.906619876859414","0.973304828854165","2"
"No","2011","Couple + C. GT 16 ","no migration background","2591","0.956742985075943","0.949087916057977","0.964398054093909","2"
"No","2011","Couple + C. GT 16 ","direct migration background","302","0.951103170221781","0.927363612377486","0.974842728066076","2"
"No","2011","Couple + C. GT 16 ","indirect migration background","165","0.975881524134621","0.952887048331503","0.99887599993774","2"
"No","2011","Couple + C. LE and GT 16","no migration background","855","0.917506128990195","0.89976719841325","0.93524505956714","2"
"No","2011","Couple + C. LE and GT 16","direct migration background","201","0.979292050843035","0.960031748366868","0.998552353319202","2"
"No","2011","Couple + C. LE and GT 16","indirect migration background","98","0.982814284704582","0.957342015995387","1.00828655341378","2"
"No","2011","1-pers.-HH","direct migration background","233","0.946734046149556","0.918785378937036","0.974682713362076","2"
"No","2011","1-pers.-HH","indirect migration background","81","0.870929463745561","0.801661585474767","0.940197342016355","2"
"No","2011","(Married) couple without C. ","no migration background","7008","0.949289945561795","0.9442787923629","0.954301098760691","2"
"No","2011","(Married) couple without C. ","direct migration background","616","0.929031799994839","0.909261749749352","0.948801850240327","2"
"No","2011","(Married) couple without C. ","indirect migration background","124","0.949169388302337","0.911839490563638","0.986499286041036","2"
"No","2011","Single parent ","no migration background","890","0.942839352691788","0.928138830699812","0.957539874683763","2"
"No","2011","Single parent ","direct migration background","120","0.936370417637816","0.894730054893219","0.978010780382412","2"
"No","2011","Single parent ","indirect migration background","77","0.977021732096557","0.944979762482391","1.00906370171072","2"
"No","2011","Couple + C. LE 16 ","no migration background","2349","0.916676688948158","0.905937267373029","0.927416110523288","2"
"Yes","2011","1-pers.-HH","no migration background","175","0.0510449455803452","0.04346191113423","0.0586279800264603","1"
"Yes","2011","1-pers.-HH","direct migration background","15","","","","1"
"Yes","2011","1-pers.-HH","indirect migration background","9","","","","1"
"Yes","2011","(Married) couple without C. ","no migration background","356","0.0507100544382045","0.045698901239309","0.0557212076371001","1"
"Yes","2011","(Married) couple without C. ","direct migration background","32","0.0709682000051606","0.0511981497596734","0.0907382502506478","1"
"Yes","2011","(Married) couple without C. ","indirect migration background","9","","","","1"
"Yes","2011","Single parent ","no migration background","68","0.0571606473082124","0.0424601253162366","0.0718611693001883","1"
"Yes","2011","Single parent ","direct migration background","12","","","","1"
"Yes","2011","Single parent ","indirect migration background","7","","","","1"
"Yes","2011","Couple + C. LE 16 ","no migration background","195","0.0833233110518417","0.0725838894767124","0.0940627326269709","1"
"Yes","2011","Couple + C. LE 16 ","direct migration background","21","","","","1"
"Yes","2011","Couple + C. LE 16 ","indirect migration background","10","","","","1"
"Yes","2011","Couple + C. GT 16 ","no migration background","122","0.0432570149240568","0.035601945906091","0.0509120839420226","1"
"Yes","2011","Couple + C. GT 16 ","direct migration background","15","","","","1"
"Yes","2011","Couple + C. GT 16 ","indirect migration background","6","","","","1"
