"pli0093_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","Male","46","0.0191743231621648","0.0133963516342138","0.0249522946901159"
"Daily","1990","lower secondary degree","Female","34","0.0129209542523142","0.0083713646494758","0.0174705438551527"
"Daily","1990","secondary school degree","Male","17","","",""
"Daily","1990","secondary school degree","Female","44","0.043979090093578","0.0312255637889844","0.0567326163981716"
"Daily","1990","college entrance qualification","Male","36","0.0517552979603485","0.0358475913089648","0.0676630046117322"
"Daily","1990","college entrance qualification","Female","30","0.063053347049641","0.0407689188156549","0.0853377752836271"
"Daily","1990","Other degree","Male","9","","",""
"Daily","1990","Other degree","Female","6","","",""
"Daily","1990","no degree/no degree yet","Male","13","","",""
"Daily","1990","no degree/no degree yet","Female","14","","",""
"Min 1x per week","1990","lower secondary degree","Male","158","0.0788704028789998","0.0675141027707639","0.0902267029872357"
"Min 1x per week","1990","lower secondary degree","Female","150","0.0589813916325691","0.0494905314507919","0.0684722518143463"
"Min 1x per week","1990","secondary school degree","Male","86","0.115590440399722","0.0916642416237152","0.139516639175729"
"Min 1x per week","1990","secondary school degree","Female","127","0.12001324190505","0.0998004586504596","0.14022602515964"
"Min 1x per week","1990","college entrance qualification","Male","122","0.15910314605349","0.132837946658876","0.185368345448103"
"Min 1x per week","1990","college entrance qualification","Female","108","0.243019700481859","0.203696123085675","0.282343277878042"
"Min 1x per week","1990","Other degree","Male","19","","",""
"Min 1x per week","1990","Other degree","Female","12","","",""
"Min 1x per week","1990","no degree/no degree yet","Male","16","","",""
"Min 1x per week","1990","no degree/no degree yet","Female","30","0.147356331824006","0.114858216340835","0.179854447307178"
"Min 1x per month","1990","lower secondary degree","Male","206","0.0937603021984511","0.0814788279121418","0.106041776484761"
"Min 1x per month","1990","lower secondary degree","Female","219","0.0857193001286319","0.0744414051426422","0.0969971951146216"
"Min 1x per month","1990","secondary school degree","Male","101","0.157631283332222","0.130362965097151","0.184899601567294"
"Min 1x per month","1990","secondary school degree","Female","196","0.186844053117114","0.162600290227431","0.211087816006797"
"Min 1x per month","1990","college entrance qualification","Male","142","0.19322136468247","0.164869950821081","0.22157277854386"
"Min 1x per month","1990","college entrance qualification","Female","92","0.204997930137211","0.167985392784622","0.2420104674898"
"Min 1x per month","1990","Other degree","Male","30","0.0630559684006925","0.0434264172969376","0.0826855195044474"
"Min 1x per month","1990","Other degree","Female","17","","",""
"Min 1x per month","1990","no degree/no degree yet","Male","19","","",""
"Min 1x per month","1990","no degree/no degree yet","Female","13","","",""
"Rarely","1990","lower secondary degree","Male","628","0.29325035420342","0.274069341399893","0.312431367006948"
"Rarely","1990","lower secondary degree","Female","638","0.261626584559041","0.24392028025443","0.279332888863653"
"Rarely","1990","secondary school degree","Male","243","0.363055115152791","0.327069971536823","0.399040258768759"
"Rarely","1990","secondary school degree","Female","325","0.332938269609671","0.303626749709305","0.362249789510037"
"Rarely","1990","college entrance qualification","Male","240","0.324377153074963","0.29076105924921","0.357993246900716"
"Rarely","1990","college entrance qualification","Female","149","0.314736634138723","0.272157934236411","0.357315334041035"
"Rarely","1990","Other degree","Male","95","0.152860967857687","0.1237995972839","0.181922338431475"
"Rarely","1990","Other degree","Female","65","0.173163584748225","0.136537183887557","0.209789985608893"
"Rarely","1990","no degree/no degree yet","Male","79","0.277997793169374","0.232653525331762","0.323342061006985"
"Rarely","1990","no degree/no degree yet","Female","61","0.135313010643641","0.103952059084532","0.166673962202751"
"Never","1990","lower secondary degree","Male","1126","0.514944617556964","0.493887671314808","0.53600156379912"
"Never","1990","lower secondary degree","Female","1326","0.580751769427443","0.560873441440215","0.600630097414671"
"Never","1990","secondary school degree","Male","239","0.337306205775857","0.301926464660236","0.372685946891479"
"Never","1990","secondary school degree","Female","301","0.316225345274587","0.287303346462853","0.345147344086321"
"Never","1990","college entrance qualification","Male","205","0.271543038228729","0.239606249878038","0.30347982657942"
"Never","1990","college entrance qualification","Female","78","0.174192388192567","0.139419239429741","0.208965536955393"
"Never","1990","Other degree","Male","436","0.728974603548658","0.693078142299497","0.764871064797818"
"Never","1990","Other degree","Female","310","0.703362772971508","0.65914888787064","0.747576658072375"
"Never","1990","no degree/no degree yet","Male","248","0.518255746499601","0.467683436462511","0.568828056536691"
"Never","1990","no degree/no degree yet","Female","339","0.609381113660144","0.564649856423808","0.654112370896479"
"Daily","1991","lower secondary degree","Male","","","",""
"Daily","1991","lower secondary degree","Female","","","",""
"Daily","1991","secondary school degree","Male","","","",""
"Daily","1991","secondary school degree","Female","","","",""
"Daily","1991","college entrance qualification","Male","","","",""
"Daily","1991","college entrance qualification","Female","","","",""
"Daily","1991","Other degree","Male","","","",""
