"pli0093_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","1-pers.-HH","10","","",""
"Daily","1990","lower secondary degree","(Married) couple without C. ","25","","",""
"Daily","1990","lower secondary degree","Single parent ","8","","",""
"Daily","1990","lower secondary degree","Couple + C. LE 16 ","11","","",""
"Daily","1990","lower secondary degree","Couple + C. GT 16 ","16","","",""
"Daily","1990","lower secondary degree","Couple + C. LE and GT 16","7","","",""
"Daily","1990","secondary school degree","1-pers.-HH","5","","",""
"Daily","1990","secondary school degree","(Married) couple without C. ","10","","",""
"Daily","1990","secondary school degree","Single parent ","3","","",""
"Daily","1990","secondary school degree","Couple + C. LE 16 ","11","","",""
"Daily","1990","secondary school degree","Couple + C. GT 16 ","19","","",""
"Daily","1990","secondary school degree","Couple + C. LE and GT 16","8","","",""
"Daily","1990","college entrance qualification","1-pers.-HH","11","","",""
"Daily","1990","college entrance qualification","(Married) couple without C. ","17","","",""
"Daily","1990","college entrance qualification","Single parent ","4","","",""
"Daily","1990","college entrance qualification","Couple + C. LE 16 ","11","","",""
"Daily","1990","college entrance qualification","Couple + C. GT 16 ","16","","",""
"Daily","1990","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Daily","1990","Other degree","1-pers.-HH","1","","",""
"Daily","1990","Other degree","(Married) couple without C. ","3","","",""
"Daily","1990","Other degree","Single parent ","1","","",""
"Daily","1990","Other degree","Couple + C. LE 16 ","5","","",""
"Daily","1990","Other degree","Couple + C. GT 16 ","4","","",""
"Daily","1990","Other degree","Couple + C. LE and GT 16","1","","",""
"Daily","1990","no degree/no degree yet","1-pers.-HH","","","",""
"Daily","1990","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Daily","1990","no degree/no degree yet","Single parent ","2","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Daily","1990","no degree/no degree yet","Couple + C. GT 16 ","13","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE and GT 16","8","","",""
"Min 1x per week","1990","lower secondary degree","1-pers.-HH","31","0.0600548790654626","0.0397122141783614","0.0803975439525638"
"Min 1x per week","1990","lower secondary degree","(Married) couple without C. ","84","0.0653149745901769","0.0518160913422046","0.0788138578381491"
"Min 1x per week","1990","lower secondary degree","Single parent ","21","","",""
"Min 1x per week","1990","lower secondary degree","Couple + C. LE 16 ","57","0.0691650626056886","0.0525138682978005","0.0858162569135766"
"Min 1x per week","1990","lower secondary degree","Couple + C. GT 16 ","69","0.0724495980737187","0.0559478226819209","0.0889513734655165"
"Min 1x per week","1990","lower secondary degree","Couple + C. LE and GT 16","30","0.0833780728821113","0.0539928032489152","0.112763342515307"
"Min 1x per week","1990","secondary school degree","1-pers.-HH","25","","",""
"Min 1x per week","1990","secondary school degree","(Married) couple without C. ","45","0.10024946820529","0.0720909713812257","0.128407965029354"
"Min 1x per week","1990","secondary school degree","Single parent ","9","","",""
"Min 1x per week","1990","secondary school degree","Couple + C. LE 16 ","49","0.110741482177217","0.0798725205801186","0.141610443774315"
"Min 1x per week","1990","secondary school degree","Couple + C. GT 16 ","56","0.149601700255994","0.113010124244615","0.186193276267373"
"Min 1x per week","1990","secondary school degree","Couple + C. LE and GT 16","26","","",""
"Min 1x per week","1990","college entrance qualification","1-pers.-HH","35","0.202426310459428","0.144525970184085","0.26032665073477"
"Min 1x per week","1990","college entrance qualification","(Married) couple without C. ","52","0.165327830788889","0.123841628277058","0.206814033300721"
"Min 1x per week","1990","college entrance qualification","Single parent ","17","","",""
"Min 1x per week","1990","college entrance qualification","Couple + C. LE 16 ","52","0.201230740590649","0.152960108238036","0.249501372943262"
"Min 1x per week","1990","college entrance qualification","Couple + C. GT 16 ","50","0.177911709618037","0.132711209325806","0.223112209910269"
"Min 1x per week","1990","college entrance qualification","Couple + C. LE and GT 16","7","","",""
"Min 1x per week","1990","Other degree","1-pers.-HH","4","","",""
"Min 1x per week","1990","Other degree","(Married) couple without C. ","1","","",""
"Min 1x per week","1990","Other degree","Single parent ","1","","",""
