"pli0093_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","(0) in school","","","",""
"Daily","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Daily","1990","lower secondary degree","(1b) general elementary school","33","0.0159142433022517","0.0097611200828855","0.0220673665216179"
"Daily","1990","lower secondary degree","(1c) basic vocational qualification","47","0.0158059763420589","0.0112774766468308","0.0203344760372869"
"Daily","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Daily","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Daily","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Daily","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Daily","1990","secondary school degree","(0) in school","","","",""
"Daily","1990","secondary school degree","(1a) inadequately completed","","","",""
"Daily","1990","secondary school degree","(1b) general elementary school","","","",""
"Daily","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Daily","1990","secondary school degree","(2b) intermediate general qualification","23","","",""
"Daily","1990","secondary school degree","(2a) intermediate vocational","35","0.0275714360113005","0.018537501035345","0.0366053709872559"
"Daily","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","secondary school degree","(3a) lower tertiary education","2","","",""
"Daily","1990","secondary school degree","(3b) higher tertiary education","1","","",""
"Daily","1990","college entrance qualification","(0) in school","","","",""
"Daily","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Daily","1990","college entrance qualification","(1b) general elementary school","","","",""
"Daily","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Daily","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Daily","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Daily","1990","college entrance qualification","(2c_gen) general maturity certificate","18","","",""
"Daily","1990","college entrance qualification","(2c_voc) vocational maturity certificate","10","","",""
"Daily","1990","college entrance qualification","(3a) lower tertiary education","15","","",""
"Daily","1990","college entrance qualification","(3b) higher tertiary education","23","","",""
"Daily","1990","Other degree","(0) in school","","","",""
"Daily","1990","Other degree","(1a) inadequately completed","","","",""
"Daily","1990","Other degree","(1b) general elementary school","8","","",""
"Daily","1990","Other degree","(1c) basic vocational qualification","4","","",""
"Daily","1990","Other degree","(2b) intermediate general qualification","","","",""
"Daily","1990","Other degree","(2a) intermediate vocational","","","",""
"Daily","1990","Other degree","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","Other degree","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Other degree","(3a) lower tertiary education","","","",""
"Daily","1990","Other degree","(3b) higher tertiary education","1","","",""
"Daily","1990","no degree/no degree yet","(0) in school","23","","",""
"Daily","1990","no degree/no degree yet","(1a) inadequately completed","4","","",""
"Daily","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Daily","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Daily","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Daily","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Daily","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Daily","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per week","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","lower secondary degree","(1b) general elementary school","85","0.0485963912264458","0.0380240651475468","0.0591687173053448"
"Min 1x per week","1990","lower secondary degree","(1c) basic vocational qualification","218","0.0769711528758396","0.0672933905958899","0.0866489151557893"
"Min 1x per week","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per week","1990","lower secondary degree","(3a) lower tertiary education","2","","",""
"Min 1x per week","1990","lower secondary degree","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","secondary school degree","(0) in school","","","",""
"Min 1x per week","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per week","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","secondary school degree","(2b) intermediate general qualification","47","0.1283715338953","0.0938176469057176","0.162925420884883"
"Min 1x per week","1990","secondary school degree","(2a) intermediate vocational","161","0.117420275365059","0.0996592950084875","0.13518125572163"
"Min 1x per week","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","secondary school degree","(3a) lower tertiary education","4","","",""
"Min 1x per week","1990","secondary school degree","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per week","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per week","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per week","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","college entrance qualification","(2c_gen) general maturity certificate","63","0.200281051221485","0.153487763998308","0.247074338444661"
"Min 1x per week","1990","college entrance qualification","(2c_voc) vocational maturity certificate","58","0.181327567307702","0.13982059120764","0.222834543407765"
"Min 1x per week","1990","college entrance qualification","(3a) lower tertiary education","22","","",""
"Min 1x per week","1990","college entrance qualification","(3b) higher tertiary education","87","0.219845483174259","0.179855744117119","0.2598352222314"
"Min 1x per week","1990","Other degree","(0) in school","","","",""
"Min 1x per week","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","Other degree","(1b) general elementary school","12","","",""
"Min 1x per week","1990","Other degree","(1c) basic vocational qualification","11","","",""
"Min 1x per week","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","Other degree","(2c_gen) general maturity certificate","4","","",""
"Min 1x per week","1990","Other degree","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per week","1990","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","Other degree","(3b) higher tertiary education","3","","",""
"Min 1x per week","1990","no degree/no degree yet","(0) in school","35","0.23506019223786","0.169149980998462","0.300970403477258"
"Min 1x per week","1990","no degree/no degree yet","(1a) inadequately completed","11","","",""
"Min 1x per week","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per week","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per month","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","lower secondary degree","(1b) general elementary school","106","0.0561299065121106","0.0448126954683983","0.0674471175558229"
"Min 1x per month","1990","lower secondary degree","(1c) basic vocational qualification","317","0.106467377660781","0.0952686984987524","0.11766605682281"
"Min 1x per month","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per month","1990","lower secondary degree","(3a) lower tertiary education","1","","",""
"Min 1x per month","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","secondary school degree","(0) in school","","","",""
"Min 1x per month","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per month","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","secondary school degree","(2b) intermediate general qualification","76","0.20277109013412","0.161238274120741","0.244303906147498"
"Min 1x per month","1990","secondary school degree","(2a) intermediate vocational","209","0.165873347747652","0.145351204364921","0.186395491130382"
"Min 1x per month","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(3a) lower tertiary education","10","","",""
"Min 1x per month","1990","secondary school degree","(3b) higher tertiary education","2","","",""
"Min 1x per month","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per month","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per month","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per month","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","college entrance qualification","(2c_gen) general maturity certificate","59","0.233238180000813","0.183792882669924","0.282683477331702"
"Min 1x per month","1990","college entrance qualification","(2c_voc) vocational maturity certificate","61","0.197121539997742","0.154264118418556","0.239978961576928"
"Min 1x per month","1990","college entrance qualification","(3a) lower tertiary education","28","","",""
"Min 1x per month","1990","college entrance qualification","(3b) higher tertiary education","86","0.198416572942743","0.159907521619084","0.236925624266402"
"Min 1x per month","1990","Other degree","(0) in school","","","",""
"Min 1x per month","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","Other degree","(1b) general elementary school","14","","",""
"Min 1x per month","1990","Other degree","(1c) basic vocational qualification","18","","",""
"Min 1x per month","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","Other degree","(2c_gen) general maturity certificate","2","","",""
"Min 1x per month","1990","Other degree","(2c_voc) vocational maturity certificate","9","","",""
"Min 1x per month","1990","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","Other degree","(3b) higher tertiary education","4","","",""
"Min 1x per month","1990","no degree/no degree yet","(0) in school","13","","",""
"Min 1x per month","1990","no degree/no degree yet","(1a) inadequately completed","18","","",""
"Min 1x per month","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per month","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Rarely","1990","lower secondary degree","(0) in school","","","",""
"Rarely","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Rarely","1990","lower secondary degree","(1b) general elementary school","340","0.21350815281026","0.193359756411733","0.233656549208787"
"Rarely","1990","lower secondary degree","(1c) basic vocational qualification","919","0.307727602666335","0.290969492086663","0.324485713246006"
"Rarely","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Rarely","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Rarely","1990","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Rarely","1990","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"Rarely","1990","lower secondary degree","(3a) lower tertiary education","3","","",""
"Rarely","1990","lower secondary degree","(3b) higher tertiary education","1","","",""
"Rarely","1990","secondary school degree","(0) in school","","","",""
"Rarely","1990","secondary school degree","(1a) inadequately completed","","","",""
"Rarely","1990","secondary school degree","(1b) general elementary school","","","",""
"Rarely","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Rarely","1990","secondary school degree","(2b) intermediate general qualification","97","0.291665855770164","0.244713355431268","0.338618356109059"
"Rarely","1990","secondary school degree","(2a) intermediate vocational","450","0.356724830063018","0.330295662918674","0.383153997207363"
