"pli0093_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","(0) in school","19","","",""
"Daily","1990","no migration background","(1a) inadequately completed","1","","",""
"Daily","1990","no migration background","(1b) general elementary school","20","","",""
"Daily","1990","no migration background","(1c) basic vocational qualification","40","0.0145923457985076","0.00997151146238647","0.0192131801346287"
"Daily","1990","no migration background","(2b) intermediate general qualification","20","","",""
"Daily","1990","no migration background","(2a) intermediate vocational","33","0.0279953082036679","0.0184612899739985","0.0375293264333373"
"Daily","1990","no migration background","(2c_gen) general maturity certificate","16","","",""
"Daily","1990","no migration background","(2c_voc) vocational maturity certificate","8","","",""
"Daily","1990","no migration background","(3a) lower tertiary education","14","","",""
"Daily","1990","no migration background","(3b) higher tertiary education","24","","",""
"Daily","1990","direct migration background","(0) in school","2","","",""
"Daily","1990","direct migration background","(1a) inadequately completed","3","","",""
"Daily","1990","direct migration background","(1b) general elementary school","15","","",""
"Daily","1990","direct migration background","(1c) basic vocational qualification","11","","",""
"Daily","1990","direct migration background","(2b) intermediate general qualification","2","","",""
"Daily","1990","direct migration background","(2a) intermediate vocational","2","","",""
"Daily","1990","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Daily","1990","direct migration background","(2c_voc) vocational maturity certificate","3","","",""
"Daily","1990","direct migration background","(3a) lower tertiary education","3","","",""
"Daily","1990","direct migration background","(3b) higher tertiary education","1","","",""
"Daily","1990","indirect migration background","(0) in school","2","","",""
"Daily","1990","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1990","indirect migration background","(1b) general elementary school","6","","",""
"Daily","1990","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1990","indirect migration background","(2b) intermediate general qualification","1","","",""
"Daily","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1990","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","no migration background","(0) in school","24","","",""
"Min 1x per week","1990","no migration background","(1a) inadequately completed","","","",""
"Min 1x per week","1990","no migration background","(1b) general elementary school","65","0.0507733793916627","0.0385934775549164","0.062953281228409"
"Min 1x per week","1990","no migration background","(1c) basic vocational qualification","198","0.0768427725851932","0.0665794205178109","0.0871061246525755"
"Min 1x per week","1990","no migration background","(2b) intermediate general qualification","31","0.118385541641178","0.0802717430460077","0.156499340236349"
"Min 1x per week","1990","no migration background","(2a) intermediate vocational","146","0.119727444679684","0.100964344016594","0.138490545342774"
"Min 1x per week","1990","no migration background","(2c_gen) general maturity certificate","51","0.203015373685991","0.151030905134414","0.254999842237569"
"Min 1x per week","1990","no migration background","(2c_voc) vocational maturity certificate","51","0.171860889116569","0.128737329648894","0.214984448584245"
"Min 1x per week","1990","no migration background","(3a) lower tertiary education","25","","",""
"Min 1x per week","1990","no migration background","(3b) higher tertiary education","84","0.21755010747095","0.17686293949447","0.258237275447429"
"Min 1x per week","1990","direct migration background","(0) in school","6","","",""
"Min 1x per week","1990","direct migration background","(1a) inadequately completed","11","","",""
