"pli0093_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","no migration background","59","0.0147184048599262","0.0108940942152584","0.0185427155045941"
"Daily","1990","lower secondary degree","direct migration background","15","","",""
"Daily","1990","lower secondary degree","indirect migration background","6","","",""
"Daily","1990","secondary school degree","no migration background","56","0.037107421674189","0.0274706807529987","0.0467441625953792"
"Daily","1990","secondary school degree","direct migration background","4","","",""
"Daily","1990","secondary school degree","indirect migration background","1","","",""
"Daily","1990","college entrance qualification","no migration background","58","0.0538583415094725","0.0402496876534816","0.0674669953654634"
"Daily","1990","college entrance qualification","direct migration background","7","","",""
"Daily","1990","college entrance qualification","indirect migration background","1","","",""
"Daily","1990","Other degree","no migration background","2","","",""
"Daily","1990","Other degree","direct migration background","13","","",""
"Daily","1990","Other degree","indirect migration background","","","",""
"Daily","1990","no degree/no degree yet","no migration background","20","","",""
"Daily","1990","no degree/no degree yet","direct migration background","5","","",""
"Daily","1990","no degree/no degree yet","indirect migration background","2","","",""
"Min 1x per week","1990","lower secondary degree","no migration background","262","0.0684360376507771","0.0604175701615561","0.0764545051399981"
"Min 1x per week","1990","lower secondary degree","direct migration background","39","0.0616633270580369","0.0421876706158049","0.0811389835002688"
"Min 1x per week","1990","lower secondary degree","indirect migration background","7","","",""
"Min 1x per week","1990","secondary school degree","no migration background","182","0.118179829264925","0.101721999438294","0.134637659091557"
"Min 1x per week","1990","secondary school degree","direct migration background","17","","",""
"Min 1x per week","1990","secondary school degree","indirect migration background","14","","",""
"Min 1x per week","1990","college entrance qualification","no migration background","202","0.190253654271782","0.166591646136314","0.21391566240725"
"Min 1x per week","1990","college entrance qualification","direct migration background","21","","",""
"Min 1x per week","1990","college entrance qualification","indirect migration background","7","","",""
"Min 1x per week","1990","Other degree","no migration background","4","","",""
"Min 1x per week","1990","Other degree","direct migration background","24","","",""
"Min 1x per week","1990","Other degree","indirect migration background","3","","",""
"Min 1x per week","1990","no degree/no degree yet","no migration background","24","","",""
"Min 1x per week","1990","no degree/no degree yet","direct migration background","16","","",""
"Min 1x per week","1990","no degree/no degree yet","indirect migration background","6","","",""
"Min 1x per month","1990","lower secondary degree","no migration background","362","0.0902269337984389","0.0811282778777764","0.0993255897191015"
"Min 1x per month","1990","lower secondary degree","direct migration background","45","0.0784273198349465","0.0566603605091841","0.100194279160709"
"Min 1x per month","1990","lower secondary degree","indirect migration background","18","","",""
"Min 1x per month","1990","secondary school degree","no migration background","268","0.178343709463991","0.158827976633411","0.197859442294572"
"Min 1x per month","1990","secondary school degree","direct migration background","19","","",""
"Min 1x per month","1990","secondary school degree","indirect migration background","10","","",""
"Min 1x per month","1990","college entrance qualification","no migration background","200","0.186757669265943","0.163263515425422","0.210251823106465"
"Min 1x per month","1990","college entrance qualification","direct migration background","25","","",""
"Min 1x per month","1990","college entrance qualification","indirect migration background","9","","",""
"Min 1x per month","1990","Other degree","no migration background","6","","",""
"Min 1x per month","1990","Other degree","direct migration background","40","0.0474021313559334","0.0338752506556406","0.0609290120562263"
"Min 1x per month","1990","Other degree","indirect migration background","1","","",""
"Min 1x per month","1990","no degree/no degree yet","no migration background","11","","",""
"Min 1x per month","1990","no degree/no degree yet","direct migration background","17","","",""
"Min 1x per month","1990","no degree/no degree yet","indirect migration background","4","","",""
"Rarely","1990","lower secondary degree","no migration background","1100","0.276023782985939","0.261827390217697","0.29022017575418"
"Rarely","1990","lower secondary degree","direct migration background","133","0.28098401338095","0.244591725275431","0.317376301486468"
"Rarely","1990","lower secondary degree","indirect migration background","33","0.241866075857436","0.169898134267557","0.313834017447314"
"Rarely","1990","secondary school degree","no migration background","512","0.346918259342273","0.322651698866273","0.371184819818273"
"Rarely","1990","secondary school degree","direct migration background","45","0.304261437947413","0.230136604992239","0.378386270902586"
"Rarely","1990","secondary school degree","indirect migration background","11","","",""
"Rarely","1990","college entrance qualification","no migration background","354","0.330508632043395","0.302150704298901","0.358866559787888"
"Rarely","1990","college entrance qualification","direct migration background","29","","",""
"Rarely","1990","college entrance qualification","indirect migration background","6","","",""
"Rarely","1990","Other degree","no migration background","6","","",""
"Rarely","1990","Other degree","direct migration background","152","0.156176273360874","0.133067477479408","0.17928506924234"
"Rarely","1990","Other degree","indirect migration background","2","","",""
"Rarely","1990","no degree/no degree yet","no migration background","46","0.28524104028749","0.214611874836928","0.355870205738052"
"Rarely","1990","no degree/no degree yet","direct migration background","84","0.11918438687145","0.0938637308320825","0.144505042910818"
"Rarely","1990","no degree/no degree yet","indirect migration background","10","","",""
"Never","1990","lower secondary degree","no migration background","2026","0.550594840704919","0.534797728589513","0.566391952820325"
"Never","1990","lower secondary degree","direct migration background","354","0.55030401854524","0.510026739073707","0.590581298016773"
"Never","1990","lower secondary degree","indirect migration background","72","0.554903225659927","0.471378610176047","0.638427841143806"
"Never","1990","secondary school degree","no migration background","460","0.319450780254621","0.29568004468967","0.343221515819573"
"Never","1990","secondary school degree","direct migration background","63","0.423366378397241","0.343764118650118","0.502968638144364"
"Never","1990","secondary school degree","indirect migration background","17","","",""
"Never","1990","college entrance qualification","no migration background","243","0.238621702909408","0.212925685708737","0.264317720110078"
"Never","1990","college entrance qualification","direct migration background","37","0.202170113027887","0.130011489890268","0.274328736165505"
"Never","1990","college entrance qualification","indirect migration background","3","","",""
"Never","1990","Other degree","no migration background","22","","",""
"Never","1990","Other degree","direct migration background","719","0.758944184216885","0.731716691663156","0.786171676770613"
"Never","1990","Other degree","indirect migration background","5","","",""
"Never","1990","no degree/no degree yet","no migration background","56","0.369871893605636","0.294356001742639","0.445387785468633"
"Never","1990","no degree/no degree yet","direct migration background","507","0.785718118252608","0.753651816284546","0.81778442022067"
"Never","1990","no degree/no degree yet","indirect migration background","24","","",""
"Daily","1991","lower secondary degree","no migration background","","","",""
"Daily","1991","lower secondary degree","direct migration background","","","",""
"Daily","1991","lower secondary degree","indirect migration background","","","",""
"Daily","1991","secondary school degree","no migration background","","","",""
"Daily","1991","secondary school degree","direct migration background","","","",""
"Daily","1991","secondary school degree","indirect migration background","","","",""
"Daily","1991","college entrance qualification","no migration background","","","",""
"Daily","1991","college entrance qualification","direct migration background","","","",""
"Daily","1991","college entrance qualification","indirect migration background","","","",""
"Daily","1991","Other degree","no migration background","","","",""
"Daily","1991","Other degree","direct migration background","","","",""
"Daily","1991","Other degree","indirect migration background","","","",""
"Daily","1991","no degree/no degree yet","no migration background","","","",""
"Daily","1991","no degree/no degree yet","direct migration background","","","",""
"Daily","1991","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1991","lower secondary degree","no migration background","","","",""
"Min 1x per week","1991","lower secondary degree","direct migration background","","","",""
"Min 1x per week","1991","lower secondary degree","indirect migration background","","","",""
"Min 1x per week","1991","secondary school degree","no migration background","","","",""
"Min 1x per week","1991","secondary school degree","direct migration background","","","",""
"Min 1x per week","1991","secondary school degree","indirect migration background","","","",""
"Min 1x per week","1991","college entrance qualification","no migration background","","","",""
"Min 1x per week","1991","college entrance qualification","direct migration background","","","",""
"Min 1x per week","1991","college entrance qualification","indirect migration background","","","",""
"Min 1x per week","1991","Other degree","no migration background","","","",""
"Min 1x per week","1991","Other degree","direct migration background","","","",""
"Min 1x per week","1991","Other degree","indirect migration background","","","",""
"Min 1x per week","1991","no degree/no degree yet","no migration background","","","",""
"Min 1x per week","1991","no degree/no degree yet","direct migration background","","","",""
"Min 1x per week","1991","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per month","1991","lower secondary degree","no migration background","","","",""
"Min 1x per month","1991","lower secondary degree","direct migration background","","","",""
"Min 1x per month","1991","lower secondary degree","indirect migration background","","","",""
"Min 1x per month","1991","secondary school degree","no migration background","","","",""
"Min 1x per month","1991","secondary school degree","direct migration background","","","",""
"Min 1x per month","1991","secondary school degree","indirect migration background","","","",""
"Min 1x per month","1991","college entrance qualification","no migration background","","","",""
"Min 1x per month","1991","college entrance qualification","direct migration background","","","",""
"Min 1x per month","1991","college entrance qualification","indirect migration background","","","",""
"Min 1x per month","1991","Other degree","no migration background","","","",""
"Min 1x per month","1991","Other degree","direct migration background","","","",""
"Min 1x per month","1991","Other degree","indirect migration background","","","",""
"Min 1x per month","1991","no degree/no degree yet","no migration background","","","",""
"Min 1x per month","1991","no degree/no degree yet","direct migration background","","","",""
"Min 1x per month","1991","no degree/no degree yet","indirect migration background","","","",""
"Rarely","1991","lower secondary degree","no migration background","","","",""
"Rarely","1991","lower secondary degree","direct migration background","","","",""
"Rarely","1991","lower secondary degree","indirect migration background","","","",""
"Rarely","1991","secondary school degree","no migration background","","","",""
"Rarely","1991","secondary school degree","direct migration background","","","",""
"Rarely","1991","secondary school degree","indirect migration background","","","",""
"Rarely","1991","college entrance qualification","no migration background","","","",""
"Rarely","1991","college entrance qualification","direct migration background","","","",""
"Rarely","1991","college entrance qualification","indirect migration background","","","",""
"Rarely","1991","Other degree","no migration background","","","",""
"Rarely","1991","Other degree","direct migration background","","","",""
"Rarely","1991","Other degree","indirect migration background","","","",""
"Rarely","1991","no degree/no degree yet","no migration background","","","",""
"Rarely","1991","no degree/no degree yet","direct migration background","","","",""
"Rarely","1991","no degree/no degree yet","indirect migration background","","","",""
"Never","1991","lower secondary degree","no migration background","","","",""
"Never","1991","lower secondary degree","direct migration background","","","",""
"Never","1991","lower secondary degree","indirect migration background","","","",""
"Never","1991","secondary school degree","no migration background","","","",""
"Never","1991","secondary school degree","direct migration background","","","",""
"Never","1991","secondary school degree","indirect migration background","","","",""
"Never","1991","college entrance qualification","no migration background","","","",""
"Never","1991","college entrance qualification","direct migration background","","","",""
"Never","1991","college entrance qualification","indirect migration background","","","",""
"Never","1991","Other degree","no migration background","","","",""
"Never","1991","Other degree","direct migration background","","","",""
"Never","1991","Other degree","indirect migration background","","","",""
"Never","1991","no degree/no degree yet","no migration background","","","",""
"Never","1991","no degree/no degree yet","direct migration background","","","",""
"Never","1991","no degree/no degree yet","indirect migration background","","","",""
"Daily","1992","lower secondary degree","no migration background","","","",""
"Daily","1992","lower secondary degree","direct migration background","","","",""
"Daily","1992","lower secondary degree","indirect migration background","","","",""
"Daily","1992","secondary school degree","no migration background","","","",""
"Daily","1992","secondary school degree","direct migration background","","","",""
"Daily","1992","secondary school degree","indirect migration background","","","",""
"Daily","1992","college entrance qualification","no migration background","","","",""
"Daily","1992","college entrance qualification","direct migration background","","","",""
"Daily","1992","college entrance qualification","indirect migration background","","","",""
"Daily","1992","Other degree","no migration background","","","",""
"Daily","1992","Other degree","direct migration background","","","",""
"Daily","1992","Other degree","indirect migration background","","","",""
"Daily","1992","no degree/no degree yet","no migration background","","","",""
"Daily","1992","no degree/no degree yet","direct migration background","","","",""
"Daily","1992","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1992","lower secondary degree","no migration background","","","",""
"Min 1x per week","1992","lower secondary degree","direct migration background","","","",""
"Min 1x per week","1992","lower secondary degree","indirect migration background","","","",""
"Min 1x per week","1992","secondary school degree","no migration background","","","",""
"Min 1x per week","1992","secondary school degree","direct migration background","","","",""
"Min 1x per week","1992","secondary school degree","indirect migration background","","","",""
"Min 1x per week","1992","college entrance qualification","no migration background","","","",""
"Min 1x per week","1992","college entrance qualification","direct migration background","","","",""
"Min 1x per week","1992","college entrance qualification","indirect migration background","","","",""
"Min 1x per week","1992","Other degree","no migration background","","","",""
"Min 1x per week","1992","Other degree","direct migration background","","","",""
"Min 1x per week","1992","Other degree","indirect migration background","","","",""
"Min 1x per week","1992","no degree/no degree yet","no migration background","","","",""
"Min 1x per week","1992","no degree/no degree yet","direct migration background","","","",""
"Min 1x per week","1992","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per month","1992","lower secondary degree","no migration background","","","",""
"Min 1x per month","1992","lower secondary degree","direct migration background","","","",""
"Min 1x per month","1992","lower secondary degree","indirect migration background","","","",""
"Min 1x per month","1992","secondary school degree","no migration background","","","",""
"Min 1x per month","1992","secondary school degree","direct migration background","","","",""
"Min 1x per month","1992","secondary school degree","indirect migration background","","","",""
"Min 1x per month","1992","college entrance qualification","no migration background","","","",""
"Min 1x per month","1992","college entrance qualification","direct migration background","","","",""
"Min 1x per month","1992","college entrance qualification","indirect migration background","","","",""
"Min 1x per month","1992","Other degree","no migration background","","","",""
"Min 1x per month","1992","Other degree","direct migration background","","","",""
"Min 1x per month","1992","Other degree","indirect migration background","","","",""
"Min 1x per month","1992","no degree/no degree yet","no migration background","","","",""
"Min 1x per month","1992","no degree/no degree yet","direct migration background","","","",""
"Min 1x per month","1992","no degree/no degree yet","indirect migration background","","","",""
"Rarely","1992","lower secondary degree","no migration background","","","",""
"Rarely","1992","lower secondary degree","direct migration background","","","",""
"Rarely","1992","lower secondary degree","indirect migration background","","","",""
"Rarely","1992","secondary school degree","no migration background","","","",""
"Rarely","1992","secondary school degree","direct migration background","","","",""
"Rarely","1992","secondary school degree","indirect migration background","","","",""
"Rarely","1992","college entrance qualification","no migration background","","","",""
"Rarely","1992","college entrance qualification","direct migration background","","","",""
"Rarely","1992","college entrance qualification","indirect migration background","","","",""
"Rarely","1992","Other degree","no migration background","","","",""
"Rarely","1992","Other degree","direct migration background","","","",""
"Rarely","1992","Other degree","indirect migration background","","","",""
"Rarely","1992","no degree/no degree yet","no migration background","","","",""
"Rarely","1992","no degree/no degree yet","direct migration background","","","",""
"Rarely","1992","no degree/no degree yet","indirect migration background","","","",""
"Never","1992","lower secondary degree","no migration background","","","",""
"Never","1992","lower secondary degree","direct migration background","","","",""
"Never","1992","lower secondary degree","indirect migration background","","","",""
"Never","1992","secondary school degree","no migration background","","","",""
"Never","1992","secondary school degree","direct migration background","","","",""
"Never","1992","secondary school degree","indirect migration background","","","",""
"Never","1992","college entrance qualification","no migration background","","","",""
"Never","1992","college entrance qualification","direct migration background","","","",""
"Never","1992","college entrance qualification","indirect migration background","","","",""
"Never","1992","Other degree","no migration background","","","",""
"Never","1992","Other degree","direct migration background","","","",""
"Never","1992","Other degree","indirect migration background","","","",""
"Never","1992","no degree/no degree yet","no migration background","","","",""
"Never","1992","no degree/no degree yet","direct migration background","","","",""
"Never","1992","no degree/no degree yet","indirect migration background","","","",""
"Daily","1993","lower secondary degree","no migration background","","","",""
"Daily","1993","lower secondary degree","direct migration background","","","",""
"Daily","1993","lower secondary degree","indirect migration background","","","",""
"Daily","1993","secondary school degree","no migration background","","","",""
"Daily","1993","secondary school degree","direct migration background","","","",""
"Daily","1993","secondary school degree","indirect migration background","","","",""
"Daily","1993","college entrance qualification","no migration background","","","",""
"Daily","1993","college entrance qualification","direct migration background","","","",""
"Daily","1993","college entrance qualification","indirect migration background","","","",""
"Daily","1993","Other degree","no migration background","","","",""
"Daily","1993","Other degree","direct migration background","","","",""
"Daily","1993","Other degree","indirect migration background","","","",""
"Daily","1993","no degree/no degree yet","no migration background","","","",""
"Daily","1993","no degree/no degree yet","direct migration background","","","",""
"Daily","1993","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1993","lower secondary degree","no migration background","","","",""
"Min 1x per week","1993","lower secondary degree","direct migration background","","","",""
"Min 1x per week","1993","lower secondary degree","indirect migration background","","","",""
"Min 1x per week","1993","secondary school degree","no migration background","","","",""
"Min 1x per week","1993","secondary school degree","direct migration background","","","",""
"Min 1x per week","1993","secondary school degree","indirect migration background","","","",""
"Min 1x per week","1993","college entrance qualification","no migration background","","","",""
"Min 1x per week","1993","college entrance qualification","direct migration background","","","",""
"Min 1x per week","1993","college entrance qualification","indirect migration background","","","",""
"Min 1x per week","1993","Other degree","no migration background","","","",""
"Min 1x per week","1993","Other degree","direct migration background","","","",""
"Min 1x per week","1993","Other degree","indirect migration background","","","",""
"Min 1x per week","1993","no degree/no degree yet","no migration background","","","",""
