"pli0093_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","lower secondary degree","33","0.0159371908492065","0.01014863079377","0.021725750904643"
"Daily","1990","Not Employed","secondary school degree","20","","",""
"Daily","1990","Not Employed","college entrance qualification","25","","",""
"Daily","1990","Not Employed","Other degree","5","","",""
"Daily","1990","Not Employed","no degree/no degree yet","24","","",""
"Daily","1990","Employed","lower secondary degree","47","0.015657807555825","0.011003374362107","0.020312240749543"
"Daily","1990","Employed","secondary school degree","41","0.0363117035644403","0.0258148344939065","0.0468085726349741"
"Daily","1990","Employed","college entrance qualification","41","0.0476264269378439","0.0336107541625931","0.0616420997130948"
"Daily","1990","Employed","Other degree","10","","",""
"Daily","1990","Employed","no degree/no degree yet","3","","",""
"Min 1x per week","1990","Not Employed","lower secondary degree","109","0.058840534014527","0.0479631826522061","0.0697178853768479"
"Min 1x per week","1990","Not Employed","secondary school degree","50","0.0923229850006512","0.0658402804087569","0.118805689592545"
"Min 1x per week","1990","Not Employed","college entrance qualification","54","0.163096965663427","0.122297607971631","0.203896323355224"
"Min 1x per week","1990","Not Employed","Other degree","8","","",""
"Min 1x per week","1990","Not Employed","no degree/no degree yet","34","0.134200804402102","0.101831792675028","0.166569816129177"
"Min 1x per week","1990","Employed","lower secondary degree","199","0.0758619400499226","0.0659351536738752","0.08578872642597"
"Min 1x per week","1990","Employed","secondary school degree","163","0.129801656550245","0.110942710448729","0.14866060265176"
"Min 1x per week","1990","Employed","college entrance qualification","176","0.20166506010397","0.175259573223949","0.228070546983991"
"Min 1x per week","1990","Employed","Other degree","23","","",""
"Min 1x per week","1990","Employed","no degree/no degree yet","12","","",""
"Min 1x per month","1990","Not Employed","lower secondary degree","127","0.061935005791743","0.0507936561548391","0.0730763554286468"
"Min 1x per month","1990","Not Employed","secondary school degree","78","0.159943460809702","0.126409932502959","0.193476989116445"
"Min 1x per month","1990","Not Employed","college entrance qualification","60","0.186209533463425","0.143221253453691","0.229197813473158"
"Min 1x per month","1990","Not Employed","Other degree","9","","",""
"Min 1x per month","1990","Not Employed","no degree/no degree yet","21","","",""
"Min 1x per month","1990","Employed","lower secondary degree","298","0.112473224361729","0.100627992121649","0.124318456601808"
"Min 1x per month","1990","Employed","secondary school degree","219","0.181947039774142","0.160298361665553","0.203595717882731"
"Min 1x per month","1990","Employed","college entrance qualification","174","0.202056575919829","0.175631951355013","0.228481200484645"
"Min 1x per month","1990","Employed","Other degree","38","0.0560428178335523","0.0395488964791495","0.0725367391879551"
"Min 1x per month","1990","Employed","no degree/no degree yet","11","","",""
"Rarely","1990","Not Employed","lower secondary degree","392","0.209116065152242","0.190318425350861","0.227913704953623"
"Rarely","1990","Not Employed","secondary school degree","129","0.277034327167133","0.236092485016259","0.317976169318008"
"Rarely","1990","Not Employed","college entrance qualification","79","0.239564039066116","0.192429968172966","0.286698109959265"
"Rarely","1990","Not Employed","Other degree","38","0.124135434433981","0.0834242082434722","0.164846660624489"
"Rarely","1990","Not Employed","no degree/no degree yet","66","0.189165672295805","0.151975300591611","0.226356043999999"
"Rarely","1990","Employed","lower secondary degree","874","0.332383718946425","0.314722868775305","0.350044569117545"
"Rarely","1990","Employed","secondary school degree","439","0.37527623878065","0.3481063587007","0.4024461188606"
"Rarely","1990","Employed","college entrance qualification","310","0.351372164950941","0.319954945230805","0.382789384671078"
"Rarely","1990","Employed","Other degree","122","0.173403011340922","0.146253437491469","0.200552585190376"
"Rarely","1990","Employed","no degree/no degree yet","74","0.239990964349175","0.198448534281724","0.281533394416626"
"Never","1990","Not Employed","lower secondary degree","1137","0.654171204192282","0.632186049027268","0.676156359357295"
"Never","1990","Not Employed","secondary school degree","182","0.43229804096196","0.386977657229058","0.477618424694861"
"Never","1990","Not Employed","college entrance qualification","97","0.332752941777137","0.280717757151987","0.384788126402288"
"Never","1990","Not Employed","Other degree","192","0.74388166865258","0.689990192357343","0.797773144947817"
"Never","1990","Not Employed","no degree/no degree yet","281","0.501651871735935","0.4541718481861","0.549131895285771"
"Never","1990","Employed","lower secondary degree","1315","0.463623309086099","0.444927431547186","0.482319186625012"
"Never","1990","Employed","secondary school degree","358","0.276663361330523","0.251561019916248","0.301765702744798"
"Never","1990","Employed","college entrance qualification","186","0.197279772087416","0.171091330016986","0.223468214157846"
"Never","1990","Employed","Other degree","554","0.710397381977037","0.677870704152059","0.742924059802015"
"Never","1990","Employed","no degree/no degree yet","306","0.672148758753892","0.626486626158084","0.7178108913497"
"Daily","1991","Not Employed","lower secondary degree","","","",""
"Daily","1991","Not Employed","secondary school degree","","","",""
"Daily","1991","Not Employed","college entrance qualification","","","",""
"Daily","1991","Not Employed","Other degree","","","",""
"Daily","1991","Not Employed","no degree/no degree yet","","","",""
"Daily","1991","Employed","lower secondary degree","","","",""
"Daily","1991","Employed","secondary school degree","","","",""
"Daily","1991","Employed","college entrance qualification","","","",""
"Daily","1991","Employed","Other degree","","","",""
"Daily","1991","Employed","no degree/no degree yet","","","",""
"Min 1x per week","1991","Not Employed","lower secondary degree","","","",""
"Min 1x per week","1991","Not Employed","secondary school degree","","","",""
"Min 1x per week","1991","Not Employed","college entrance qualification","","","",""
"Min 1x per week","1991","Not Employed","Other degree","","","",""
"Min 1x per week","1991","Not Employed","no degree/no degree yet","","","",""
"Min 1x per week","1991","Employed","lower secondary degree","","","",""
"Min 1x per week","1991","Employed","secondary school degree","","","",""
"Min 1x per week","1991","Employed","college entrance qualification","","","",""
"Min 1x per week","1991","Employed","Other degree","","","",""
"Min 1x per week","1991","Employed","no degree/no degree yet","","","",""
"Min 1x per month","1991","Not Employed","lower secondary degree","","","",""
"Min 1x per month","1991","Not Employed","secondary school degree","","","",""
"Min 1x per month","1991","Not Employed","college entrance qualification","","","",""
"Min 1x per month","1991","Not Employed","Other degree","","","",""
"Min 1x per month","1991","Not Employed","no degree/no degree yet","","","",""
"Min 1x per month","1991","Employed","lower secondary degree","","","",""
"Min 1x per month","1991","Employed","secondary school degree","","","",""
"Min 1x per month","1991","Employed","college entrance qualification","","","",""
"Min 1x per month","1991","Employed","Other degree","","","",""
"Min 1x per month","1991","Employed","no degree/no degree yet","","","",""
"Rarely","1991","Not Employed","lower secondary degree","","","",""
"Rarely","1991","Not Employed","secondary school degree","","","",""
"Rarely","1991","Not Employed","college entrance qualification","","","",""
"Rarely","1991","Not Employed","Other degree","","","",""
"Rarely","1991","Not Employed","no degree/no degree yet","","","",""
"Rarely","1991","Employed","lower secondary degree","","","",""
"Rarely","1991","Employed","secondary school degree","","","",""
"Rarely","1991","Employed","college entrance qualification","","","",""
"Rarely","1991","Employed","Other degree","","","",""
"Rarely","1991","Employed","no degree/no degree yet","","","",""
"Never","1991","Not Employed","lower secondary degree","","","",""
"Never","1991","Not Employed","secondary school degree","","","",""
"Never","1991","Not Employed","college entrance qualification","","","",""
"Never","1991","Not Employed","Other degree","","","",""
"Never","1991","Not Employed","no degree/no degree yet","","","",""
"Never","1991","Employed","lower secondary degree","","","",""
"Never","1991","Employed","secondary school degree","","","",""
"Never","1991","Employed","college entrance qualification","","","",""
"Never","1991","Employed","Other degree","","","",""
"Never","1991","Employed","no degree/no degree yet","","","",""
"Daily","1992","Not Employed","lower secondary degree","","","",""
"Daily","1992","Not Employed","secondary school degree","","","",""
"Daily","1992","Not Employed","college entrance qualification","","","",""
"Daily","1992","Not Employed","Other degree","","","",""
"Daily","1992","Not Employed","no degree/no degree yet","","","",""
"Daily","1992","Employed","lower secondary degree","","","",""
"Daily","1992","Employed","secondary school degree","","","",""
"Daily","1992","Employed","college entrance qualification","","","",""
"Daily","1992","Employed","Other degree","","","",""
"Daily","1992","Employed","no degree/no degree yet","","","",""
"Min 1x per week","1992","Not Employed","lower secondary degree","","","",""
"Min 1x per week","1992","Not Employed","secondary school degree","","","",""
"Min 1x per week","1992","Not Employed","college entrance qualification","","","",""
"Min 1x per week","1992","Not Employed","Other degree","","","",""
"Min 1x per week","1992","Not Employed","no degree/no degree yet","","","",""
"Min 1x per week","1992","Employed","lower secondary degree","","","",""
"Min 1x per week","1992","Employed","secondary school degree","","","",""
"Min 1x per week","1992","Employed","college entrance qualification","","","",""
"Min 1x per week","1992","Employed","Other degree","","","",""
"Min 1x per week","1992","Employed","no degree/no degree yet","","","",""
"Min 1x per month","1992","Not Employed","lower secondary degree","","","",""
"Min 1x per month","1992","Not Employed","secondary school degree","","","",""
"Min 1x per month","1992","Not Employed","college entrance qualification","","","",""
"Min 1x per month","1992","Not Employed","Other degree","","","",""
"Min 1x per month","1992","Not Employed","no degree/no degree yet","","","",""
"Min 1x per month","1992","Employed","lower secondary degree","","","",""
"Min 1x per month","1992","Employed","secondary school degree","","","",""
"Min 1x per month","1992","Employed","college entrance qualification","","","",""
"Min 1x per month","1992","Employed","Other degree","","","",""
"Min 1x per month","1992","Employed","no degree/no degree yet","","","",""
"Rarely","1992","Not Employed","lower secondary degree","","","",""
"Rarely","1992","Not Employed","secondary school degree","","","",""
"Rarely","1992","Not Employed","college entrance qualification","","","",""
"Rarely","1992","Not Employed","Other degree","","","",""
"Rarely","1992","Not Employed","no degree/no degree yet","","","",""
"Rarely","1992","Employed","lower secondary degree","","","",""
"Rarely","1992","Employed","secondary school degree","","","",""
"Rarely","1992","Employed","college entrance qualification","","","",""
"Rarely","1992","Employed","Other degree","","","",""
"Rarely","1992","Employed","no degree/no degree yet","","","",""
"Never","1992","Not Employed","lower secondary degree","","","",""
"Never","1992","Not Employed","secondary school degree","","","",""
"Never","1992","Not Employed","college entrance qualification","","","",""
"Never","1992","Not Employed","Other degree","","","",""
"Never","1992","Not Employed","no degree/no degree yet","","","",""
"Never","1992","Employed","lower secondary degree","","","",""
"Never","1992","Employed","secondary school degree","","","",""
"Never","1992","Employed","college entrance qualification","","","",""
"Never","1992","Employed","Other degree","","","",""
"Never","1992","Employed","no degree/no degree yet","","","",""
"Daily","1993","Not Employed","lower secondary degree","","","",""
"Daily","1993","Not Employed","secondary school degree","","","",""
"Daily","1993","Not Employed","college entrance qualification","","","",""
"Daily","1993","Not Employed","Other degree","","","",""
"Daily","1993","Not Employed","no degree/no degree yet","","","",""
"Daily","1993","Employed","lower secondary degree","","","",""
"Daily","1993","Employed","secondary school degree","","","",""
"Daily","1993","Employed","college entrance qualification","","","",""
"Daily","1993","Employed","Other degree","","","",""
"Daily","1993","Employed","no degree/no degree yet","","","",""
"Min 1x per week","1993","Not Employed","lower secondary degree","","","",""
"Min 1x per week","1993","Not Employed","secondary school degree","","","",""
