"pli0093_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","West Germany","6","","","","1"
"Daily","1990","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1990","Hamburg","West Germany","9","","","","1"
"Daily","1990","Hamburg","East Germany","","","","","1"
"Daily","1990","Lower Saxony","West Germany","20","","","","1"
"Daily","1990","Lower Saxony","East Germany","","","","","1"
"Daily","1990","Bremen","West Germany","1","","","","1"
"Daily","1990","Bremen","East Germany","","","","","1"
"Daily","1990","North Rhine-Westphalia","West Germany","78","0.032621869282982","0.0257390637011166","0.0395046748648475","1"
"Daily","1990","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1990","Hesse","West Germany","19","","","","1"
"Daily","1990","Hesse","East Germany","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","West Germany","23","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1990","Baden-Württemberg","West Germany","42","0.0292985936314062","0.0214883152335547","0.0371088720292577","1"
"Daily","1990","Baden-Württemberg","East Germany","","","","","1"
"Daily","1990","Bavaria","West Germany","44","0.0287898023408524","0.0205835719468577","0.0369960327348471","1"
"Daily","1990","Bavaria","East Germany","","","","","1"
"Daily","1990","Berlin","West Germany","13","","","","1"
"Daily","1990","Berlin","East Germany","","","","","1"
"Daily","1990","Brandenburg","West Germany","","","","","1"
"Daily","1990","Brandenburg","East Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1990","Saxony","West Germany","","","","","1"
"Daily","1990","Saxony","East Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1990","Thuringia","West Germany","","","","","1"
"Daily","1990","Thuringia","East Germany","","","","","1"
"Min 1x per month","1990","Hamburg","East Germany","","","","","3"
"Min 1x per month","1990","Saxony","East Germany","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1990","Hamburg","West Germany","21","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1990","Saxony","West Germany","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","West Germany","38","0.142145034466976","0.101532349502417","0.182757719431535","3"
"Min 1x per month","1990","Brandenburg","East Germany","","","","","3"
"Min 1x per month","1990","Thuringia","East Germany","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","East Germany","","","","","3"
"Min 1x per month","1990","Thuringia","West Germany","","","","","3"
"Min 1x per month","1990","Lower Saxony","West Germany","120","0.120523609251396","0.100098173083325","0.140949045419468","3"
"Min 1x per month","1990","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1990","Bremen","West Germany","14","","","","3"
"Min 1x per month","1990","Bremen","East Germany","","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","West Germany","257","0.110061512968487","0.0979357051206565","0.122187320816318","3"
"Min 1x per month","1990","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1990","Hesse","West Germany","98","0.115528443047741","0.095504797864224","0.135552088231258","3"
"Min 1x per month","1990","Hesse","East Germany","","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","West Germany","54","0.0845141439462072","0.0634363308078167","0.105591957084598","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Min 1x per month","1990","Baden-Württemberg","West Germany","203","0.134440749158239","0.118642310756122","0.150239187560357","3"
"Min 1x per month","1990","Baden-Württemberg","East Germany","","","","","3"
"Min 1x per month","1990","Bavaria","West Germany","210","0.141495794779665","0.12439128123869","0.15860030832064","3"
"Min 1x per month","1990","Bavaria","East Germany","","","","","3"
"Min 1x per month","1990","Berlin","West Germany","39","0.13129126508132","0.0947986360085463","0.167783894154094","3"
"Min 1x per month","1990","Berlin","East Germany","","","","","3"
"Min 1x per month","1990","Brandenburg","West Germany","","","","","3"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Min 1x per week","1990","Saxony","West Germany","","","","","2"
"Min 1x per week","1990","Saxony","East Germany","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","West Germany","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","East Germany","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","West Germany","22","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","East Germany","","","","","2"
"Min 1x per week","1990","Hamburg","West Germany","14","","","","2"
"Min 1x per week","1990","Hamburg","East Germany","","","","","2"
"Min 1x per week","1990","Lower Saxony","West Germany","106","0.112219262304029","0.09241723085842","0.132021293749638","2"
"Min 1x per week","1990","Lower Saxony","East Germany","","","","","2"
"Min 1x per week","1990","Bremen","West Germany","9","","","","2"
"Min 1x per week","1990","Bremen","East Germany","","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","West Germany","219","0.0900424544348813","0.078952055315005","0.101132853554758","2"
"Min 1x per week","1990","North Rhine-Westphalia","East Germany","","","","","2"
"Min 1x per week","1990","Hesse","West Germany","64","0.0722545128806385","0.0560362752628107","0.0884727504984662","2"
"Min 1x per week","1990","Hesse","East Germany","","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","West Germany","58","0.102765069354299","0.0797553734834923","0.125774765225107","2"
"Min 1x per week","1990","Thuringia","West Germany","","","","","2"
"Min 1x per week","1990","Thuringia","East Germany","","","","","2"
"Min 1x per week","1990","Brandenburg","East Germany","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","East Germany","","","","","2"
"Min 1x per week","1990","Bavaria","West Germany","162","0.105845499443006","0.0907478189955449","0.120943179890467","2"
"Min 1x per week","1990","Bavaria","East Germany","","","","","2"
"Min 1x per week","1990","Berlin","West Germany","31","0.0887942898552486","0.0580580400305995","0.119530539679898","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","West Germany","163","0.108762591206616","0.0943435369947312","0.1231816454185","2"
"Min 1x per week","1990","Berlin","East Germany","","","","","2"
"Min 1x per week","1990","Brandenburg","West Germany","","","","","2"
"Never","1990","Mecklenburg-Western Pomerania","East Germany","","","","","5"
"Never","1990","Saxony","West Germany","","","","","5"
"Never","1990","Schleswig-Holstein","East Germany","","","","","5"
"Never","1990","North Rhine-Westphalia","West Germany","1314","0.474907531503804","0.455559563024441","0.494255499983166","5"
"Never","1990","Schleswig-Holstein","West Germany","131","0.413759706119824","0.356479990775795","0.471039421463853","5"
"Never","1990","Hamburg","East Germany","","","","","5"
"Never","1990","Lower Saxony","East Germany","","","","","5"
"Never","1990","Bremen","West Germany","56","0.536037037562396","0.439727669275741","0.632346405849051","5"
"Never","1990","Bremen","East Germany","","","","","5"
"Never","1990","Saxony","East Germany","","","","","5"
"Never","1990","Hamburg","West Germany","76","0.440143845572913","0.364629477549071","0.515658213596755","5"
"Never","1990","Lower Saxony","West Germany","439","0.451477991550483","0.420257588664994","0.482698394435972","5"
"Never","1990","Brandenburg","East Germany","","","","","5"
"Never","1990","Saxony-Anhalt","West Germany","","","","","5"
"Never","1990","Saxony-Anhalt","East Germany","","","","","5"
"Never","1990","Thuringia","West Germany","","","","","5"
"Never","1990","Thuringia","East Germany","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","West Germany","","","","","5"
