"pli0093_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","no migration background","4","","",""
"Daily","1990","Schleswig-Holstein","direct migration background","1","","",""
"Daily","1990","Schleswig-Holstein","indirect migration background","1","","",""
"Daily","1990","Hamburg","no migration background","8","","",""
"Daily","1990","Hamburg","direct migration background","1","","",""
"Daily","1990","Hamburg","indirect migration background","","","",""
"Daily","1990","Lower Saxony","no migration background","15","","",""
"Daily","1990","Lower Saxony","direct migration background","5","","",""
"Daily","1990","Lower Saxony","indirect migration background","","","",""
"Daily","1990","Bremen","no migration background","1","","",""
"Daily","1990","Bremen","direct migration background","","","",""
"Daily","1990","Bremen","indirect migration background","","","",""
"Daily","1990","North Rhine-Westphalia","no migration background","61","0.033683823632754","0.0253654325983302","0.0420022146671778"
"Daily","1990","North Rhine-Westphalia","direct migration background","13","","",""
"Daily","1990","North Rhine-Westphalia","indirect migration background","4","","",""
"Daily","1990","Hesse","no migration background","12","","",""
"Daily","1990","Hesse","direct migration background","5","","",""
"Daily","1990","Hesse","indirect migration background","2","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","no migration background","20","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","direct migration background","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Daily","1990","Baden-Württemberg","no migration background","31","0.0295443062310218","0.0192285120060287","0.039860100456015"
"Daily","1990","Baden-Württemberg","direct migration background","10","","",""
"Daily","1990","Baden-Württemberg","indirect migration background","1","","",""
"Daily","1990","Bavaria","no migration background","38","0.0291080416207133","0.0195203272411184","0.0386957560003082"
"Daily","1990","Bavaria","direct migration background","5","","",""
"Daily","1990","Bavaria","indirect migration background","1","","",""
"Daily","1990","Berlin","no migration background","7","","",""
"Daily","1990","Berlin","direct migration background","4","","",""
"Daily","1990","Berlin","indirect migration background","2","","",""
"Daily","1990","Brandenburg","no migration background","","","",""
"Daily","1990","Brandenburg","direct migration background","","","",""
"Daily","1990","Brandenburg","indirect migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","no migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Daily","1990","Saxony","no migration background","","","",""
"Daily","1990","Saxony","direct migration background","","","",""
"Daily","1990","Saxony","indirect migration background","","","",""
"Daily","1990","Saxony-Anhalt","no migration background","","","",""
"Daily","1990","Saxony-Anhalt","direct migration background","","","",""
"Daily","1990","Saxony-Anhalt","indirect migration background","","","",""
"Daily","1990","Thuringia","no migration background","","","",""
"Daily","1990","Thuringia","direct migration background","","","",""
"Daily","1990","Thuringia","indirect migration background","","","",""
"Min 1x per week","1990","Schleswig-Holstein","no migration background","20","","",""
"Min 1x per week","1990","Schleswig-Holstein","direct migration background","1","","",""
"Min 1x per week","1990","Schleswig-Holstein","indirect migration background","1","","",""
"Min 1x per week","1990","Hamburg","no migration background","9","","",""
"Min 1x per week","1990","Hamburg","direct migration background","4","","",""
"Min 1x per week","1990","Hamburg","indirect migration background","1","","",""
"Min 1x per week","1990","Lower Saxony","no migration background","97","0.115560213801264","0.0934481834313333","0.137672244171195"
"Min 1x per week","1990","Lower Saxony","direct migration background","7","","",""
"Min 1x per week","1990","Lower Saxony","indirect migration background","2","","",""
"Min 1x per week","1990","Bremen","no migration background","8","","",""
"Min 1x per week","1990","Bremen","direct migration background","1","","",""
"Min 1x per week","1990","Bremen","indirect migration background","","","",""
"Min 1x per week","1990","North Rhine-Westphalia","no migration background","177","0.0946823205766418","0.0811832470679702","0.108181394085313"
"Min 1x per week","1990","North Rhine-Westphalia","direct migration background","34","0.056414097288739","0.0389178703456505","0.0739103242318276"
"Min 1x per week","1990","North Rhine-Westphalia","indirect migration background","8","","",""
"Min 1x per week","1990","Hesse","no migration background","47","0.0767974442070173","0.055580038230827","0.0980148501832075"
"Min 1x per week","1990","Hesse","direct migration background","12","","",""
"Min 1x per week","1990","Hesse","indirect migration background","5","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","no migration background","54","0.109377697403567","0.0830286523638569","0.135726742443276"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","direct migration background","3","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"Min 1x per week","1990","Baden-Württemberg","no migration background","120","0.111918460076076","0.0927116518352898","0.131125268316862"
"Min 1x per week","1990","Baden-Württemberg","direct migration background","33","0.077335411816904","0.0573169286224278","0.0973538950113802"
"Min 1x per week","1990","Baden-Württemberg","indirect migration background","10","","",""
"Min 1x per week","1990","Bavaria","no migration background","129","0.105065506607858","0.087577156244916","0.122553856970799"
"Min 1x per week","1990","Bavaria","direct migration background","23","","",""
"Min 1x per week","1990","Bavaria","indirect migration background","10","","",""
"Min 1x per week","1990","Berlin","no migration background","23","","",""
"Min 1x per week","1990","Berlin","direct migration background","7","","",""
"Min 1x per week","1990","Berlin","indirect migration background","1","","",""
"Min 1x per week","1990","Brandenburg","no migration background","","","",""
"Min 1x per week","1990","Brandenburg","direct migration background","","","",""
"Min 1x per week","1990","Brandenburg","indirect migration background","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","no migration background","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Min 1x per week","1990","Saxony","no migration background","","","",""
"Min 1x per week","1990","Saxony","direct migration background","","","",""
"Min 1x per week","1990","Saxony","indirect migration background","","","",""
"Min 1x per week","1990","Saxony-Anhalt","no migration background","","","",""
"Min 1x per week","1990","Saxony-Anhalt","direct migration background","","","",""
"Min 1x per week","1990","Saxony-Anhalt","indirect migration background","","","",""
"Min 1x per week","1990","Thuringia","no migration background","","","",""
"Min 1x per week","1990","Thuringia","direct migration background","","","",""
"Min 1x per week","1990","Thuringia","indirect migration background","","","",""
"Min 1x per month","1990","Schleswig-Holstein","no migration background","32","0.137132755811025","0.0942342458527745","0.180031265769275"
"Min 1x per month","1990","Schleswig-Holstein","direct migration background","6","","",""
"Min 1x per month","1990","Schleswig-Holstein","indirect migration background","","","",""
"Min 1x per month","1990","Hamburg","no migration background","16","","",""
"Min 1x per month","1990","Hamburg","direct migration background","4","","",""
"Min 1x per month","1990","Hamburg","indirect migration background","1","","",""
"Min 1x per month","1990","Lower Saxony","no migration background","108","0.122824516080822","0.100121890231989","0.145527141929655"
"Min 1x per month","1990","Lower Saxony","direct migration background","10","","",""
"Min 1x per month","1990","Lower Saxony","indirect migration background","2","","",""
"Min 1x per month","1990","Bremen","no migration background","12","","",""
"Min 1x per month","1990","Bremen","direct migration background","1","","",""
"Min 1x per month","1990","Bremen","indirect migration background","1","","",""
"Min 1x per month","1990","North Rhine-Westphalia","no migration background","209","0.115096744575257","0.100382145577647","0.129811343572868"
"Min 1x per month","1990","North Rhine-Westphalia","direct migration background","38","0.075232431874392","0.0552301885868229","0.0952346751619611"
"Min 1x per month","1990","North Rhine-Westphalia","indirect migration background","10","","",""
"Min 1x per month","1990","Hesse","no migration background","77","0.121786073243648","0.0957263753019818","0.147845771185315"
"Min 1x per month","1990","Hesse","direct migration background","14","","",""
"Min 1x per month","1990","Hesse","indirect migration background","7","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","no migration background","51","0.090383939814451","0.0661776403186765","0.114590239310225"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","direct migration background","2","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"Min 1x per month","1990","Baden-Württemberg","no migration background","149","0.142376898020265","0.12108835619825","0.16366543984228"
"Min 1x per month","1990","Baden-Württemberg","direct migration background","40","0.0869942830541772","0.065873882750942","0.108114683357412"
"Min 1x per month","1990","Baden-Württemberg","indirect migration background","14","","",""
"Min 1x per month","1990","Bavaria","no migration background","172","0.138136082156622","0.118457397835139","0.157814766478106"
"Min 1x per month","1990","Bavaria","direct migration background","32","0.176635490462424","0.137295926136345","0.215975054788504"
"Min 1x per month","1990","Bavaria","indirect migration background","6","","",""
"Min 1x per month","1990","Berlin","no migration background","36","0.143274138279429","0.096551640023214","0.189996636535644"
"Min 1x per month","1990","Berlin","direct migration background","3","","",""
"Min 1x per month","1990","Berlin","indirect migration background","","","",""
"Min 1x per month","1990","Brandenburg","no migration background","","","",""
"Min 1x per month","1990","Brandenburg","direct migration background","","","",""
"Min 1x per month","1990","Brandenburg","indirect migration background","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","no migration background","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Min 1x per month","1990","Saxony","no migration background","","","",""
"Min 1x per month","1990","Saxony","direct migration background","","","",""
"Min 1x per month","1990","Saxony","indirect migration background","","","",""
"Min 1x per month","1990","Saxony-Anhalt","no migration background","","","",""
"Min 1x per month","1990","Saxony-Anhalt","direct migration background","","","",""
"Min 1x per month","1990","Saxony-Anhalt","indirect migration background","","","",""
"Min 1x per month","1990","Thuringia","no migration background","","","",""
