"pli0093_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","in school","","","",""
"Daily","1990","lower secondary degree","inadequately","","","",""
"Daily","1990","lower secondary degree","general elemantary","33","0.0159142433022517","0.0097611200828855","0.0220673665216179"
"Daily","1990","lower secondary degree","middle vocational","43","0.0153146954579458","0.0106818313719238","0.0199475595439678"
"Daily","1990","lower secondary degree","vocational + Abi","","","",""
"Daily","1990","lower secondary degree","higher vocational","4","","",""
"Daily","1990","lower secondary degree","higher education","","","",""
"Daily","1990","secondary school degree","in school","","","",""
"Daily","1990","secondary school degree","inadequately","","","",""
"Daily","1990","secondary school degree","general elemantary","23","","",""
"Daily","1990","secondary school degree","middle vocational","28","","",""
"Daily","1990","secondary school degree","vocational + Abi","","","",""
"Daily","1990","secondary school degree","higher vocational","7","","",""
"Daily","1990","secondary school degree","higher education","3","","",""
"Daily","1990","college entrance qualification","in school","","","",""
"Daily","1990","college entrance qualification","inadequately","","","",""
"Daily","1990","college entrance qualification","general elemantary","","","",""
"Daily","1990","college entrance qualification","middle vocational","18","","",""
"Daily","1990","college entrance qualification","vocational + Abi","7","","",""
"Daily","1990","college entrance qualification","higher vocational","3","","",""
"Daily","1990","college entrance qualification","higher education","38","0.0618481459889369","0.0424114698441544","0.0812848221337194"
"Daily","1990","Other degree","in school","","","",""
"Daily","1990","Other degree","inadequately","2","","",""
"Daily","1990","Other degree","general elemantary","6","","",""
"Daily","1990","Other degree","middle vocational","4","","",""
"Daily","1990","Other degree","vocational + Abi","1","","",""
"Daily","1990","Other degree","higher vocational","1","","",""
"Daily","1990","Other degree","higher education","1","","",""
"Daily","1990","no degree/no degree yet","in school","23","","",""
"Daily","1990","no degree/no degree yet","inadequately","3","","",""
"Daily","1990","no degree/no degree yet","general elemantary","","","",""
"Daily","1990","no degree/no degree yet","middle vocational","","","",""
"Daily","1990","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1990","no degree/no degree yet","higher vocational","1","","",""
"Daily","1990","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1990","lower secondary degree","in school","","","",""
"Min 1x per week","1990","lower secondary degree","inadequately","","","",""
"Min 1x per week","1990","lower secondary degree","general elemantary","85","0.0485963912264458","0.0380240651475468","0.0591687173053448"
"Min 1x per week","1990","lower secondary degree","middle vocational","206","0.0787119647200278","0.0685526423645637","0.0888712870754919"
"Min 1x per week","1990","lower secondary degree","vocational + Abi","","","",""
"Min 1x per week","1990","lower secondary degree","higher vocational","14","","",""
"Min 1x per week","1990","lower secondary degree","higher education","3","","",""
"Min 1x per week","1990","secondary school degree","in school","","","",""
"Min 1x per week","1990","secondary school degree","inadequately","","","",""
"Min 1x per week","1990","secondary school degree","general elemantary","47","0.1283715338953","0.0938176469057176","0.162925420884883"
"Min 1x per week","1990","secondary school degree","middle vocational","134","0.111334307923332","0.0927546315317326","0.129913984314932"
"Min 1x per week","1990","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1990","secondary school degree","higher vocational","27","","",""
"Min 1x per week","1990","secondary school degree","higher education","5","","",""
"Min 1x per week","1990","college entrance qualification","in school","","","",""
"Min 1x per week","1990","college entrance qualification","inadequately","","","",""
"Min 1x per week","1990","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1990","college entrance qualification","middle vocational","63","0.200281051221485","0.153487763998308","0.247074338444661"
"Min 1x per week","1990","college entrance qualification","vocational + Abi","37","0.164236675918066","0.114828599820827","0.213644752015306"
