"pli0093_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","Urban Area","164","0.0310048793425416","0.0262389312120343","0.0357708274730488","1"
"Daily","1990","no migration background","Rural Area","33","0.0204553837154514","0.0134243414096971","0.0274864260212057","1"
"Daily","1990","direct migration background","Urban Area","43","0.0323959235615209","0.0250144004879232","0.0397774466351186","1"
"Daily","1990","direct migration background","Rural Area","2","","","","1"
"Daily","1990","indirect migration background","Urban Area","12","","","","1"
"Daily","1990","indirect migration background","Rural Area","1","","","","1"
"Min 1x per month","1990","no migration background","Rural Area","193","0.115772340406741","0.0998799860833864","0.131664694730095","3"
"Min 1x per month","1990","no migration background","Urban Area","669","0.128714800864141","0.119506745827518","0.137922855900764","3"
"Min 1x per month","1990","direct migration background","Urban Area","125","0.0939026952937418","0.0817414400836115","0.106063950503872","3"
"Min 1x per month","1990","direct migration background","Rural Area","25","","","","3"
"Min 1x per month","1990","indirect migration background","Urban Area","36","0.105703323051945","0.067892479930757","0.143514166173133","3"
"Min 1x per month","1990","indirect migration background","Rural Area","6","","","","3"
"Min 1x per week","1990","no migration background","Rural Area","144","0.0920401732586511","0.0776811197083973","0.106399226808905","2"
"Min 1x per week","1990","no migration background","Urban Area","540","0.10277415259844","0.0944245398412033","0.111123765355678","2"
"Min 1x per week","1990","direct migration background","Urban Area","104","0.0687766863318662","0.0582255435984345","0.0793278290652979","2"
"Min 1x per week","1990","direct migration background","Rural Area","21","","","","2"
"Min 1x per week","1990","indirect migration background","Urban Area","37","0.177919285801491","0.130886578762956","0.224951992840026","2"
"Min 1x per week","1990","indirect migration background","Rural Area","2","","","","2"
"Never","1990","no migration background","Urban Area","2163","0.443879918105363","0.43021866520396","0.457541171006765","5"
"Never","1990","no migration background","Rural Area","679","0.449621503158704","0.424912339254284","0.474330667063124","5"
"Never","1990","direct migration background","Urban Area","1545","0.588420947727052","0.567903532478105","0.608938362975998","5"
"Never","1990","direct migration background","Rural Area","204","0.578441333919363","0.523647780689353","0.633234887149372","5"
"Never","1990","indirect migration background","Urban Area","116","0.418189402941082","0.357528543647272","0.478850262234892","5"
"Never","1990","indirect migration background","Rural Area","16","","","","5"
"Rarely","1990","no migration background","Rural Area","508","0.322110599460453","0.298900034347955","0.34532116457295","4"
"Rarely","1990","direct migration background","Urban Area","393","0.216503747085819","0.199332449109379","0.233675045062259","4"
"Rarely","1990","no migration background","Urban Area","1545","0.293626249089514","0.281103830747069","0.30614866743196","4"
"Rarely","1990","indirect migration background","Urban Area","53","0.262428564252733","0.208323386328654","0.316533742176812","4"
"Rarely","1990","direct migration background","Rural Area","60","0.237863731759847","0.190619235509874","0.285108228009819","4"
"Rarely","1990","indirect migration background","Rural Area","12","","","","4"
"Daily","1991","no migration background","Urban Area","","","","","1"
"Daily","1991","no migration background","Rural Area","","","","","1"
"Daily","1991","direct migration background","Urban Area","","","","","1"
"Daily","1991","direct migration background","Rural Area","","","","","1"
"Daily","1991","indirect migration background","Urban Area","","","","","1"
"Daily","1991","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1991","no migration background","Rural Area","","","","","3"
"Min 1x per month","1991","no migration background","Urban Area","","","","","3"
"Min 1x per month","1991","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1991","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1991","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1991","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1991","no migration background","Urban Area","","","","","2"
"Min 1x per week","1991","no migration background","Rural Area","","","","","2"
"Min 1x per week","1991","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1991","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1991","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1991","indirect migration background","Rural Area","","","","","2"
"Never","1991","no migration background","Urban Area","","","","","5"
"Never","1991","no migration background","Rural Area","","","","","5"
"Never","1991","direct migration background","Urban Area","","","","","5"
"Never","1991","direct migration background","Rural Area","","","","","5"
"Never","1991","indirect migration background","Urban Area","","","","","5"
"Never","1991","indirect migration background","Rural Area","","","","","5"
"Rarely","1991","no migration background","Rural Area","","","","","4"
"Rarely","1991","no migration background","Urban Area","","","","","4"
"Rarely","1991","direct migration background","Urban Area","","","","","4"
"Rarely","1991","direct migration background","Rural Area","","","","","4"
"Rarely","1991","indirect migration background","Urban Area","","","","","4"
"Rarely","1991","indirect migration background","Rural Area","","","","","4"
"Daily","1992","no migration background","Urban Area","","","","","1"
"Daily","1992","no migration background","Rural Area","","","","","1"
"Daily","1992","direct migration background","Urban Area","","","","","1"
"Daily","1992","direct migration background","Rural Area","","","","","1"
"Daily","1992","indirect migration background","Urban Area","","","","","1"
"Daily","1992","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1992","no migration background","Rural Area","","","","","3"
"Min 1x per month","1992","no migration background","Urban Area","","","","","3"
"Min 1x per month","1992","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1992","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1992","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1992","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1992","no migration background","Urban Area","","","","","2"
"Min 1x per week","1992","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1992","no migration background","Rural Area","","","","","2"
"Min 1x per week","1992","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1992","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1992","indirect migration background","Rural Area","","","","","2"
"Never","1992","no migration background","Urban Area","","","","","5"
"Never","1992","no migration background","Rural Area","","","","","5"
"Never","1992","direct migration background","Urban Area","","","","","5"
"Never","1992","direct migration background","Rural Area","","","","","5"
"Never","1992","indirect migration background","Urban Area","","","","","5"
"Never","1992","indirect migration background","Rural Area","","","","","5"
"Rarely","1992","no migration background","Urban Area","","","","","4"
"Rarely","1992","no migration background","Rural Area","","","","","4"
"Rarely","1992","direct migration background","Urban Area","","","","","4"
"Rarely","1992","direct migration background","Rural Area","","","","","4"
"Rarely","1992","indirect migration background","Urban Area","","","","","4"
"Rarely","1992","indirect migration background","Rural Area","","","","","4"
"Daily","1993","no migration background","Urban Area","","","","","1"
"Daily","1993","no migration background","Rural Area","","","","","1"
"Daily","1993","direct migration background","Urban Area","","","","","1"
"Daily","1993","direct migration background","Rural Area","","","","","1"
"Daily","1993","indirect migration background","Urban Area","","","","","1"
"Daily","1993","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1993","no migration background","Urban Area","","","","","3"
"Min 1x per month","1993","no migration background","Rural Area","","","","","3"
"Min 1x per month","1993","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1993","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1993","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1993","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1993","no migration background","Urban Area","","","","","2"
"Min 1x per week","1993","no migration background","Rural Area","","","","","2"
"Min 1x per week","1993","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1993","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1993","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1993","indirect migration background","Rural Area","","","","","2"
"Never","1993","no migration background","Urban Area","","","","","5"
"Never","1993","no migration background","Rural Area","","","","","5"
"Never","1993","direct migration background","Urban Area","","","","","5"
"Never","1993","direct migration background","Rural Area","","","","","5"
"Never","1993","indirect migration background","Urban Area","","","","","5"
"Never","1993","indirect migration background","Rural Area","","","","","5"
"Rarely","1993","no migration background","Urban Area","","","","","4"
"Rarely","1993","no migration background","Rural Area","","","","","4"
"Rarely","1993","direct migration background","Urban Area","","","","","4"
"Rarely","1993","direct migration background","Rural Area","","","","","4"
"Rarely","1993","indirect migration background","Urban Area","","","","","4"
"Rarely","1993","indirect migration background","Rural Area","","","","","4"
"Daily","1994","no migration background","Urban Area","","","","","1"
"Daily","1994","no migration background","Rural Area","","","","","1"
"Daily","1994","direct migration background","Urban Area","","","","","1"
"Daily","1994","direct migration background","Rural Area","","","","","1"
"Daily","1994","indirect migration background","Urban Area","","","","","1"
"Daily","1994","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1994","no migration background","Rural Area","","","","","3"
"Min 1x per month","1994","no migration background","Urban Area","","","","","3"
"Min 1x per month","1994","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1994","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1994","indirect migration background","Rural Area","","","","","3"
"Min 1x per month","1994","indirect migration background","Urban Area","","","","","3"
"Min 1x per week","1994","no migration background","Urban Area","","","","","2"
"Min 1x per week","1994","no migration background","Rural Area","","","","","2"
"Min 1x per week","1994","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1994","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1994","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","1994","indirect migration background","Urban Area","","","","","2"
"Never","1994","no migration background","Urban Area","","","","","5"
"Never","1994","no migration background","Rural Area","","","","","5"
"Never","1994","direct migration background","Urban Area","","","","","5"
"Never","1994","direct migration background","Rural Area","","","","","5"
"Never","1994","indirect migration background","Urban Area","","","","","5"
"Never","1994","indirect migration background","Rural Area","","","","","5"
"Rarely","1994","no migration background","Rural Area","","","","","4"
