"pli0093_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","1-pers.-HH","12","","","","1"
"Daily","1990","Full Time","(Married) couple without C. ","22","","","","1"
"Daily","1990","Full Time","Single parent ","7","","","","1"
"Daily","1990","Full Time","Couple + C. LE 16 ","17","","","","1"
"Daily","1990","Full Time","Couple + C. GT 16 ","21","","","","1"
"Daily","1990","Full Time","Couple + C. LE and GT 16","8","","","","1"
"Daily","1990","Part Time","1-pers.-HH","6","","","","1"
"Daily","1990","Part Time","(Married) couple without C. ","13","","","","1"
"Daily","1990","Part Time","Single parent ","2","","","","1"
"Daily","1990","Part Time","Couple + C. LE 16 ","10","","","","1"
"Daily","1990","Part Time","Couple + C. GT 16 ","12","","","","1"
"Daily","1990","Part Time","Couple + C. LE and GT 16","7","","","","1"
"Daily","1990","Not Working","1-pers.-HH","9","","","","1"
"Daily","1990","Not Working","(Married) couple without C. ","22","","","","1"
"Daily","1990","Not Working","Single parent ","9","","","","1"
"Daily","1990","Not Working","Couple + C. LE 16 ","11","","","","1"
"Daily","1990","Not Working","Couple + C. GT 16 ","39","0.0660118304241013","0.0470107740426549","0.0850128868055476","1"
"Daily","1990","Not Working","Couple + C. LE and GT 16","13","","","","1"
"Min 1x per month","1990","Not Working","(Married) couple without C. ","84","0.0887384671229513","0.070617557143177","0.106859377102726","3"
"Min 1x per month","1990","Not Working","Couple + C. GT 16 ","69","0.108575617709477","0.0847686227427104","0.132382612676243","3"
"Min 1x per month","1990","Full Time","Single parent ","22","","","","3"
"Min 1x per month","1990","Not Working","Couple + C. LE and GT 16","31","0.171308291119776","0.127641551880129","0.214975030359422","3"
"Min 1x per month","1990","Full Time","(Married) couple without C. ","149","0.144944370548403","0.123660794742211","0.166227946354594","3"
"Min 1x per month","1990","Full Time","1-pers.-HH","77","0.18958195917113","0.152272563335576","0.226891355006685","3"
"Min 1x per month","1990","Full Time","Couple + C. LE 16 ","119","0.12924953661257","0.109232548872992","0.149266524352147","3"
"Min 1x per month","1990","Full Time","Couple + C. GT 16 ","114","0.133876318301199","0.112524117449646","0.155228519152752","3"
"Min 1x per month","1990","Full Time","Couple + C. LE and GT 16","35","0.107133759532581","0.0769000498532745","0.137367469211887","3"
"Min 1x per month","1990","Part Time","(Married) couple without C. ","41","0.13700157467771","0.0983489419357405","0.17565420741968","3"
"Min 1x per month","1990","Part Time","Single parent ","11","","","","3"
"Min 1x per month","1990","Part Time","Couple + C. GT 16 ","66","0.16049647189102","0.125265544825084","0.195727398956955","3"
"Min 1x per month","1990","Part Time","Couple + C. LE and GT 16","16","","","","3"
"Min 1x per month","1990","Not Working","1-pers.-HH","33","0.0599944251128861","0.039158226865134","0.0808306233606381","3"
"Min 1x per month","1990","Not Working","Single parent ","18","","","","3"
