"pli0093_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","in school","19","","","","1"
"Daily","1990","no migration background","inadequately","1","","","","1"
"Daily","1990","no migration background","general elemantary","39","0.0247205429168438","0.0168732888564541","0.0325677969772334","1"
"Daily","1990","no migration background","middle vocational","79","0.0200128850821757","0.0154658956962991","0.0245598744680523","1"
"Daily","1990","no migration background","vocational + Abi","6","","","","1"
"Daily","1990","no migration background","higher vocational","13","","","","1"
"Daily","1990","no migration background","higher education","38","0.0593234544916834","0.04046861632715","0.0781782926562167","1"
"Daily","1990","direct migration background","in school","2","","","","1"
"Daily","1990","direct migration background","inadequately","4","","","","1"
"Daily","1990","direct migration background","general elemantary","16","","","","1"
"Daily","1990","direct migration background","middle vocational","13","","","","1"
"Daily","1990","direct migration background","vocational + Abi","2","","","","1"
"Daily","1990","direct migration background","higher vocational","3","","","","1"
"Daily","1990","direct migration background","higher education","4","","","","1"
"Daily","1990","indirect migration background","in school","2","","","","1"
"Daily","1990","indirect migration background","inadequately","","","","","1"
"Daily","1990","indirect migration background","general elemantary","7","","","","1"
"Daily","1990","indirect migration background","middle vocational","1","","","","1"
"Daily","1990","indirect migration background","vocational + Abi","","","","","1"
"Daily","1990","indirect migration background","higher vocational","1","","","","1"
"Daily","1990","indirect migration background","higher education","","","","","1"
"Min 1x per month","1990","indirect migration background","vocational + Abi","1","","","","3"
"Min 1x per month","1990","direct migration background","in school","1","","","","3"
"Min 1x per month","1990","direct migration background","inadequately","16","","","","3"
"Min 1x per month","1990","direct migration background","vocational + Abi","12","","","","3"
"Min 1x per month","1990","indirect migration background","general elemantary","18","","","","3"
"Min 1x per month","1990","indirect migration background","middle vocational","17","","","","3"
"Min 1x per month","1990","direct migration background","general elemantary","39","0.0495178252436019","0.0349161416106827","0.0641195088765211","3"
"Min 1x per month","1990","direct migration background","middle vocational","54","0.104811768124916","0.0836123904162108","0.126011145833621","3"
"Min 1x per month","1990","direct migration background","higher vocational","8","","","","3"
"Min 1x per month","1990","direct migration background","higher education","17","","","","3"
"Min 1x per month","1990","indirect migration background","in school","1","","","","3"
"Min 1x per month","1990","indirect migration background","inadequately","3","","","","3"
"Min 1x per month","1990","indirect migration background","higher vocational","1","","","","3"
"Min 1x per month","1990","indirect migration background","higher education","1","","","","3"
"Min 1x per month","1990","no migration background","in school","11","","","","3"
"Min 1x per month","1990","no migration background","inadequately","1","","","","3"
"Min 1x per month","1990","no migration background","general elemantary","136","0.0824010307365351","0.0685041620594148","0.0962978994136554","3"
"Min 1x per month","1990","no migration background","middle vocational","486","0.131341974815022","0.120375044196022","0.142308905434023","3"
"Min 1x per month","1990","no migration background","vocational + Abi","32","0.181994723089902","0.127275634136943","0.236713812042862","3"
"Min 1x per month","1990","no migration background","higher vocational","70","0.14107301465146","0.109193224847519","0.172952804455401","3"
"Min 1x per month","1990","no migration background","higher education","116","0.181977239564152","0.151182207178594","0.21277227194971","3"
"Min 1x per week","1990","indirect migration background","in school","5","","","","2"
"Min 1x per week","1990","indirect migration background","inadequately","1","","","","2"
"Min 1x per week","1990","indirect migration background","general elemantary","13","","","","2"
"Min 1x per week","1990","indirect migration background","middle vocational","15","","","","2"
"Min 1x per week","1990","indirect migration background","vocational + Abi","1","","","","2"
"Min 1x per week","1990","indirect migration background","higher vocational","1","","","","2"
"Min 1x per week","1990","indirect migration background","higher education","2","","","","2"
"Min 1x per week","1990","no migration background","in school","24","","","","2"
"Min 1x per week","1990","no migration background","inadequately","2","","","","2"
"Min 1x per week","1990","no migration background","general elemantary","94","0.061371869903935","0.0492420142274923","0.0735017255803776","2"
"Min 1x per week","1990","no migration background","middle vocational","362","0.0956094161241564","0.0860619691308583","0.105156863117455","2"
"Min 1x per week","1990","no migration background","vocational + Abi","33","0.16314167824895","0.110740646299017","0.215542710198883","2"
"Min 1x per week","1990","no migration background","higher vocational","54","0.117810206271464","0.0882853477840549","0.147335064758873","2"
"Min 1x per week","1990","no migration background","higher education","109","0.185360903753286","0.154345236514973","0.2163765709916","2"
"Min 1x per week","1990","direct migration background","in school","6","","","","2"
"Min 1x per week","1990","direct migration background","inadequately","9","","","","2"
"Min 1x per week","1990","direct migration background","general elemantary","34","0.0421850612739258","0.0286559175581948","0.0557142049896568","2"
"Min 1x per week","1990","direct migration background","middle vocational","48","0.0688441792647819","0.0513212906040479","0.086367067925516","2"
