"plh0108","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","no migration background","420","0.15941775781073","0.144966751755842","0.173868763865618"
"Very important","1990","16-34 y.","direct migration background","26","","",""
"Very important","1990","16-34 y.","indirect migration background","6","","",""
"Very important","1990","35-65 y.","no migration background","777","0.225782272465261","0.211305281183028","0.240259263747493"
"Very important","1990","35-65 y.","direct migration background","67","0.237814874001601","0.185353752331219","0.290275995671982"
"Very important","1990","35-65 y.","indirect migration background","7","","",""
"Very important","1990","66 and older","no migration background","239","0.207933812998406","0.182248664371088","0.233618961625724"
"Very important","1990","66 and older","direct migration background","18","","",""
"Very important","1990","66 and older","indirect migration background","1","","",""
"Important","1990","16-34 y.","no migration background","748","0.293251694000097","0.275279864817511","0.311223523182684"
"Important","1990","16-34 y.","direct migration background","33","0.247390436097646","0.171747321244427","0.323033550950866"
"Important","1990","16-34 y.","indirect migration background","7","","",""
"Important","1990","35-65 y.","no migration background","1186","0.358950290709656","0.342340473778592","0.375560107640719"
"Important","1990","35-65 y.","direct migration background","84","0.323176811906886","0.265547220390892","0.380806403422881"
"Important","1990","35-65 y.","indirect migration background","3","","",""
"Important","1990","66 and older","no migration background","219","0.207096585926651","0.181449655063607","0.232743516789695"
"Important","1990","66 and older","direct migration background","17","","",""
"Important","1990","66 and older","indirect migration background","","","",""
"Less important","1990","16-34 y.","no migration background","1019","0.42064267170825","0.401154569657475","0.440130773759024"
"Less important","1990","16-34 y.","direct migration background","56","0.452424404072457","0.365169842982033","0.539678965162882"
"Less important","1990","16-34 y.","indirect migration background","16","","",""
"Less important","1990","35-65 y.","no migration background","839","0.274566542148238","0.25911312829702","0.290019955999455"
"Less important","1990","35-65 y.","direct migration background","71","0.303121379145431","0.24648771184593","0.359755046444932"
"Less important","1990","35-65 y.","indirect migration background","5","","",""
"Less important","1990","66 and older","no migration background","192","0.211084031640739","0.185256562518527","0.23691150076295"
"Less important","1990","66 and older","direct migration background","13","","",""
"Less important","1990","66 and older","indirect migration background","1","","",""
"Quite unimportant","1990","16-34 y.","no migration background","278","0.126687876480923","0.1135570548438","0.139818698118045"
"Quite unimportant","1990","16-34 y.","direct migration background","10","","",""
"Quite unimportant","1990","16-34 y.","indirect migration background","3","","",""
"Quite unimportant","1990","35-65 y.","no migration background","402","0.140700894676846","0.128661006686054","0.152740782667639"
"Quite unimportant","1990","35-65 y.","direct migration background","31","0.135886934946082","0.0936626826722309","0.178111187219934"
"Quite unimportant","1990","35-65 y.","indirect migration background","3","","",""
"Quite unimportant","1990","66 and older","no migration background","309","0.373885569434204","0.343263467640799","0.404507671227609"
"Quite unimportant","1990","66 and older","direct migration background","15","","",""
"Quite unimportant","1990","66 and older","indirect migration background","3","","",""
"Very important","1991","16-34 y.","no migration background","","","",""
"Very important","1991","16-34 y.","direct migration background","","","",""
"Very important","1991","16-34 y.","indirect migration background","","","",""
"Very important","1991","35-65 y.","no migration background","","","",""
"Very important","1991","35-65 y.","direct migration background","","","",""
"Very important","1991","35-65 y.","indirect migration background","","","",""
"Very important","1991","66 and older","no migration background","","","",""
"Very important","1991","66 and older","direct migration background","","","",""
"Very important","1991","66 and older","indirect migration background","","","",""
"Important","1991","16-34 y.","no migration background","","","",""
"Important","1991","16-34 y.","direct migration background","","","",""
"Important","1991","16-34 y.","indirect migration background","","","",""
"Important","1991","35-65 y.","no migration background","","","",""
