"plh0108","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","Male","799","0.235792491351953","0.221054859787459","0.250530122916446"
"Very important","1990","no migration background","Female","637","0.16907093714795","0.156547538386587","0.181594335909314"
"Very important","1990","direct migration background","Male","53","0.250650931838505","0.191611840345533","0.309690023331476"
"Very important","1990","direct migration background","Female","58","0.209342875539907","0.157215801354937","0.261469949724876"
"Very important","1990","indirect migration background","Male","6","","",""
"Very important","1990","indirect migration background","Female","8","","",""
"Important","1990","no migration background","Male","1052","0.321255685825265","0.305043723978908","0.337467647671623"
"Important","1990","no migration background","Female","1101","0.297374031510871","0.282101206582466","0.312646856439276"
"Important","1990","direct migration background","Male","64","0.286274881759561","0.22469766845501","0.347852095064111"
"Important","1990","direct migration background","Female","70","0.293695609820235","0.235339700263333","0.352051519377137"
"Important","1990","indirect migration background","Male","4","","",""
"Important","1990","indirect migration background","Female","6","","",""
"Less important","1990","no migration background","Male","963","0.30820654690832","0.292175340237092","0.324237753579548"
"Less important","1990","no migration background","Female","1087","0.312170696604748","0.296688158467085","0.327653234742411"
"Less important","1990","direct migration background","Male","66","0.332473975692161","0.268297502391248","0.396650448993073"
"Less important","1990","direct migration background","Female","74","0.32669588463512","0.266603750406259","0.386788018863981"
"Less important","1990","indirect migration background","Male","12","","",""
"Less important","1990","indirect migration background","Female","10","","",""
"Quite unimportant","1990","no migration background","Male","373","0.134745275914462","0.122890705439739","0.146599846389185"
"Quite unimportant","1990","no migration background","Female","616","0.221384334736431","0.207512280865444","0.235256388607418"
"Quite unimportant","1990","direct migration background","Male","24","","",""
"Quite unimportant","1990","direct migration background","Female","32","0.170265630004738","0.122107102745172","0.218424157264304"
"Quite unimportant","1990","indirect migration background","Male","2","","",""
"Quite unimportant","1990","indirect migration background","Female","7","","",""
"Very important","1991","no migration background","Male","","","",""
"Very important","1991","no migration background","Female","","","",""
"Very important","1991","direct migration background","Male","","","",""
"Very important","1991","direct migration background","Female","","","",""
"Very important","1991","indirect migration background","Male","","","",""
"Very important","1991","indirect migration background","Female","","","",""
"Important","1991","no migration background","Male","","","",""
"Important","1991","no migration background","Female","","","",""
"Important","1991","direct migration background","Male","","","",""
"Important","1991","direct migration background","Female","","","",""
"Important","1991","indirect migration background","Male","","","",""
"Important","1991","indirect migration background","Female","","","",""
"Less important","1991","no migration background","Male","","","",""
"Less important","1991","no migration background","Female","","","",""
"Less important","1991","direct migration background","Male","","","",""
"Less important","1991","direct migration background","Female","","","",""
"Less important","1991","indirect migration background","Male","","","",""
"Less important","1991","indirect migration background","Female","","","",""
"Quite unimportant","1991","no migration background","Male","","","",""
"Quite unimportant","1991","no migration background","Female","","","",""
"Quite unimportant","1991","direct migration background","Male","","","",""
"Quite unimportant","1991","direct migration background","Female","","","",""
"Quite unimportant","1991","indirect migration background","Male","","","",""
"Quite unimportant","1991","indirect migration background","Female","","","",""
"Very important","1992","no migration background","Male","1232","0.241478880585952","0.229504212688028","0.253453548483876"
"Very important","1992","no migration background","Female","1101","0.186912104586189","0.176501832874911","0.197322376297466"
"Very important","1992","direct migration background","Male","71","0.271400830919566","0.217244637423778","0.325557024415353"
