"plh0108","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","higher vocational","50","0.285212955842136","0.214809738170403","0.355616173513869","2"
"Important","1990","16-34 y.","middle vocational","426","0.293585277492703","0.269907111568781","0.317263443416625","2"
"Important","1990","16-34 y.","higher education","63","0.29861492537947","0.232308355555962","0.364921495202977","2"
"Important","1990","16-34 y.","general elemantary","147","0.290977530278169","0.251244109315387","0.330710951240951","2"
"Important","1990","16-34 y.","vocational + Abi","39","0.295699406846052","0.217251624920607","0.374147188771497","2"
"Important","1990","16-34 y.","inadequately","18","","","","2"
"Important","1990","16-34 y.","in school","24","","","","2"
"Important","1990","35-65 y.","in school","","","","","2"
"Important","1990","35-65 y.","inadequately","4","","","","2"
"Important","1990","35-65 y.","general elemantary","257","0.337146130486977","0.303177376952381","0.371114884021574","2"
"Important","1990","35-65 y.","middle vocational","721","0.353178469216001","0.332056458679927","0.374300479752075","2"
"Important","1990","35-65 y.","vocational + Abi","20","","","","2"
"Important","1990","35-65 y.","higher vocational","95","0.334850352960422","0.278661714498635","0.391038991422209","2"
"Important","1990","35-65 y.","higher education","173","0.427179084492699","0.379355557314107","0.475002611671292","2"
"Important","1990","66 and older","in school","","","","","2"
"Important","1990","66 and older","inadequately","2","","","","2"
"Important","1990","66 and older","general elemantary","84","0.189182841600527","0.14975247421435","0.228613208986705","2"
"Important","1990","66 and older","middle vocational","122","0.231791938254178","0.194352719839542","0.269231156668814","2"
"Important","1990","66 and older","vocational + Abi","6","","","","2"
"Important","1990","66 and older","higher vocational","15","","","","2"
"Important","1990","66 and older","higher education","7","","","","2"
"Less important","1990","35-65 y.","vocational + Abi","17","","","","3"
"Less important","1990","35-65 y.","higher vocational","70","0.243088073222632","0.192017827728763","0.294158318716502","3"
"Less important","1990","16-34 y.","general elemantary","204","0.394203604298626","0.351455203714074","0.436952004883179","3"
"Less important","1990","16-34 y.","middle vocational","581","0.416701474202934","0.391067909213368","0.442335039192501","3"
"Less important","1990","35-65 y.","higher education","108","0.267377357144448","0.224588601011167","0.310166113277729","3"
"Less important","1990","16-34 y.","inadequately","20","","","","3"
"Less important","1990","16-34 y.","vocational + Abi","63","0.511796244153647","0.425870061124604","0.59772242718269","3"
"Less important","1990","16-34 y.","higher vocational","61","0.372685047852362","0.29729164391815","0.448078451786573","3"
"Less important","1990","35-65 y.","middle vocational","551","0.29824599826212","0.278028581087543","0.318463415436698","3"
"Less important","1990","16-34 y.","in school","60","0.551162900353621","0.458215743333579","0.644110057373662","3"
"Less important","1990","16-34 y.","higher education","72","0.407691793439506","0.33649467679235","0.478888910086661","3"
"Less important","1990","35-65 y.","in school","","","","","3"
"Less important","1990","35-65 y.","inadequately","1","","","","3"
"Less important","1990","35-65 y.","general elemantary","165","0.237264137258856","0.206696296928406","0.267831977589305","3"
"Less important","1990","66 and older","in school","","","","","3"
"Less important","1990","66 and older","inadequately","","","","","3"
"Less important","1990","66 and older","general elemantary","80","0.241439004570795","0.198353869784477","0.284524139357113","3"
"Less important","1990","66 and older","middle vocational","96","0.204345960646908","0.168570655675224","0.240121265618592","3"
"Less important","1990","66 and older","vocational + Abi","8","","","","3"
"Less important","1990","66 and older","higher vocational","12","","","","3"
"Less important","1990","66 and older","higher education","10","","","","3"
"Quite unimportant","1990","66 and older","higher vocational","19","","","","4"
"Quite unimportant","1990","66 and older","higher education","20","","","","4"
"Quite unimportant","1990","35-65 y.","vocational + Abi","7","","","","4"
"Quite unimportant","1990","16-34 y.","general elemantary","63","0.147656117840408","0.116622716392079","0.178689519288737","4"
"Quite unimportant","1990","16-34 y.","inadequately","5","","","","4"
"Quite unimportant","1990","16-34 y.","middle vocational","148","0.114208095734299","0.0976707673410797","0.130745424127517","4"
"Quite unimportant","1990","35-65 y.","middle vocational","239","0.135749353401039","0.120612533194729","0.15088617360735","4"
"Quite unimportant","1990","35-65 y.","higher vocational","35","0.162175449890965","0.118288788657288","0.206062111124643","4"
"Quite unimportant","1990","16-34 y.","in school","8","","","","4"
"Quite unimportant","1990","16-34 y.","vocational + Abi","13","","","","4"
"Quite unimportant","1990","16-34 y.","higher vocational","23","","","","4"
"Quite unimportant","1990","16-34 y.","higher education","26","","","","4"
"Quite unimportant","1990","35-65 y.","in school","","","","","4"
"Quite unimportant","1990","35-65 y.","inadequately","6","","","","4"
"Quite unimportant","1990","35-65 y.","general elemantary","116","0.172356862829014","0.145217635886401","0.199496089771626","4"
"Quite unimportant","1990","35-65 y.","higher education","32","0.0822345654491408","0.0556750449864167","0.108794085911865","4"
"Quite unimportant","1990","66 and older","in school","","","","","4"
"Quite unimportant","1990","66 and older","inadequately","4","","","","4"
"Quite unimportant","1990","66 and older","general elemantary","120","0.363915044770682","0.315477061480658","0.412353028060707","4"
"Quite unimportant","1990","66 and older","middle vocational","159","0.374425603185428","0.331485762184419","0.417365444186437","4"
"Quite unimportant","1990","66 and older","vocational + Abi","4","","","","4"
"Very important","1990","16-34 y.","in school","18","","","","1"
"Very important","1990","16-34 y.","inadequately","10","","","","1"
"Very important","1990","16-34 y.","general elemantary","88","0.167162747582796","0.134523055410623","0.199802439754969","1"
"Very important","1990","16-34 y.","middle vocational","266","0.175505152570064","0.155726807002003","0.195283498138125","1"
"Very important","1990","16-34 y.","vocational + Abi","15","","","","1"
"Very important","1990","16-34 y.","higher vocational","24","","","","1"
"Very important","1990","16-34 y.","higher education","22","","","","1"
"Very important","1990","35-65 y.","in school","","","","","1"
"Very important","1990","35-65 y.","inadequately","5","","","","1"
"Very important","1990","35-65 y.","general elemantary","206","0.253232869425153","0.221985442703782","0.284480296146524","1"
"Very important","1990","35-65 y.","middle vocational","456","0.212826179120839","0.19473804555303","0.230914312688648","1"
"Very important","1990","35-65 y.","vocational + Abi","9","","","","1"
"Very important","1990","35-65 y.","higher vocational","71","0.259886123925981","0.207670043950594","0.312102203901367","1"
"Very important","1990","35-65 y.","higher education","98","0.223208992913712","0.182952575867605","0.263465409959818","1"
"Very important","1990","66 and older","in school","","","","","1"
"Very important","1990","66 and older","inadequately","","","","","1"
"Very important","1990","66 and older","general elemantary","95","0.205463109057995","0.164785778272172","0.246140439843818","1"
"Very important","1990","66 and older","middle vocational","111","0.189436497913485","0.154669793081135","0.224203202745835","1"
"Very important","1990","66 and older","vocational + Abi","4","","","","1"
"Very important","1990","66 and older","higher vocational","24","","","","1"
"Very important","1990","66 and older","higher education","24","","","","1"
"Important","1991","16-34 y.","inadequately","","","","","2"
"Important","1991","16-34 y.","general elemantary","","","","","2"
"Important","1991","16-34 y.","vocational + Abi","","","","","2"
"Important","1991","16-34 y.","middle vocational","","","","","2"
"Important","1991","16-34 y.","higher vocational","","","","","2"
"Important","1991","16-34 y.","higher education","","","","","2"
"Important","1991","16-34 y.","in school","","","","","2"
"Important","1991","35-65 y.","in school","","","","","2"
"Important","1991","35-65 y.","inadequately","","","","","2"
"Important","1991","35-65 y.","general elemantary","","","","","2"
"Important","1991","35-65 y.","middle vocational","","","","","2"
"Important","1991","35-65 y.","vocational + Abi","","","","","2"
"Important","1991","35-65 y.","higher vocational","","","","","2"
"Important","1991","35-65 y.","higher education","","","","","2"
"Important","1991","66 and older","in school","","","","","2"
"Important","1991","66 and older","inadequately","","","","","2"
"Important","1991","66 and older","general elemantary","","","","","2"
"Important","1991","66 and older","middle vocational","","","","","2"
"Important","1991","66 and older","vocational + Abi","","","","","2"
"Important","1991","66 and older","higher vocational","","","","","2"
"Important","1991","66 and older","higher education","","","","","2"
"Less important","1991","16-34 y.","inadequately","","","","","3"
"Less important","1991","16-34 y.","vocational + Abi","","","","","3"
"Less important","1991","35-65 y.","higher education","","","","","3"
"Less important","1991","16-34 y.","general elemantary","","","","","3"
"Less important","1991","35-65 y.","vocational + Abi","","","","","3"
"Less important","1991","16-34 y.","middle vocational","","","","","3"
"Less important","1991","35-65 y.","higher vocational","","","","","3"
"Less important","1991","16-34 y.","in school","","","","","3"
"Less important","1991","16-34 y.","higher vocational","","","","","3"
"Less important","1991","35-65 y.","middle vocational","","","","","3"
"Less important","1991","16-34 y.","higher education","","","","","3"
"Less important","1991","35-65 y.","in school","","","","","3"
"Less important","1991","35-65 y.","inadequately","","","","","3"
"Less important","1991","35-65 y.","general elemantary","","","","","3"
"Less important","1991","66 and older","general elemantary","","","","","3"
"Less important","1991","66 and older","higher vocational","","","","","3"
"Less important","1991","66 and older","in school","","","","","3"
"Less important","1991","66 and older","inadequately","","","","","3"
"Less important","1991","66 and older","middle vocational","","","","","3"
"Less important","1991","66 and older","vocational + Abi","","","","","3"
"Less important","1991","66 and older","higher education","","","","","3"
"Quite unimportant","1991","16-34 y.","inadequately","","","","","4"
"Quite unimportant","1991","16-34 y.","general elemantary","","","","","4"
"Quite unimportant","1991","16-34 y.","in school","","","","","4"
"Quite unimportant","1991","16-34 y.","middle vocational","","","","","4"
"Quite unimportant","1991","66 and older","higher education","","","","","4"
"Quite unimportant","1991","35-65 y.","vocational + Abi","","","","","4"
"Quite unimportant","1991","35-65 y.","middle vocational","","","","","4"
"Quite unimportant","1991","35-65 y.","higher vocational","","","","","4"
"Quite unimportant","1991","66 and older","higher vocational","","","","","4"
"Quite unimportant","1991","16-34 y.","vocational + Abi","","","","","4"
"Quite unimportant","1991","16-34 y.","higher vocational","","","","","4"
"Quite unimportant","1991","16-34 y.","higher education","","","","","4"
"Quite unimportant","1991","35-65 y.","in school","","","","","4"
"Quite unimportant","1991","35-65 y.","inadequately","","","","","4"
"Quite unimportant","1991","35-65 y.","general elemantary","","","","","4"
"Quite unimportant","1991","35-65 y.","higher education","","","","","4"
"Quite unimportant","1991","66 and older","in school","","","","","4"
"Quite unimportant","1991","66 and older","inadequately","","","","","4"
"Quite unimportant","1991","66 and older","general elemantary","","","","","4"
"Quite unimportant","1991","66 and older","middle vocational","","","","","4"
"Quite unimportant","1991","66 and older","vocational + Abi","","","","","4"
"Very important","1991","16-34 y.","in school","","","","","1"
"Very important","1991","16-34 y.","inadequately","","","","","1"
"Very important","1991","16-34 y.","general elemantary","","","","","1"
"Very important","1991","16-34 y.","middle vocational","","","","","1"
"Very important","1991","16-34 y.","vocational + Abi","","","","","1"
"Very important","1991","16-34 y.","higher vocational","","","","","1"
"Very important","1991","16-34 y.","higher education","","","","","1"
