"plh0108","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","(0) in school","15","","",""
"Very important","1990","Not Employed","(1a) inadequately completed","5","","",""
"Very important","1990","Not Employed","(1b) general elementary school","199","0.233423574238619","0.203369327347801","0.263477821129438"
"Very important","1990","Not Employed","(1c) basic vocational qualification","234","0.217691616338622","0.191421997793513","0.243961234883732"
"Very important","1990","Not Employed","(2b) intermediate general qualification","11","","",""
"Very important","1990","Not Employed","(2a) intermediate vocational","62","0.181101287998666","0.138708271176113","0.22349430482122"
"Very important","1990","Not Employed","(2c_gen) general maturity certificate","11","","",""
"Very important","1990","Not Employed","(2c_voc) vocational maturity certificate","16","","",""
"Very important","1990","Not Employed","(3a) lower tertiary education","15","","",""
"Very important","1990","Not Employed","(3b) higher tertiary education","21","","",""
"Very important","1990","Employed","(0) in school","3","","",""
"Very important","1990","Employed","(1a) inadequately completed","6","","",""
"Very important","1990","Employed","(1b) general elementary school","154","0.237503402211473","0.203136189070173","0.271870615352773"
"Very important","1990","Employed","(1c) basic vocational qualification","448","0.231513382471443","0.212065370222733","0.250961394720153"
"Very important","1990","Employed","(2b) intermediate general qualification","30","0.14290554548179","0.0946428815376364","0.191168209425943"
"Very important","1990","Employed","(2a) intermediate vocational","156","0.161001536626615","0.137069504046158","0.184933569207072"
"Very important","1990","Employed","(2c_gen) general maturity certificate","17","","",""
"Very important","1990","Employed","(2c_voc) vocational maturity certificate","34","0.136355765958054","0.0922927395151983","0.180418792400909"
"Very important","1990","Employed","(3a) lower tertiary education","37","0.193610684097732","0.136362780387098","0.250858587808366"
"Very important","1990","Employed","(3b) higher tertiary education","71","0.193777849102459","0.152130297954822","0.235425400250096"
"Important","1990","Not Employed","(0) in school","22","","",""
"Important","1990","Not Employed","(1a) inadequately completed","8","","",""
"Important","1990","Not Employed","(1b) general elementary school","228","0.266681307184176","0.235261868061807","0.298100746306546"
"Important","1990","Not Employed","(1c) basic vocational qualification","293","0.288593028214192","0.259749665029917","0.317436391398467"
"Important","1990","Not Employed","(2b) intermediate general qualification","27","","",""
"Important","1990","Not Employed","(2a) intermediate vocational","100","0.280403761268379","0.230955067971141","0.329852454565616"
"Important","1990","Not Employed","(2c_gen) general maturity certificate","26","","",""
"Important","1990","Not Employed","(2c_voc) vocational maturity certificate","25","","",""
"Important","1990","Not Employed","(3a) lower tertiary education","13","","",""
"Important","1990","Not Employed","(3b) higher tertiary education","24","","",""
"Important","1990","Employed","(0) in school","2","","",""
"Important","1990","Employed","(1a) inadequately completed","10","","",""
"Important","1990","Employed","(1b) general elementary school","184","0.317056078177116","0.279476577319295","0.354635579034936"
"Important","1990","Employed","(1c) basic vocational qualification","622","0.335864509990357","0.314088444360555","0.357640575620159"
"Important","1990","Employed","(2b) intermediate general qualification","58","0.282699553701901","0.220600423352864","0.344798684050939"
"Important","1990","Employed","(2a) intermediate vocational","304","0.331742418845606","0.301083527745156","0.362401309946056"
"Important","1990","Employed","(2c_gen) general maturity certificate","41","0.256443153625872","0.184872873806236","0.328013433445508"
"Important","1990","Employed","(2c_voc) vocational maturity certificate","70","0.276210052810741","0.218798916281925","0.333621189339557"
"Important","1990","Employed","(3a) lower tertiary education","72","0.371720962453678","0.301703340336395","0.441738584570961"
"Important","1990","Employed","(3b) higher tertiary education","134","0.391436431606582","0.340009141735258","0.442863721477905"
"Less important","1990","Not Employed","(0) in school","53","0.55727548620962","0.457914880791538","0.656636091627702"
"Less important","1990","Not Employed","(1a) inadequately completed","10","","",""
"Less important","1990","Not Employed","(1b) general elementary school","158","0.231193008572893","0.201239219106198","0.261146798039589"
"Less important","1990","Not Employed","(1c) basic vocational qualification","203","0.214429700981487","0.188303340189769","0.240556061773206"
"Less important","1990","Not Employed","(2b) intermediate general qualification","37","0.356973807556862","0.261629508261018","0.452318106852707"
"Less important","1990","Not Employed","(2a) intermediate vocational","87","0.264951212122348","0.216370989781736","0.31353143446296"
"Less important","1990","Not Employed","(2c_gen) general maturity certificate","54","0.502730774315858","0.408433369550011","0.597028179081706"
"Less important","1990","Not Employed","(2c_voc) vocational maturity certificate","27","","",""
"Less important","1990","Not Employed","(3a) lower tertiary education","10","","",""
"Less important","1990","Not Employed","(3b) higher tertiary education","14","","",""
"Less important","1990","Employed","(0) in school","7","","",""
"Less important","1990","Employed","(1a) inadequately completed","9","","",""
"Less important","1990","Employed","(1b) general elementary school","177","0.301130657875279","0.264082559194519","0.338178756556039"
"Less important","1990","Employed","(1c) basic vocational qualification","566","0.329377043958059","0.307707244790674","0.351046843125444"
"Less important","1990","Employed","(2b) intermediate general qualification","85","0.399791827570519","0.332239500462728","0.46734415467831"
"Less important","1990","Employed","(2a) intermediate vocational","345","0.381708757019508","0.350075303941371","0.413342210097644"
"Less important","1990","Employed","(2c_gen) general maturity certificate","58","0.394218772586057","0.314123547090248","0.474313998081866"
"Less important","1990","Employed","(2c_voc) vocational maturity certificate","102","0.449238894647401","0.38536984751378","0.513107941781021"
