"plh0108","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","Urban Area","425","0.191245750140605","0.174014026092597","0.208477474188614"
"Very important","1990","Not Employed","Rural Area","170","0.260079386205783","0.224949219640604","0.295209552770962"
"Very important","1990","Employed","Urban Area","709","0.188343622132256","0.175364480799304","0.201322763465207"
"Very important","1990","Employed","Rural Area","257","0.236323331349522","0.21047946564709","0.262167197051955"
"Important","1990","Not Employed","Urban Area","583","0.265508717154309","0.246159773416296","0.284857660892321"
"Important","1990","Not Employed","Rural Area","191","0.292569237064556","0.256136568738033","0.329001905391079"
"Important","1990","Employed","Urban Area","1149","0.323241933758022","0.307715741196309","0.338768126319734"
"Important","1990","Employed","Rural Area","374","0.354061620919258","0.324968897005883","0.383154344832632"
"Less important","1990","Not Employed","Urban Area","531","0.267440070618661","0.248046429017486","0.286833712219835"
"Less important","1990","Not Employed","Rural Area","136","0.225246902492866","0.191793079539486","0.258700725446246"
"Less important","1990","Employed","Urban Area","1219","0.358556844023973","0.342636864831429","0.374476823216517"
"Less important","1990","Employed","Rural Area","326","0.314902545389731","0.286646350535703","0.343158740243759"
"Quite unimportant","1990","Not Employed","Urban Area","462","0.275805462086425","0.256223617449582","0.295387306723268"
"Quite unimportant","1990","Not Employed","Rural Area","102","0.222104474236795","0.18881752679414","0.255391421679451"
"Quite unimportant","1990","Employed","Urban Area","409","0.12985760008575","0.11869890908737","0.14101629108413"
"Quite unimportant","1990","Employed","Rural Area","81","0.0947125023414889","0.0768991223992136","0.112525882283764"
"Very important","1991","Not Employed","Urban Area","","","",""
"Very important","1991","Not Employed","Rural Area","","","",""
"Very important","1991","Employed","Urban Area","","","",""
"Very important","1991","Employed","Rural Area","","","",""
"Important","1991","Not Employed","Urban Area","","","",""
"Important","1991","Not Employed","Rural Area","","","",""
"Important","1991","Employed","Urban Area","","","",""
"Important","1991","Employed","Rural Area","","","",""
"Less important","1991","Not Employed","Urban Area","","","",""
"Less important","1991","Not Employed","Rural Area","","","",""
"Less important","1991","Employed","Urban Area","","","",""
"Less important","1991","Employed","Rural Area","","","",""
"Quite unimportant","1991","Not Employed","Urban Area","","","",""
"Quite unimportant","1991","Not Employed","Rural Area","","","",""
"Quite unimportant","1991","Employed","Urban Area","","","",""
"Quite unimportant","1991","Employed","Rural Area","","","",""
"Very important","1992","Not Employed","Urban Area","447","0.188608361085033","0.172357317849645","0.20485940432042"
"Very important","1992","Not Employed","Rural Area","303","0.236707261887969","0.213096240670823","0.260318283105115"
"Very important","1992","Employed","Urban Area","909","0.20127098621223","0.189526206881553","0.213015765542906"
"Very important","1992","Employed","Rural Area","819","0.272413178280406","0.256162097891651","0.28866425866916"
"Important","1992","Not Employed","Urban Area","626","0.276940894506455","0.25835146952608","0.295530319486829"
"Important","1992","Not Employed","Rural Area","389","0.309096851372999","0.283427240110992","0.334766462635007"
"Important","1992","Employed","Urban Area","1291","0.295275413357535","0.281913215484389","0.30863761123068"
"Important","1992","Employed","Rural Area","903","0.32229168102788","0.305231967816865","0.339351394238895"
"Less important","1992","Not Employed","Urban Area","570","0.242737854079881","0.224927301696278","0.260548406463485"
"Less important","1992","Not Employed","Rural Area","268","0.192101313073599","0.170218304366978","0.21398432178022"
"Less important","1992","Employed","Urban Area","1651","0.360318058362341","0.346255005688268","0.374381111036414"
"Less important","1992","Employed","Rural Area","895","0.308833035473288","0.291968315635956","0.32569775531062"
