"plh0108","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Urban Area","West Germany","1732","0.300229060448169","0.288101179476395","0.312356941419943","2"
"Important","1990","Rural Area","West Germany","565","0.32858809661448","0.305834807619642","0.351341385609317","2"
"Important","1990","Urban Area","East Germany","","","","","2"
"Important","1990","Rural Area","East Germany","","","","","2"
"Less important","1990","Rural Area","East Germany","","","","","3"
"Less important","1990","Urban Area","West Germany","1750","0.322237046061354","0.309871672010624","0.334602420112084","3"
"Less important","1990","Urban Area","East Germany","","","","","3"
"Less important","1990","Rural Area","West Germany","462","0.277762251661809","0.256065213388482","0.299459289935135","3"
"Quite unimportant","1990","Urban Area","West Germany","871","0.18803346236482","0.177694731065699","0.198372193663942","4"
"Quite unimportant","1990","Urban Area","East Germany","","","","","4"
"Quite unimportant","1990","Rural Area","West Germany","183","0.147485257093955","0.130308190270009","0.164662323917901","4"
"Quite unimportant","1990","Rural Area","East Germany","","","","","4"
"Very important","1990","Urban Area","West Germany","1134","0.189500431125656","0.179130828688408","0.199870033562905","1"
"Very important","1990","Urban Area","East Germany","","","","","1"
"Very important","1990","Rural Area","West Germany","427","0.246164394629757","0.225296689431987","0.267032099827526","1"
"Very important","1990","Rural Area","East Germany","","","","","1"
"Important","1991","Urban Area","West Germany","","","","","2"
"Important","1991","Urban Area","East Germany","","","","","2"
"Important","1991","Rural Area","West Germany","","","","","2"
"Important","1991","Rural Area","East Germany","","","","","2"
"Less important","1991","Urban Area","West Germany","","","","","3"
"Less important","1991","Rural Area","East Germany","","","","","3"
"Less important","1991","Urban Area","East Germany","","","","","3"
"Less important","1991","Rural Area","West Germany","","","","","3"
"Quite unimportant","1991","Urban Area","West Germany","","","","","4"
"Quite unimportant","1991","Urban Area","East Germany","","","","","4"
"Quite unimportant","1991","Rural Area","East Germany","","","","","4"
"Quite unimportant","1991","Rural Area","West Germany","","","","","4"
"Very important","1991","Urban Area","East Germany","","","","","1"
"Very important","1991","Urban Area","West Germany","","","","","1"
"Very important","1991","Rural Area","West Germany","","","","","1"
"Very important","1991","Rural Area","East Germany","","","","","1"
"Important","1992","Urban Area","West Germany","1688","0.306020121879759","0.293650641624317","0.318389602135201","2"
"Important","1992","Urban Area","East Germany","229","0.156910066487926","0.137657363155774","0.176162769820078","2"
"Important","1992","Rural Area","West Germany","610","0.354460679552295","0.331393820986261","0.37752753811833","2"
"Important","1992","Rural Area","East Germany","682","0.263419927536053","0.246069624421859","0.280770230650248","2"
"Less important","1992","Rural Area","East Germany","732","0.282376347037782","0.264645262475826","0.300107431599739","3"
"Less important","1992","Urban Area","West Germany","1649","0.304459406142458","0.292107642872357","0.31681116941256","3"
"Less important","1992","Urban Area","East Germany","572","0.393219140928951","0.367363064377825","0.419075217480077","3"
"Less important","1992","Rural Area","West Germany","431","0.254379509534617","0.233378360856426","0.275380658212809","3"
"Quite unimportant","1992","Urban Area","West Germany","824","0.182247493463401","0.171885465865849","0.192609521060953","4"
"Quite unimportant","1992","Urban Area","East Germany","385","0.333696355150455","0.308736550060918","0.358656160239992","4"
"Quite unimportant","1992","Rural Area","West Germany","164","0.127863702766291","0.111760625054293","0.143966780478288","4"
"Quite unimportant","1992","Rural Area","East Germany","387","0.200876146472792","0.185094801905077","0.216657491040506","4"
"Very important","1992","Urban Area","East Germany","185","0.116174437432668","0.0992127938977655","0.13313608096757","1"
"Very important","1992","Urban Area","West Germany","1171","0.207272978514381","0.196392795620179","0.218153161408583","1"
"Very important","1992","Rural Area","West Germany","447","0.263296108146797","0.242058198371356","0.284534017922238","1"
"Very important","1992","Rural Area","East Germany","675","0.253327578953373","0.236196723033184","0.270458434873561","1"
"Important","1993","Urban Area","West Germany","","","","","2"
"Important","1993","Urban Area","East Germany","","","","","2"
"Important","1993","Rural Area","West Germany","","","","","2"
"Important","1993","Rural Area","East Germany","","","","","2"
"Less important","1993","Rural Area","East Germany","","","","","3"
"Less important","1993","Urban Area","West Germany","","","","","3"
"Less important","1993","Urban Area","East Germany","","","","","3"
"Less important","1993","Rural Area","West Germany","","","","","3"
"Quite unimportant","1993","Urban Area","East Germany","","","","","4"
"Quite unimportant","1993","Urban Area","West Germany","","","","","4"
"Quite unimportant","1993","Rural Area","West Germany","","","","","4"
"Quite unimportant","1993","Rural Area","East Germany","","","","","4"
"Very important","1993","Rural Area","East Germany","","","","","1"
"Very important","1993","Urban Area","East Germany","","","","","1"
"Very important","1993","Urban Area","West Germany","","","","","1"
"Very important","1993","Rural Area","West Germany","","","","","1"
"Important","1994","Urban Area","East Germany","","","","","2"
"Important","1994","Urban Area","West Germany","","","","","2"
"Important","1994","Rural Area","West Germany","","","","","2"
"Important","1994","Rural Area","East Germany","","","","","2"
"Less important","1994","Urban Area","West Germany","","","","","3"
"Less important","1994","Urban Area","East Germany","","","","","3"
"Less important","1994","Rural Area","West Germany","","","","","3"
"Less important","1994","Rural Area","East Germany","","","","","3"
"Quite unimportant","1994","Urban Area","East Germany","","","","","4"
"Quite unimportant","1994","Urban Area","West Germany","","","","","4"
"Quite unimportant","1994","Rural Area","West Germany","","","","","4"
"Quite unimportant","1994","Rural Area","East Germany","","","","","4"
"Very important","1994","Rural Area","East Germany","","","","","1"
"Very important","1994","Urban Area","West Germany","","","","","1"
"Very important","1994","Urban Area","East Germany","","","","","1"
