"plh0192","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","lower secondary degree","in school","","","",""
"Fully agree","2003","lower secondary degree","inadequately","","","",""
"Fully agree","2003","lower secondary degree","general elemantary","120","0.0785487366831732","0.0659150587057851","0.0911824146605612"
"Fully agree","2003","lower secondary degree","middle vocational","322","0.0597346400597248","0.05343802467444","0.0660312554450096"
"Fully agree","2003","lower secondary degree","vocational + Abi","2","","",""
"Fully agree","2003","lower secondary degree","higher vocational","26","","",""
"Fully agree","2003","lower secondary degree","higher education","13","","",""
"Fully agree","2003","secondary school degree","in school","","","",""
"Fully agree","2003","secondary school degree","inadequately","","","",""
"Fully agree","2003","secondary school degree","general elemantary","41","0.0698174358126784","0.0498861960430434","0.0897486755823133"
"Fully agree","2003","secondary school degree","middle vocational","201","0.0473825787960047","0.0410993115520322","0.0536658460399772"
"Fully agree","2003","secondary school degree","vocational + Abi","2","","",""
"Fully agree","2003","secondary school degree","higher vocational","34","0.049965526912638","0.0343727890659422","0.0655582647593338"
"Fully agree","2003","secondary school degree","higher education","35","0.0531434217527845","0.0358453103631624","0.0704415331424065"
"Fully agree","2003","college entrance qualification","in school","","","",""
"Fully agree","2003","college entrance qualification","inadequately","","","",""
"Fully agree","2003","college entrance qualification","general elemantary","","","",""
"Fully agree","2003","college entrance qualification","middle vocational","65","0.0814783618686451","0.0623533083877002","0.10060341534959"
"Fully agree","2003","college entrance qualification","vocational + Abi","54","0.0581223147282979","0.0433600449014006","0.0728845845551952"
"Fully agree","2003","college entrance qualification","higher vocational","21","","",""
"Fully agree","2003","college entrance qualification","higher education","275","0.0787898319513905","0.0696104348896194","0.0879692290131616"
"Fully agree","2003","Other degree","in school","","","",""
"Fully agree","2003","Other degree","inadequately","2","","",""
"Fully agree","2003","Other degree","general elemantary","34","0.0745130850798339","0.0480049710697416","0.101021199089926"
"Fully agree","2003","Other degree","middle vocational","40","0.087719823812852","0.0611054519595672","0.114334195666137"
"Fully agree","2003","Other degree","vocational + Abi","10","","",""
"Fully agree","2003","Other degree","higher vocational","6","","",""
"Fully agree","2003","Other degree","higher education","14","","",""
"Fully agree","2003","no degree/no degree yet","in school","56","0.107359834775335","0.0829133249624721","0.131806344588197"
"Fully agree","2003","no degree/no degree yet","inadequately","17","","",""
"Fully agree","2003","no degree/no degree yet","general elemantary","","","",""
"Fully agree","2003","no degree/no degree yet","middle vocational","3","","",""
"Fully agree","2003","no degree/no degree yet","vocational + Abi","","","",""
"Fully agree","2003","no degree/no degree yet","higher vocational","","","",""
"Fully agree","2003","no degree/no degree yet","higher education","","","",""
"Rather agree","2003","lower secondary degree","in school","","","",""
