"plh0192","year","education","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","lower secondary degree","483","0.0642306769384597","0.058824500731344","0.0696368531455754"
"Fully agree","2003","secondary school degree","313","0.050455152873882","0.0451142901490845","0.0557960155986795"
"Fully agree","2003","college entrance qualification","415","0.0726475783126852","0.0657445259815985","0.0795506306437719"
"Fully agree","2003","Other degree","106","0.076487875440189","0.061671005955336","0.0913047449250421"
"Fully agree","2003","no degree/no degree yet","76","0.0895215664303793","0.0707439581025472","0.108299174758211"
"Rather agree","2003","lower secondary degree","4100","0.51830749868391","0.507289233155461","0.529325764212359"
"Rather agree","2003","secondary school degree","3465","0.526943178924716","0.514760593657802","0.53912576419163"
"Rather agree","2003","college entrance qualification","3426","0.619047238575711","0.606131904393594","0.631962572757828"
"Rather agree","2003","Other degree","648","0.52182459822703","0.493976551110494","0.549672645343565"
"Rather agree","2003","no degree/no degree yet","465","0.483118094125123","0.450250802026515","0.515985386223731"
"Rather disagree","2003","lower secondary degree","2806","0.346640304146765","0.336146082222149","0.357134526071381"
"Rather disagree","2003","secondary school degree","2388","0.372942282979052","0.361142460255611","0.384742105702494"
"Rather disagree","2003","college entrance qualification","1451","0.276209410198497","0.264317985472321","0.288100834924672"
"Rather disagree","2003","Other degree","390","0.328447365159595","0.302264825172862","0.354629905146329"
"Rather disagree","2003","no degree/no degree yet","295","0.365551393950509","0.333876581354464","0.397226206546553"
"Disagree fully","2003","lower secondary degree","511","0.0708215202308653","0.0651647734388828","0.0764782670228479"
"Disagree fully","2003","secondary school degree","286","0.0496593852223494","0.0443585875711891","0.0549601828735098"
"Disagree fully","2003","college entrance qualification","139","0.0320957729131072","0.0274081971273694","0.0367833486988451"
"Disagree fully","2003","Other degree","92","0.0732401611731861","0.0587157978548801","0.0877645244914921"
"Disagree fully","2003","no degree/no degree yet","52","0.0618089454939893","0.0459704866977086","0.07764740429027"
"Fully agree","2004","lower secondary degree","","","",""
"Fully agree","2004","secondary school degree","","","",""
"Fully agree","2004","college entrance qualification","","","",""
"Fully agree","2004","Other degree","","","",""
"Fully agree","2004","no degree/no degree yet","","","",""
"Rather agree","2004","lower secondary degree","","","",""
"Rather agree","2004","secondary school degree","","","",""
"Rather agree","2004","college entrance qualification","","","",""
"Rather agree","2004","Other degree","","","",""
"Rather agree","2004","no degree/no degree yet","","","",""
"Rather disagree","2004","lower secondary degree","","","",""
"Rather disagree","2004","secondary school degree","","","",""
"Rather disagree","2004","college entrance qualification","","","",""
"Rather disagree","2004","Other degree","","","",""
"Rather disagree","2004","no degree/no degree yet","","","",""
"Disagree fully","2004","lower secondary degree","","","",""
"Disagree fully","2004","secondary school degree","","","",""
"Disagree fully","2004","college entrance qualification","","","",""
"Disagree fully","2004","Other degree","","","",""
"Disagree fully","2004","no degree/no degree yet","","","",""
"Fully agree","2005","lower secondary degree","","","",""
"Fully agree","2005","secondary school degree","","","",""
"Fully agree","2005","college entrance qualification","","","",""
