"plh0192","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Urban Area","Male","491","0.0656320094795153","0.0598912064552464","0.0713728125037842"
"Fully agree","2003","Urban Area","Female","532","0.0712960234675327","0.0655552949362695","0.077036751998796"
"Fully agree","2003","Rural Area","Male","185","0.0501130273107046","0.0429258601591606","0.0573001944622487"
"Fully agree","2003","Rural Area","Female","209","0.0583098582863097","0.0508318274112618","0.0657878891613577"
"Rather agree","2003","Urban Area","Male","4042","0.554410872959828","0.542888578199217","0.56593316772044"
"Rather agree","2003","Urban Area","Female","4307","0.535762819724297","0.524636489394507","0.546889150054087"
"Rather agree","2003","Rural Area","Male","1899","0.537866546789574","0.521442981902","0.554290111677149"
"Rather agree","2003","Rural Area","Female","1992","0.52546214808793","0.509526548915059","0.541397747260802"
"Rather disagree","2003","Urban Area","Male","2223","0.318091100641269","0.307294308071816","0.328887893210721"
"Rather disagree","2003","Urban Area","Female","2536","0.34258610644051","0.331998445718368","0.353173767162653"
"Rather disagree","2003","Rural Area","Male","1267","0.348495565976327","0.332799031571266","0.364192100381388"
"Rather disagree","2003","Rural Area","Female","1397","0.361886534605689","0.346551053139343","0.377222016072036"
"Disagree fully","2003","Urban Area","Male","392","0.0618660169193875","0.0562811306804474","0.0674509031583275"
"Disagree fully","2003","Urban Area","Female","343","0.0503550503676594","0.0454764206970944","0.0552336800382245"
"Disagree fully","2003","Rural Area","Male","189","0.063524859923394","0.0554902195166414","0.0715595003301466"
"Disagree fully","2003","Rural Area","Female","174","0.0543414590200703","0.0471071830670286","0.061575734973112"
"Fully agree","2004","Urban Area","Male","","","",""
"Fully agree","2004","Urban Area","Female","","","",""
"Fully agree","2004","Rural Area","Male","","","",""
"Fully agree","2004","Rural Area","Female","","","",""
"Rather agree","2004","Urban Area","Male","","","",""
"Rather agree","2004","Urban Area","Female","","","",""
"Rather agree","2004","Rural Area","Male","","","",""
"Rather agree","2004","Rural Area","Female","","","",""
"Rather disagree","2004","Urban Area","Male","","","",""
"Rather disagree","2004","Urban Area","Female","","","",""
"Rather disagree","2004","Rural Area","Male","","","",""
"Rather disagree","2004","Rural Area","Female","","","",""
"Disagree fully","2004","Urban Area","Male","","","",""
"Disagree fully","2004","Urban Area","Female","","","",""
"Disagree fully","2004","Rural Area","Male","","","",""
"Disagree fully","2004","Rural Area","Female","","","",""
"Fully agree","2005","Urban Area","Male","","","",""
