"plh0192","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","16-34 y.","East Germany","66","0.0510222303678186","0.0397467859860114","0.0622976747496257","4"
"Disagree fully","2003","35-65 y.","East Germany","182","0.0752836167261139","0.0657993196262993","0.0847679138259286","4"
"Disagree fully","2003","16-34 y.","West Germany","209","0.0508818295580038","0.0443870863883836","0.0573765727276241","4"
"Disagree fully","2003","35-65 y.","West Germany","458","0.0574957529318403","0.0528548049292599","0.0621367009344207","4"
"Disagree fully","2003","66 and older","West Germany","126","0.0494316509091706","0.0413475730751296","0.0575157287432117","4"
"Disagree fully","2003","66 and older","East Germany","57","0.07131160209989","0.054655302272354","0.0879679019274259","4"
"Fully agree","2003","16-34 y.","West Germany","295","0.0595290202829048","0.0525361166155349","0.0665219239502747","1"
"Fully agree","2003","16-34 y.","East Germany","40","0.0264404003415605","0.0182190867715188","0.0346617139116022","1"
"Fully agree","2003","35-65 y.","West Germany","644","0.0632946635908971","0.058440301059302","0.0681490261224921","1"
"Fully agree","2003","35-65 y.","East Germany","104","0.0287654937713564","0.0227572353353565","0.0347737522073564","1"
"Fully agree","2003","66 and older","West Germany","288","0.106591513191107","0.0950829103078846","0.11810011607433","1"
"Fully agree","2003","66 and older","East Germany","46","0.0457746193658482","0.0322476260346893","0.0593016126970072","1"
"Rather agree","2003","35-65 y.","East Germany","1521","0.495821937465442","0.477849562207564","0.513794312723321","2"
"Rather agree","2003","16-34 y.","East Germany","726","0.490078268700049","0.464462322001248","0.515694215398849","2"
"Rather agree","2003","16-34 y.","West Germany","2386","0.54305162375762","0.528329359596012","0.557773887919227","2"
"Rather agree","2003","35-65 y.","West Germany","5564","0.547673369724407","0.537750573962556","0.557596165486257","2"
"Rather agree","2003","66 and older","West Germany","1562","0.564874673724736","0.546385415556301","0.583363931893172","2"
"Rather agree","2003","66 and older","East Germany","481","0.518498777369817","0.486159077237478","0.550838477502156","2"
"Rather disagree","2003","16-34 y.","West Germany","1508","0.346537526401472","0.332473620880005","0.360601431922938","3"
"Rather disagree","2003","16-34 y.","East Germany","631","0.432459100590572","0.407072939570215","0.45784526161093","3"
"Rather disagree","2003","35-65 y.","East Germany","1166","0.400128952037087","0.38251813214072","0.417739771933455","3"
"Rather disagree","2003","35-65 y.","West Germany","2999","0.331536213752856","0.322150839597707","0.340921587908005","3"
"Rather disagree","2003","66 and older","West Germany","786","0.279102162174986","0.262373750183888","0.295830574166084","3"
"Rather disagree","2003","66 and older","East Germany","333","0.364415001164445","0.333265695847664","0.395564306481225","3"
"Disagree fully","2004","16-34 y.","East Germany","","","","","4"
"Disagree fully","2004","35-65 y.","East Germany","","","","","4"
"Disagree fully","2004","16-34 y.","West Germany","","","","","4"
"Disagree fully","2004","35-65 y.","West Germany","","","","","4"
"Disagree fully","2004","66 and older","West Germany","","","","","4"
"Disagree fully","2004","66 and older","East Germany","","","","","4"
"Fully agree","2004","16-34 y.","West Germany","","","","","1"
"Fully agree","2004","16-34 y.","East Germany","","","","","1"
"Fully agree","2004","35-65 y.","West Germany","","","","","1"
"Fully agree","2004","35-65 y.","East Germany","","","","","1"
"Fully agree","2004","66 and older","West Germany","","","","","1"
"Fully agree","2004","66 and older","East Germany","","","","","1"
"Rather agree","2004","16-34 y.","East Germany","","","","","2"
"Rather agree","2004","16-34 y.","West Germany","","","","","2"
"Rather agree","2004","35-65 y.","East Germany","","","","","2"
"Rather agree","2004","35-65 y.","West Germany","","","","","2"
"Rather agree","2004","66 and older","West Germany","","","","","2"
"Rather agree","2004","66 and older","East Germany","","","","","2"
"Rather disagree","2004","16-34 y.","East Germany","","","","","3"
"Rather disagree","2004","16-34 y.","West Germany","","","","","3"
"Rather disagree","2004","35-65 y.","East Germany","","","","","3"
"Rather disagree","2004","35-65 y.","West Germany","","","","","3"
"Rather disagree","2004","66 and older","West Germany","","","","","3"
"Rather disagree","2004","66 and older","East Germany","","","","","3"
"Disagree fully","2005","16-34 y.","East Germany","","","","","4"
"Disagree fully","2005","16-34 y.","West Germany","","","","","4"
"Disagree fully","2005","35-65 y.","East Germany","","","","","4"
"Disagree fully","2005","35-65 y.","West Germany","","","","","4"
"Disagree fully","2005","66 and older","West Germany","","","","","4"
"Disagree fully","2005","66 and older","East Germany","","","","","4"
"Fully agree","2005","16-34 y.","West Germany","","","","","1"
"Fully agree","2005","16-34 y.","East Germany","","","","","1"
"Fully agree","2005","35-65 y.","West Germany","","","","","1"
"Fully agree","2005","35-65 y.","East Germany","","","","","1"
"Fully agree","2005","66 and older","West Germany","","","","","1"
"Fully agree","2005","66 and older","East Germany","","","","","1"
"Rather agree","2005","16-34 y.","East Germany","","","","","2"
