"plh0192","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","Not Employed","direct migration background","80","0.077397495094301","0.0612344118805714","0.0935605783080306","4"
"Disagree fully","2003","Employed","no migration background","471","0.0487936457716523","0.0449259955847652","0.0526612959585395","4"
"Disagree fully","2003","Not Employed","no migration background","383","0.0610380637296841","0.0553737525790752","0.0667023748802929","4"
"Disagree fully","2003","Not Employed","indirect migration background","13","","","","4"
"Disagree fully","2003","Employed","direct migration background","107","0.0666421083798597","0.0542739213934652","0.0790102953662542","4"
"Disagree fully","2003","Employed","indirect migration background","44","0.0891484861209652","0.0650918728315164","0.113205099410414","4"
"Fully agree","2003","Not Employed","no migration background","506","0.0740596381170872","0.0678637290587239","0.0802555471754505","1"
"Fully agree","2003","Not Employed","direct migration background","87","0.0860403612412192","0.0690787125957726","0.103002009886666","1"
"Fully agree","2003","Not Employed","indirect migration background","24","","","","1"
"Fully agree","2003","Employed","no migration background","655","0.053858216898605","0.0498056305453978","0.0579108032518122","1"
"Fully agree","2003","Employed","direct migration background","109","0.0671339697009501","0.0547234953949248","0.0795444440069754","1"
"Fully agree","2003","Employed","indirect migration background","36","0.0669383551675179","0.0458401070505792","0.0880366032844566","1"
"Rather agree","2003","Employed","no migration background","6795","0.550587718457168","0.541657462447065","0.559517974467271","2"
"Rather agree","2003","Not Employed","direct migration background","537","0.530133244106027","0.499945315062578","0.560321173149475","2"
"Rather agree","2003","Not Employed","no migration background","3697","0.537561571698282","0.525764783015626","0.549358360380938","2"
"Rather agree","2003","Not Employed","indirect migration background","123","0.439858194468176","0.377830466359667","0.501885922576684","2"
"Rather agree","2003","Employed","direct migration background","843","0.528542613169602","0.503787278476915","0.55329794786229","2"
"Rather agree","2003","Employed","indirect migration background","245","0.47714240285894","0.434975721080125","0.519309084637755","2"
"Rather disagree","2003","Not Employed","no migration background","2276","0.327340726454947","0.316238238208861","0.338443214701032","3"
"Rather disagree","2003","Not Employed","direct migration background","346","0.306428899558453","0.278544339517014","0.334313459599893","3"
"Rather disagree","2003","Employed","no migration background","3998","0.346760418872575","0.338216065794282","0.355304771950868","3"
"Rather disagree","2003","Not Employed","indirect migration background","86","0.420861902603871","0.359168118109425","0.482555687098316","3"
"Rather disagree","2003","Employed","direct migration background","503","0.337681308749588","0.314228514521599","0.361134102977577","3"
"Rather disagree","2003","Employed","indirect migration background","214","0.366770755852577","0.326086016285892","0.407455495419263","3"
"Disagree fully","2004","Not Employed","direct migration background","","","","","4"
"Disagree fully","2004","Employed","no migration background","","","","","4"
"Disagree fully","2004","Not Employed","no migration background","","","","","4"
"Disagree fully","2004","Not Employed","indirect migration background","","","","","4"
"Disagree fully","2004","Employed","direct migration background","","","","","4"
"Disagree fully","2004","Employed","indirect migration background","","","","","4"
"Fully agree","2004","Not Employed","no migration background","","","","","1"
"Fully agree","2004","Not Employed","direct migration background","","","","","1"
"Fully agree","2004","Not Employed","indirect migration background","","","","","1"
"Fully agree","2004","Employed","no migration background","","","","","1"
"Fully agree","2004","Employed","direct migration background","","","","","1"
"Fully agree","2004","Employed","indirect migration background","","","","","1"
"Rather agree","2004","Not Employed","direct migration background","","","","","2"
"Rather agree","2004","Not Employed","no migration background","","","","","2"
"Rather agree","2004","Employed","no migration background","","","","","2"
"Rather agree","2004","Not Employed","indirect migration background","","","","","2"
"Rather agree","2004","Employed","direct migration background","","","","","2"
"Rather agree","2004","Employed","indirect migration background","","","","","2"
"Rather disagree","2004","Not Employed","direct migration background","","","","","3"
"Rather disagree","2004","Not Employed","no migration background","","","","","3"
"Rather disagree","2004","Employed","no migration background","","","","","3"
"Rather disagree","2004","Not Employed","indirect migration background","","","","","3"
"Rather disagree","2004","Employed","direct migration background","","","","","3"
"Rather disagree","2004","Employed","indirect migration background","","","","","3"
"Disagree fully","2005","Not Employed","direct migration background","","","","","4"
"Disagree fully","2005","Not Employed","no migration background","","","","","4"
"Disagree fully","2005","Employed","no migration background","","","","","4"
"Disagree fully","2005","Not Employed","indirect migration background","","","","","4"
"Disagree fully","2005","Employed","direct migration background","","","","","4"
"Disagree fully","2005","Employed","indirect migration background","","","","","4"
"Fully agree","2005","Not Employed","no migration background","","","","","1"
"Fully agree","2005","Not Employed","direct migration background","","","","","1"
"Fully agree","2005","Not Employed","indirect migration background","","","","","1"
"Fully agree","2005","Employed","no migration background","","","","","1"
"Fully agree","2005","Employed","direct migration background","","","","","1"
"Fully agree","2005","Employed","indirect migration background","","","","","1"
"Rather agree","2005","Not Employed","direct migration background","","","","","2"
"Rather agree","2005","Not Employed","no migration background","","","","","2"
"Rather agree","2005","Employed","no migration background","","","","","2"
"Rather agree","2005","Not Employed","indirect migration background","","","","","2"
"Rather agree","2005","Employed","direct migration background","","","","","2"
"Rather agree","2005","Employed","indirect migration background","","","","","2"
"Rather disagree","2005","Not Employed","direct migration background","","","","","3"
"Rather disagree","2005","Not Employed","no migration background","","","","","3"
"Rather disagree","2005","Employed","no migration background","","","","","3"
"Rather disagree","2005","Not Employed","indirect migration background","","","","","3"
"Rather disagree","2005","Employed","direct migration background","","","","","3"
"Rather disagree","2005","Employed","indirect migration background","","","","","3"
"Disagree fully","2006","Employed","no migration background","","","","","4"
