"plh0192","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","in school","West Germany","48","0.123609716006756","0.093333942613656","0.153885489399855"
"Fully agree","2003","in school","East Germany","8","","",""
"Fully agree","2003","inadequately","West Germany","19","","",""
"Fully agree","2003","inadequately","East Germany","","","",""
"Fully agree","2003","general elemantary","West Germany","180","0.0811998364877997","0.0701091548275431","0.0922905181480562"
"Fully agree","2003","general elemantary","East Germany","15","","",""
"Fully agree","2003","middle vocational","West Germany","537","0.0638405073382756","0.0585833730191409","0.0690976416574104"
"Fully agree","2003","middle vocational","East Germany","94","0.031505154280879","0.0250523520670777","0.0379579564946803"
"Fully agree","2003","vocational + Abi","West Germany","60","0.0653102887420468","0.0501477285433298","0.0804728489407637"
"Fully agree","2003","vocational + Abi","East Germany","8","","",""
"Fully agree","2003","higher vocational","West Germany","81","0.0657171225363598","0.0518920004336916","0.0795422446390279"
"Fully agree","2003","higher vocational","East Germany","6","","",""
"Fully agree","2003","higher education","West Germany","280","0.0841118583714546","0.0742809119303578","0.0939428048125514"
"Fully agree","2003","higher education","East Germany","57","0.0384516950312698","0.0279709507095675","0.0489324393529722"
"Rather agree","2003","in school","West Germany","254","0.546234027022846","0.500438242550667","0.592029811495024"
"Rather agree","2003","in school","East Germany","100","0.585911567365076","0.510061989297523","0.661761145432629"
"Rather agree","2003","inadequately","West Germany","98","0.391674981045423","0.330048080712788","0.453301881378059"
"Rather agree","2003","inadequately","East Germany","4","","",""
"Rather agree","2003","general elemantary","West Germany","1156","0.488321666046489","0.468025143229256","0.508618188863722"
"Rather agree","2003","general elemantary","East Germany","186","0.457847840063417","0.410028756961809","0.505666923165025"
"Rather agree","2003","middle vocational","West Germany","4578","0.541887672725174","0.531173303444245","0.552602042006104"
"Rather agree","2003","middle vocational","East Germany","1338","0.472871383283246","0.454428080137537","0.491314686428955"
"Rather agree","2003","vocational + Abi","West Germany","617","0.624765965692944","0.595052192907896","0.654479738477991"
"Rather agree","2003","vocational + Abi","East Germany","65","0.498465965494886","0.416516140097742","0.580415790892029"
