"plh0192","year","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","1417","0.0641476202961238","0.0609229831621232","0.0673722574301245"
"Rather agree","2003","12240","0.540690075571177","0.534131432220855","0.547248718921499"
"Rather disagree","2003","7423","0.338336165453164","0.332109151890381","0.344563179015948"
"Disagree fully","2003","1098","0.0568261386795353","0.0537792481347596","0.0598730292243111"
"Fully agree","2004","","","",""
"Rather agree","2004","","","",""
"Rather disagree","2004","","","",""
"Disagree fully","2004","","","",""
"Fully agree","2005","","","",""
"Rather agree","2005","","","",""
"Rather disagree","2005","","","",""
"Disagree fully","2005","","","",""
"Fully agree","2006","","","",""
"Rather agree","2006","","","",""
"Rather disagree","2006","","","",""
"Disagree fully","2006","","","",""
"Fully agree","2007","","","",""
"Rather agree","2007","","","",""
"Rather disagree","2007","","","",""
"Disagree fully","2007","","","",""
"Fully agree","2008","1127","0.0557989604699014","0.0525667014800849","0.0590312194597178"
"Rather agree","2008","10784","0.53397723762746","0.526952569716557","0.541001905538364"
"Rather disagree","2008","6545","0.358174414363116","0.351422659693913","0.364926169032319"
"Disagree fully","2008","916","0.0520493875395225","0.0489214251076002","0.0551773499714448"
"Fully agree","2009","","","",""
"Rather agree","2009","","","",""
"Rather disagree","2009","","","",""
"Disagree fully","2009","","","",""
"Fully agree","2010","","","",""
"Rather agree","2010","","","",""
"Rather disagree","2010","","","",""
"Disagree fully","2010","","","",""
"Fully agree","2011","","","",""
"Rather agree","2011","","","",""
"Rather disagree","2011","","","",""
"Disagree fully","2011","","","",""
"Fully agree","2012","","","",""
"Rather agree","2012","","","",""
"Rather disagree","2012","","","",""
"Disagree fully","2012","","","",""
"Fully agree","2013","1765","0.0666524449766447","0.0635928712071572","0.0697120187461323"
"Rather agree","2013","15411","0.591991829010698","0.585963131748188","0.598020526273208"
"Rather disagree","2013","7418","0.302720073426717","0.297084275917197","0.308355870936238"
"Disagree fully","2013","935","0.0386356525859403","0.0362715336503832","0.0409997715214974"
"Fully agree","2014","","","",""
"Rather agree","2014","","","",""
"Rather disagree","2014","","","",""
"Disagree fully","2014","","","",""
"Fully agree","2015","","","",""
"Rather agree","2015","","","",""
"Rather disagree","2015","","","",""
"Disagree fully","2015","","","",""
"Fully agree","2016","","","",""
"Rather agree","2016","","","",""
"Rather disagree","2016","","","",""
"Disagree fully","2016","","","",""
"Fully agree","2017","","","",""
"Rather agree","2017","","","",""
"Rather disagree","2017","","","",""
"Disagree fully","2017","","","",""
"Fully agree","2018","2745","0.0728282310899626","0.0698626905094016","0.0757937716705236"
"Rather agree","2018","17545","0.606844948388777","0.601270592511668","0.612419304265885"
"Rather disagree","2018","7654","0.28067884814296","0.27555094103794","0.28580675524798"
"Disagree fully","2018","1551","0.0396479723783008","0.0374210780423248","0.0418748667142767"
