"plh0192","year","e11103","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Full Time","483","0.0492030816789733","0.0447089900264783","0.0536971733314683"
"Fully agree","2003","Part Time","317","0.0676516471624763","0.0607737354702412","0.0745295588547114"
"Fully agree","2003","Not Working","617","0.0758558757607286","0.0701104699781429","0.0816012815433143"
"Rather agree","2003","Full Time","5036","0.547833680899876","0.537492375600394","0.558174986199358"
"Rather agree","2003","Part Time","2847","0.540691704359189","0.527044135261129","0.55433927345725"
"Rather agree","2003","Not Working","4357","0.534206073726898","0.523381580777417","0.54503056667638"
"Rather disagree","2003","Full Time","2982","0.349407124382189","0.339500574745885","0.359313674018493"
"Rather disagree","2003","Part Time","1733","0.341029242447996","0.328046776698531","0.354011708197462"
"Rather disagree","2003","Not Working","2708","0.326863410968033","0.316684741924918","0.337042080011149"
"Disagree fully","2003","Full Time","397","0.0535561130389616","0.048878181622133","0.0582340444557902"
"Disagree fully","2003","Part Time","225","0.0506274060303381","0.0446234225676894","0.0566313894929868"
"Disagree fully","2003","Not Working","476","0.0630746395443401","0.0577994735956656","0.0683498054930146"
"Fully agree","2004","Full Time","","","",""
"Fully agree","2004","Part Time","","","",""
"Fully agree","2004","Not Working","","","",""
"Rather agree","2004","Full Time","","","",""
"Rather agree","2004","Part Time","","","",""
"Rather agree","2004","Not Working","","","",""
"Rather disagree","2004","Full Time","","","",""
"Rather disagree","2004","Part Time","","","",""
"Rather disagree","2004","Not Working","","","",""
"Disagree fully","2004","Full Time","","","",""
"Disagree fully","2004","Part Time","","","",""
"Disagree fully","2004","Not Working","","","",""
"Fully agree","2005","Full Time","","","",""
"Fully agree","2005","Part Time","","","",""
"Fully agree","2005","Not Working","","","",""
"Rather agree","2005","Full Time","","","",""
"Rather agree","2005","Part Time","","","",""
"Rather agree","2005","Not Working","","","",""
"Rather disagree","2005","Full Time","","","",""
"Rather disagree","2005","Part Time","","","",""
"Rather disagree","2005","Not Working","","","",""
"Disagree fully","2005","Full Time","","","",""
