"plh0192","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","Schleswig-Holstein","Employed","17","","","","4"
"Disagree fully","2003","Hamburg","Not Employed","4","","","","4"
"Disagree fully","2003","Hamburg","Employed","5","","","","4"
"Disagree fully","2003","Schleswig-Holstein","Not Employed","8","","","","4"
"Disagree fully","2003","Lower Saxony","Not Employed","57","0.0859129697365786","0.06528539769254","0.106540541780617","4"
"Disagree fully","2003","Lower Saxony","Employed","50","0.0586133816545261","0.0453118368551107","0.0719149264539416","4"
"Disagree fully","2003","Bremen","Not Employed","8","","","","4"
"Disagree fully","2003","Bremen","Employed","4","","","","4"
"Disagree fully","2003","North Rhine-Westphalia","Not Employed","101","0.054336256997692","0.0437339820243209","0.0649385319710631","4"
"Disagree fully","2003","North Rhine-Westphalia","Employed","144","0.0551627118381923","0.0468579747238331","0.0634674489525514","4"
"Disagree fully","2003","Hesse","Not Employed","39","0.102538037643315","0.0754844384307772","0.129591636855852","4"
"Disagree fully","2003","Hesse","Employed","44","0.0424143720044396","0.0300283186978182","0.0548004253110611","4"
"Disagree fully","2003","Rhineland-Palatinate,Saarland","Not Employed","28","","","","4"
"Disagree fully","2003","Rhineland-Palatinate,Saarland","Employed","43","0.056746102555177","0.04072419740231","0.0727680077080439","4"
"Disagree fully","2003","Baden-Württemberg","Not Employed","42","0.0456470651856448","0.0320412423168461","0.0592528880544436","4"
"Disagree fully","2003","Baden-Württemberg","Employed","68","0.0423151136237936","0.0330050210922604","0.0516252061553269","4"
"Disagree fully","2003","Bavaria","Not Employed","31","0.0347762950909927","0.023641375962621","0.0459112142193644","4"
"Disagree fully","2003","Bavaria","Employed","84","0.0597464178484072","0.0495752839125109","0.0699175517843035","4"
"Disagree fully","2003","Berlin","Employed","25","","","","4"
"Disagree fully","2003","Berlin","Not Employed","10","","","","4"
"Disagree fully","2003","Brandenburg","Not Employed","34","0.0926242866851421","0.0641428056649584","0.121105767705326","4"
"Disagree fully","2003","Brandenburg","Employed","27","","","","4"
"Disagree fully","2003","Mecklenburg-Western Pomerania","Not Employed","16","","","","4"
"Disagree fully","2003","Mecklenburg-Western Pomerania","Employed","16","","","","4"
