"plh0192","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","Employed","Rural Area","195","0.0541067982013068","0.0475427792498949","0.0606708171527186","4"
"Disagree fully","2003","Not Employed","Urban Area","308","0.0619703607997666","0.0555451128279831","0.06839560877155","4"
"Disagree fully","2003","Not Employed","Rural Area","168","0.0655199604235421","0.0562701560258079","0.0747697648212763","4"
"Disagree fully","2003","Employed","Urban Area","427","0.0517519279603309","0.0472871933651726","0.0562166625554893","4"
"Fully agree","2003","Not Employed","Urban Area","440","0.080158753381139","0.0729223708346277","0.0873951359276503","1"
"Fully agree","2003","Not Employed","Rural Area","177","0.0663275600727324","0.0570249460548936","0.0756301740905712","1"
"Fully agree","2003","Employed","Urban Area","583","0.060507674006476","0.055702343712562","0.06531300430039","1"
"Fully agree","2003","Employed","Rural Area","217","0.0458698029823643","0.03979978308768","0.0519398228770486","1"
"Rather agree","2003","Employed","Rural Area","2448","0.532423223342872","0.51794624855116","0.546900198134584","2"
"Rather agree","2003","Not Employed","Urban Area","2914","0.536011736018852","0.52272157485332","0.549301897184384","2"
"Rather agree","2003","Not Employed","Rural Area","1443","0.530207605292185","0.511550825372475","0.548864385211894","2"
"Rather agree","2003","Employed","Urban Area","5435","0.550891500394849","0.540866599923388","0.56091640086631","2"
"Rather disagree","2003","Not Employed","Urban Area","1747","0.321859149800243","0.309408773338463","0.334309526262022","3"
"Rather disagree","2003","Not Employed","Rural Area","961","0.337944874211541","0.320262900966753","0.355626847456329","3"
"Rather disagree","2003","Employed","Urban Area","3012","0.336848897638344","0.327323234709905","0.346374560566784","3"
"Rather disagree","2003","Employed","Rural Area","1703","0.367600175473457","0.353610534080903","0.381589816866011","3"
"Disagree fully","2004","Not Employed","Urban Area","","","","","4"
"Disagree fully","2004","Not Employed","Rural Area","","","","","4"
"Disagree fully","2004","Employed","Urban Area","","","","","4"
"Disagree fully","2004","Employed","Rural Area","","","","","4"
"Fully agree","2004","Not Employed","Rural Area","","","","","1"
"Fully agree","2004","Employed","Urban Area","","","","","1"
"Fully agree","2004","Employed","Rural Area","","","","","1"
"Fully agree","2004","Not Employed","Urban Area","","","","","1"
"Rather agree","2004","Not Employed","Urban Area","","","","","2"
"Rather agree","2004","Not Employed","Rural Area","","","","","2"
"Rather agree","2004","Employed","Urban Area","","","","","2"
"Rather agree","2004","Employed","Rural Area","","","","","2"
"Rather disagree","2004","Not Employed","Rural Area","","","","","3"
"Rather disagree","2004","Employed","Urban Area","","","","","3"
"Rather disagree","2004","Employed","Rural Area","","","","","3"
"Rather disagree","2004","Not Employed","Urban Area","","","","","3"
"Disagree fully","2005","Not Employed","Rural Area","","","","","4"
"Disagree fully","2005","Employed","Urban Area","","","","","4"
"Disagree fully","2005","Employed","Rural Area","","","","","4"
"Disagree fully","2005","Not Employed","Urban Area","","","","","4"
"Fully agree","2005","Not Employed","Rural Area","","","","","1"
"Fully agree","2005","Not Employed","Urban Area","","","","","1"
"Fully agree","2005","Employed","Urban Area","","","","","1"
"Fully agree","2005","Employed","Rural Area","","","","","1"
"Rather agree","2005","Not Employed","Rural Area","","","","","2"
"Rather agree","2005","Employed","Urban Area","","","","","2"
"Rather agree","2005","Employed","Rural Area","","","","","2"
"Rather agree","2005","Not Employed","Urban Area","","","","","2"
"Rather disagree","2005","Not Employed","Rural Area","","","","","3"
"Rather disagree","2005","Not Employed","Urban Area","","","","","3"
"Rather disagree","2005","Employed","Urban Area","","","","","3"
"Rather disagree","2005","Employed","Rural Area","","","","","3"
"Disagree fully","2006","Not Employed","Rural Area","","","","","4"
"Disagree fully","2006","Employed","Urban Area","","","","","4"
"Disagree fully","2006","Employed","Rural Area","","","","","4"
"Disagree fully","2006","Not Employed","Urban Area","","","","","4"
"Fully agree","2006","Not Employed","Urban Area","","","","","1"
"Fully agree","2006","Not Employed","Rural Area","","","","","1"
"Fully agree","2006","Employed","Urban Area","","","","","1"
"Fully agree","2006","Employed","Rural Area","","","","","1"
"Rather agree","2006","Not Employed","Rural Area","","","","","2"
"Rather agree","2006","Employed","Urban Area","","","","","2"
"Rather agree","2006","Employed","Rural Area","","","","","2"
"Rather agree","2006","Not Employed","Urban Area","","","","","2"
"Rather disagree","2006","Not Employed","Urban Area","","","","","3"
"Rather disagree","2006","Not Employed","Rural Area","","","","","3"
"Rather disagree","2006","Employed","Urban Area","","","","","3"
"Rather disagree","2006","Employed","Rural Area","","","","","3"
"Disagree fully","2007","Not Employed","Urban Area","","","","","4"
"Disagree fully","2007","Not Employed","Rural Area","","","","","4"
"Disagree fully","2007","Employed","Urban Area","","","","","4"
"Disagree fully","2007","Employed","Rural Area","","","","","4"
"Fully agree","2007","Not Employed","Rural Area","","","","","1"
