"plh0192","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Full Time","West Germany","415","0.0544028755322187","0.0489731549565539","0.0598325961078835"
"Fully agree","2003","Full Time","East Germany","68","0.0253348532532577","0.0187610342358885","0.0319086722706269"
"Fully agree","2003","Part Time","West Germany","284","0.0753468239582803","0.067261525052547","0.0834321228640136"
"Fully agree","2003","Part Time","East Germany","33","0.0280922018102101","0.0179913742516233","0.0381930293687969"
"Fully agree","2003","Not Working","West Germany","528","0.0855879477310012","0.0785257683202569","0.0926501271417456"
"Fully agree","2003","Not Working","East Germany","89","0.0390172909295184","0.0307940193760597","0.0472405624829771"
"Rather agree","2003","Full Time","West Germany","3888","0.557250933345483","0.545359951644627","0.569141915046338"
"Rather agree","2003","Full Time","East Germany","1148","0.504606364806552","0.483690183292823","0.52552254632028"
"Rather agree","2003","Part Time","West Germany","2333","0.548899311830515","0.533656774763477","0.564141848897553"
"Rather agree","2003","Part Time","East Germany","514","0.498497950030918","0.467933289378649","0.529062610683186"
"Rather agree","2003","Not Working","West Germany","3291","0.544242678672817","0.531670093283459","0.556815264062174"
"Rather agree","2003","Not Working","East Germany","1066","0.49621474733238","0.474981527896408","0.517447966768352"
"Rather disagree","2003","Full Time","West Germany","2106","0.334095372522958","0.322803792207582","0.345386952838334"
"Rather disagree","2003","Full Time","East Germany","876","0.41969152435814","0.399046025323082","0.440337023393198"
"Rather disagree","2003","Part Time","West Germany","1303","0.328810073971585","0.314419787355086","0.343200360588084"
"Rather disagree","2003","Part Time","East Germany","430","0.403845671546324","0.373851380541541","0.433839962551106"
"Rather disagree","2003","Not Working","West Germany","1884","0.312077569708621","0.300380893118765","0.323774246298476"
"Rather disagree","2003","Not Working","East Germany","824","0.382831910707809","0.362189325489821","0.403474495925796"
"Disagree fully","2003","Full Time","West Germany","294","0.0542508185993404","0.0488282554769122","0.0596733817217685"
"Disagree fully","2003","Full Time","East Germany","103","0.0503672575820505","0.0412180639024924","0.0595164512616085"
"Disagree fully","2003","Part Time","West Germany","174","0.0469437902396192","0.0404645735394073","0.0534230069398311"
"Disagree fully","2003","Part Time","East Germany","51","0.0695641766125485","0.054012129265245","0.085116223959852"
"Disagree fully","2003","Not Working","West Germany","325","0.0580918038875614","0.0521867592014537","0.0639968485736691"
"Disagree fully","2003","Not Working","East Germany","151","0.081936051030293","0.0702885630594473","0.0935835390011386"
"Fully agree","2004","Full Time","West Germany","","","",""
"Fully agree","2004","Full Time","East Germany","","","",""
"Fully agree","2004","Part Time","West Germany","","","",""
"Fully agree","2004","Part Time","East Germany","","","",""
"Fully agree","2004","Not Working","West Germany","","","",""
"Fully agree","2004","Not Working","East Germany","","","",""
"Rather agree","2004","Full Time","West Germany","","","",""
"Rather agree","2004","Full Time","East Germany","","","",""
"Rather agree","2004","Part Time","West Germany","","","",""
"Rather agree","2004","Part Time","East Germany","","","",""
"Rather agree","2004","Not Working","West Germany","","","",""
"Rather agree","2004","Not Working","East Germany","","","",""
"Rather disagree","2004","Full Time","West Germany","","","",""
"Rather disagree","2004","Full Time","East Germany","","","",""
