"plh0192","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","no migration background","Female","401","0.0495161698240187","0.0452044634845224","0.053827876163515","4"
"Disagree fully","2003","direct migration background","Female","87","0.0590035905349255","0.046457406700099","0.071549774369752","4"
"Disagree fully","2003","no migration background","Male","453","0.0584154916913693","0.0535851978094283","0.0632457855733102","4"
"Disagree fully","2003","direct migration background","Male","100","0.0841422260070161","0.0687960042754231","0.0994884477386092","4"
"Disagree fully","2003","indirect migration background","Male","28","","","","4"
"Disagree fully","2003","indirect migration background","Female","29","","","","4"
"Fully agree","2003","no migration background","Male","554","0.059001617484259","0.0541486622927943","0.0638545726757237","1"
"Fully agree","2003","no migration background","Female","607","0.0651856465030608","0.0602794836414639","0.0700918093646578","1"
"Fully agree","2003","direct migration background","Male","91","0.0709248764558316","0.056734132567878","0.0851156203437852","1"
"Fully agree","2003","direct migration background","Female","105","0.0789726555199371","0.0646127006043934","0.0933326104354807","1"
"Fully agree","2003","indirect migration background","Male","31","0.0681849835547601","0.0426731495966107","0.0936968175129095","1"
"Fully agree","2003","indirect migration background","Female","29","","","","1"
"Rather agree","2003","direct migration background","Female","732","0.539276208189136","0.512735995826101","0.565816420552172","2"
"Rather agree","2003","no migration background","Female","5368","0.534124619996823","0.52421037916309","0.544038860830556","2"
"Rather agree","2003","no migration background","Male","5124","0.556968612543883","0.546737744275075","0.567199480812692","2"
"Rather agree","2003","direct migration background","Male","648","0.518466604681445","0.490844672666184","0.546088536696706","2"
"Rather agree","2003","indirect migration background","Male","169","0.467872821164821","0.417371343381477","0.518374298948166","2"
"Rather agree","2003","indirect migration background","Female","199","0.46240100866501","0.414140180340619","0.510661836989401","2"
"Rather disagree","2003","no migration background","Male","2925","0.325614278280489","0.315962978895067","0.335265577665911","3"
"Rather disagree","2003","no migration background","Female","3349","0.351173563676098","0.341686573260384","0.360660554091812","3"
"Rather disagree","2003","direct migration background","Female","431","0.322747545756001","0.297854088793565","0.347641002718437","3"
"Rather disagree","2003","direct migration background","Male","418","0.326466292855707","0.300543648984247","0.352388936727167","3"
"Rather disagree","2003","indirect migration background","Male","147","0.383893054586626","0.334670331389004","0.433115777784247","3"
"Rather disagree","2003","indirect migration background","Female","153","0.38465009481028","0.337557767531986","0.431742422088574","3"
"Disagree fully","2004","no migration background","Female","","","","","4"
"Disagree fully","2004","direct migration background","Female","","","","","4"
"Disagree fully","2004","no migration background","Male","","","","","4"
"Disagree fully","2004","direct migration background","Male","","","","","4"
"Disagree fully","2004","indirect migration background","Male","","","","","4"
"Disagree fully","2004","indirect migration background","Female","","","","","4"
"Fully agree","2004","no migration background","Male","","","","","1"
"Fully agree","2004","no migration background","Female","","","","","1"
"Fully agree","2004","direct migration background","Male","","","","","1"
"Fully agree","2004","direct migration background","Female","","","","","1"
"Fully agree","2004","indirect migration background","Male","","","","","1"
"Fully agree","2004","indirect migration background","Female","","","","","1"
"Rather agree","2004","no migration background","Female","","","","","2"
"Rather agree","2004","no migration background","Male","","","","","2"
"Rather agree","2004","direct migration background","Female","","","","","2"
"Rather agree","2004","direct migration background","Male","","","","","2"
"Rather agree","2004","indirect migration background","Male","","","","","2"
"Rather agree","2004","indirect migration background","Female","","","","","2"
"Rather disagree","2004","no migration background","Female","","","","","3"
"Rather disagree","2004","no migration background","Male","","","","","3"
"Rather disagree","2004","direct migration background","Female","","","","","3"
"Rather disagree","2004","direct migration background","Male","","","","","3"
"Rather disagree","2004","indirect migration background","Male","","","","","3"
"Rather disagree","2004","indirect migration background","Female","","","","","3"
"Disagree fully","2005","no migration background","Female","","","","","4"
"Disagree fully","2005","no migration background","Male","","","","","4"
"Disagree fully","2005","direct migration background","Female","","","","","4"
"Disagree fully","2005","direct migration background","Male","","","","","4"
"Disagree fully","2005","indirect migration background","Male","","","","","4"
"Disagree fully","2005","indirect migration background","Female","","","","","4"
"Fully agree","2005","no migration background","Male","","","","","1"
"Fully agree","2005","no migration background","Female","","","","","1"
"Fully agree","2005","direct migration background","Male","","","","","1"
"Fully agree","2005","direct migration background","Female","","","","","1"
"Fully agree","2005","indirect migration background","Male","","","","","1"
"Fully agree","2005","indirect migration background","Female","","","","","1"
"Rather agree","2005","no migration background","Female","","","","","2"
"Rather agree","2005","no migration background","Male","","","","","2"
"Rather agree","2005","direct migration background","Female","","","","","2"
"Rather agree","2005","direct migration background","Male","","","","","2"
"Rather agree","2005","indirect migration background","Male","","","","","2"
"Rather agree","2005","indirect migration background","Female","","","","","2"
"Rather disagree","2005","no migration background","Female","","","","","3"
"Rather disagree","2005","no migration background","Male","","","","","3"
"Rather disagree","2005","direct migration background","Female","","","","","3"
"Rather disagree","2005","direct migration background","Male","","","","","3"
"Rather disagree","2005","indirect migration background","Male","","","","","3"
"Rather disagree","2005","indirect migration background","Female","","","","","3"
"Disagree fully","2006","direct migration background","Female","","","","","4"
"Disagree fully","2006","no migration background","Male","","","","","4"
"Disagree fully","2006","no migration background","Female","","","","","4"
"Disagree fully","2006","direct migration background","Male","","","","","4"
"Disagree fully","2006","indirect migration background","Male","","","","","4"
"Disagree fully","2006","indirect migration background","Female","","","","","4"
"Fully agree","2006","no migration background","Male","","","","","1"
"Fully agree","2006","no migration background","Female","","","","","1"
"Fully agree","2006","direct migration background","Male","","","","","1"
"Fully agree","2006","direct migration background","Female","","","","","1"
"Fully agree","2006","indirect migration background","Male","","","","","1"
"Fully agree","2006","indirect migration background","Female","","","","","1"
"Rather agree","2006","no migration background","Female","","","","","2"
"Rather agree","2006","no migration background","Male","","","","","2"
"Rather agree","2006","direct migration background","Male","","","","","2"
"Rather agree","2006","direct migration background","Female","","","","","2"
"Rather agree","2006","indirect migration background","Male","","","","","2"
"Rather agree","2006","indirect migration background","Female","","","","","2"
"Rather disagree","2006","no migration background","Female","","","","","3"
"Rather disagree","2006","no migration background","Male","","","","","3"
"Rather disagree","2006","direct migration background","Female","","","","","3"
"Rather disagree","2006","direct migration background","Male","","","","","3"
"Rather disagree","2006","indirect migration background","Male","","","","","3"
"Rather disagree","2006","indirect migration background","Female","","","","","3"
"Disagree fully","2007","no migration background","Female","","","","","4"
"Disagree fully","2007","direct migration background","Female","","","","","4"
"Disagree fully","2007","no migration background","Male","","","","","4"
"Disagree fully","2007","direct migration background","Male","","","","","4"
"Disagree fully","2007","indirect migration background","Male","","","","","4"
"Disagree fully","2007","indirect migration background","Female","","","","","4"
"Fully agree","2007","no migration background","Male","","","","","1"
"Fully agree","2007","no migration background","Female","","","","","1"
"Fully agree","2007","direct migration background","Male","","","","","1"
"Fully agree","2007","direct migration background","Female","","","","","1"
"Fully agree","2007","indirect migration background","Male","","","","","1"
"Fully agree","2007","indirect migration background","Female","","","","","1"
"Rather agree","2007","no migration background","Female","","","","","2"
"Rather agree","2007","no migration background","Male","","","","","2"
"Rather agree","2007","direct migration background","Female","","","","","2"
"Rather agree","2007","direct migration background","Male","","","","","2"
"Rather agree","2007","indirect migration background","Male","","","","","2"
"Rather agree","2007","indirect migration background","Female","","","","","2"
"Rather disagree","2007","no migration background","Female","","","","","3"
"Rather disagree","2007","no migration background","Male","","","","","3"
"Rather disagree","2007","direct migration background","Female","","","","","3"
"Rather disagree","2007","direct migration background","Male","","","","","3"
"Rather disagree","2007","indirect migration background","Male","","","","","3"
"Rather disagree","2007","indirect migration background","Female","","","","","3"
"Disagree fully","2008","direct migration background","Female","70","0.0629451752650815","0.048070008721452","0.0778203418087111","4"
"Disagree fully","2008","no migration background","Male","389","0.0556067532527661","0.0505775901112099","0.0606359163943222","4"
"Disagree fully","2008","no migration background","Female","336","0.0381119749906765","0.0340933004550489","0.0421306495263042","4"
"Disagree fully","2008","direct migration background","Male","71","0.0978638622995576","0.0782323403099548","0.11749538428916","4"
"Disagree fully","2008","indirect migration background","Male","19","","","","4"
"Disagree fully","2008","indirect migration background","Female","31","0.103395946931451","0.0735579131220294","0.133233980740873","4"
"Fully agree","2008","no migration background","Male","433","0.0476806814336623","0.0430042126212938","0.0523571502460307","1"
"Fully agree","2008","no migration background","Female","519","0.0584287613281815","0.0535057619567645","0.0633517606995986","1"
"Fully agree","2008","direct migration background","Male","48","0.0626671865122517","0.0466541474186873","0.0786802256058161","1"
"Fully agree","2008","direct migration background","Female","77","0.0813182869872958","0.0645775428342213","0.0980590311403703","1"
"Fully agree","2008","indirect migration background","Male","26","","","","1"
"Fully agree","2008","indirect migration background","Female","24","","","","1"
"Rather agree","2008","no migration background","Female","4995","0.547815783306828","0.537369427388888","0.558262139224768","2"
"Rather agree","2008","no migration background","Male","4450","0.544489882458073","0.533560403976505","0.555419360939641","2"
"Rather agree","2008","direct migration background","Male","433","0.444586390998351","0.41175471179388","0.477418070202823","2"
"Rather agree","2008","direct migration background","Female","525","0.494589695425514","0.463967051059593","0.525212339791435","2"
"Rather agree","2008","indirect migration background","Male","190","0.536336853729648","0.485661506869133","0.587012200590163","2"
"Rather agree","2008","indirect migration background","Female","191","0.441068569969229","0.392410999869991","0.489726140068468","2"
"Rather disagree","2008","no migration background","Female","2870","0.355643480374314","0.345595925472853","0.365691035275775","3"
"Rather disagree","2008","no migration background","Male","2704","0.352222682855499","0.341739888963239","0.362705476747758","3"
"Rather disagree","2008","direct migration background","Female","352","0.361146842322108","0.331726986059469","0.390566698584748","3"
"Rather disagree","2008","direct migration background","Male","328","0.394882560189839","0.362585680428281","0.427179439951398","3"
"Rather disagree","2008","indirect migration background","Male","137","0.365934774060391","0.316985593055622","0.41488395506516","3"
"Rather disagree","2008","indirect migration background","Female","154","0.395741285569867","0.347819252261707","0.443663318878028","3"
"Disagree fully","2009","no migration background","Male","","","","","4"
"Disagree fully","2009","direct migration background","Female","","","","","4"
"Disagree fully","2009","indirect migration background","Male","","","","","4"
"Disagree fully","2009","no migration background","Female","","","","","4"
"Disagree fully","2009","direct migration background","Male","","","","","4"
"Disagree fully","2009","indirect migration background","Female","","","","","4"
"Fully agree","2009","no migration background","Male","","","","","1"
"Fully agree","2009","direct migration background","Female","","","","","1"
"Fully agree","2009","indirect migration background","Male","","","","","1"
"Fully agree","2009","no migration background","Female","","","","","1"
"Fully agree","2009","direct migration background","Male","","","","","1"
"Fully agree","2009","indirect migration background","Female","","","","","1"
"Rather agree","2009","no migration background","Male","","","","","2"
"Rather agree","2009","no migration background","Female","","","","","2"
"Rather agree","2009","direct migration background","Female","","","","","2"
"Rather agree","2009","direct migration background","Male","","","","","2"
"Rather agree","2009","indirect migration background","Female","","","","","2"
"Rather agree","2009","indirect migration background","Male","","","","","2"
"Rather disagree","2009","no migration background","Female","","","","","3"
"Rather disagree","2009","no migration background","Male","","","","","3"
"Rather disagree","2009","direct migration background","Female","","","","","3"
"Rather disagree","2009","direct migration background","Male","","","","","3"
"Rather disagree","2009","indirect migration background","Male","","","","","3"
"Rather disagree","2009","indirect migration background","Female","","","","","3"
"Disagree fully","2010","no migration background","Male","","","","","4"
"Disagree fully","2010","direct migration background","Female","","","","","4"
"Disagree fully","2010","no migration background","Female","","","","","4"
"Disagree fully","2010","direct migration background","Male","","","","","4"
"Disagree fully","2010","indirect migration background","Male","","","","","4"
"Disagree fully","2010","indirect migration background","Female","","","","","4"
"Fully agree","2010","no migration background","Male","","","","","1"
"Fully agree","2010","no migration background","Female","","","","","1"
"Fully agree","2010","direct migration background","Male","","","","","1"
"Fully agree","2010","direct migration background","Female","","","","","1"
"Fully agree","2010","indirect migration background","Male","","","","","1"
"Fully agree","2010","indirect migration background","Female","","","","","1"
"Rather agree","2010","no migration background","Male","","","","","2"
"Rather agree","2010","no migration background","Female","","","","","2"
"Rather agree","2010","direct migration background","Male","","","","","2"
"Rather agree","2010","direct migration background","Female","","","","","2"
"Rather agree","2010","indirect migration background","Male","","","","","2"
"Rather agree","2010","indirect migration background","Female","","","","","2"
"Rather disagree","2010","no migration background","Female","","","","","3"
"Rather disagree","2010","no migration background","Male","","","","","3"
"Rather disagree","2010","direct migration background","Female","","","","","3"
"Rather disagree","2010","direct migration background","Male","","","","","3"
"Rather disagree","2010","indirect migration background","Male","","","","","3"
"Rather disagree","2010","indirect migration background","Female","","","","","3"
"Disagree fully","2011","no migration background","Male","","","","","4"
"Disagree fully","2011","no migration background","Female","","","","","4"
"Disagree fully","2011","direct migration background","Male","","","","","4"
"Disagree fully","2011","direct migration background","Female","","","","","4"
"Disagree fully","2011","indirect migration background","Male","","","","","4"
"Disagree fully","2011","indirect migration background","Female","","","","","4"
"Fully agree","2011","no migration background","Male","","","","","1"
"Fully agree","2011","no migration background","Female","","","","","1"
"Fully agree","2011","direct migration background","Female","","","","","1"
"Fully agree","2011","indirect migration background","Male","","","","","1"
"Fully agree","2011","direct migration background","Male","","","","","1"
"Fully agree","2011","indirect migration background","Female","","","","","1"
"Rather agree","2011","no migration background","Male","","","","","2"
"Rather agree","2011","no migration background","Female","","","","","2"
"Rather agree","2011","direct migration background","Female","","","","","2"
"Rather agree","2011","direct migration background","Male","","","","","2"
"Rather agree","2011","indirect migration background","Female","","","","","2"
"Rather agree","2011","indirect migration background","Male","","","","","2"
"Rather disagree","2011","no migration background","Male","","","","","3"
"Rather disagree","2011","no migration background","Female","","","","","3"
"Rather disagree","2011","direct migration background","Male","","","","","3"
"Rather disagree","2011","direct migration background","Female","","","","","3"
"Rather disagree","2011","indirect migration background","Male","","","","","3"
"Rather disagree","2011","indirect migration background","Female","","","","","3"
"Disagree fully","2012","no migration background","Male","","","","","4"
"Disagree fully","2012","direct migration background","Female","","","","","4"
"Disagree fully","2012","indirect migration background","Male","","","","","4"
"Disagree fully","2012","no migration background","Female","","","","","4"
"Disagree fully","2012","direct migration background","Male","","","","","4"
"Disagree fully","2012","indirect migration background","Female","","","","","4"
"Fully agree","2012","no migration background","Male","","","","","1"
"Fully agree","2012","direct migration background","Female","","","","","1"
"Fully agree","2012","indirect migration background","Male","","","","","1"
"Fully agree","2012","no migration background","Female","","","","","1"
"Fully agree","2012","direct migration background","Male","","","","","1"
"Fully agree","2012","indirect migration background","Female","","","","","1"
"Rather agree","2012","no migration background","Male","","","","","2"
