"plh0192","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","16-34 y.","275","0.0509080944973672","0.0452806685872308","0.0565355204075036","4"
"Disagree fully","2003","35-65 y.","640","0.0607519111291244","0.0565872559613118","0.0649165662969371","4"
"Disagree fully","2003","66 and older","183","0.0538126413545065","0.0465211910087604","0.0611040917002526","4"
"Fully agree","2003","16-34 y.","335","0.0533390944732014","0.0475862548004586","0.0590919341459442","1"
"Fully agree","2003","35-65 y.","748","0.0569739248752392","0.0529327389152772","0.0610151108352012","1"
"Fully agree","2003","66 and older","334","0.0944142359914909","0.0849656519125842","0.103862820070398","1"
"Rather agree","2003","16-34 y.","3112","0.533141837907418","0.520369332632223","0.545914343182613","2"
"Rather agree","2003","35-65 y.","7085","0.538181703488166","0.529489919039927","0.546873487936406","2"
"Rather agree","2003","66 and older","2043","0.555588896208424","0.539532339163759","0.57164545325309","2"
"Rather disagree","2003","16-34 y.","2139","0.362610973122014","0.350303043825904","0.374918902418123","3"
"Rather disagree","2003","35-65 y.","4165","0.34409246050747","0.335809839197448","0.352375081817493","3"
"Rather disagree","2003","66 and older","1119","0.296184226445578","0.281430774106611","0.310937678784545","3"
"Disagree fully","2004","16-34 y.","","","","","4"
"Disagree fully","2004","35-65 y.","","","","","4"
"Disagree fully","2004","66 and older","","","","","4"
"Fully agree","2004","16-34 y.","","","","","1"
"Fully agree","2004","35-65 y.","","","","","1"
"Fully agree","2004","66 and older","","","","","1"
"Rather agree","2004","16-34 y.","","","","","2"
"Rather agree","2004","35-65 y.","","","","","2"
"Rather agree","2004","66 and older","","","","","2"
"Rather disagree","2004","16-34 y.","","","","","3"
"Rather disagree","2004","35-65 y.","","","","","3"
"Rather disagree","2004","66 and older","","","","","3"
"Disagree fully","2005","16-34 y.","","","","","4"
"Disagree fully","2005","35-65 y.","","","","","4"
"Disagree fully","2005","66 and older","","","","","4"
"Fully agree","2005","16-34 y.","","","","","1"
"Fully agree","2005","35-65 y.","","","","","1"
"Fully agree","2005","66 and older","","","","","1"
"Rather agree","2005","16-34 y.","","","","","2"
"Rather agree","2005","35-65 y.","","","","","2"
"Rather agree","2005","66 and older","","","","","2"
"Rather disagree","2005","16-34 y.","","","","","3"
"Rather disagree","2005","35-65 y.","","","","","3"
"Rather disagree","2005","66 and older","","","","","3"
"Disagree fully","2006","16-34 y.","","","","","4"
"Disagree fully","2006","35-65 y.","","","","","4"
"Disagree fully","2006","66 and older","","","","","4"
"Fully agree","2006","16-34 y.","","","","","1"
"Fully agree","2006","35-65 y.","","","","","1"
"Fully agree","2006","66 and older","","","","","1"
"Rather agree","2006","35-65 y.","","","","","2"
"Rather agree","2006","66 and older","","","","","2"
"Rather agree","2006","16-34 y.","","","","","2"
"Rather disagree","2006","16-34 y.","","","","","3"
"Rather disagree","2006","35-65 y.","","","","","3"
"Rather disagree","2006","66 and older","","","","","3"
"Disagree fully","2007","16-34 y.","","","","","4"
"Disagree fully","2007","35-65 y.","","","","","4"
"Disagree fully","2007","66 and older","","","","","4"
"Fully agree","2007","16-34 y.","","","","","1"
"Fully agree","2007","35-65 y.","","","","","1"
"Fully agree","2007","66 and older","","","","","1"
"Rather agree","2007","16-34 y.","","","","","2"
"Rather agree","2007","35-65 y.","","","","","2"
"Rather agree","2007","66 and older","","","","","2"
"Rather disagree","2007","16-34 y.","","","","","3"
"Rather disagree","2007","35-65 y.","","","","","3"
"Rather disagree","2007","66 and older","","","","","3"
"Disagree fully","2008","16-34 y.","196","0.0491422794734272","0.0427295726646311","0.0555549862822233","4"
"Disagree fully","2008","35-65 y.","498","0.0537411492194446","0.0494627270622457","0.0580195713766435","4"
"Disagree fully","2008","66 and older","222","0.0511719132382216","0.0446125280692807","0.0577312984071626","4"
"Fully agree","2008","16-34 y.","264","0.0591406395354214","0.0521428426890028","0.0661384363818399","1"
"Fully agree","2008","35-65 y.","537","0.0452664058007707","0.0413222479188514","0.04921056368269","1"
"Fully agree","2008","66 and older","326","0.0759831794374861","0.0680954462839717","0.0838709125910004","1"
"Rather agree","2008","16-34 y.","2403","0.533501749656073","0.518702186354277","0.54830131295787","2"
"Rather agree","2008","35-65 y.","5929","0.525984546176117","0.516511101454196","0.535457990898038","2"
"Rather agree","2008","66 and older","2452","0.552298121859257","0.537495631686175","0.56710061203234","2"
"Rather disagree","2008","16-34 y.","1502","0.358215331335078","0.343991299331161","0.372439363338995","3"
"Rather disagree","2008","35-65 y.","3708","0.375007898803668","0.365822824905526","0.384192972701809","3"
"Rather disagree","2008","66 and older","1335","0.320546785465035","0.306654329401693","0.334439241528376","3"
"Disagree fully","2009","16-34 y.","","","","","4"
"Disagree fully","2009","35-65 y.","","","","","4"
"Disagree fully","2009","66 and older","","","","","4"
"Fully agree","2009","16-34 y.","","","","","1"
"Fully agree","2009","35-65 y.","","","","","1"
"Fully agree","2009","66 and older","","","","","1"
"Rather agree","2009","16-34 y.","","","","","2"
"Rather agree","2009","35-65 y.","","","","","2"
"Rather agree","2009","66 and older","","","","","2"
"Rather disagree","2009","16-34 y.","","","","","3"
"Rather disagree","2009","35-65 y.","","","","","3"
"Rather disagree","2009","66 and older","","","","","3"
"Disagree fully","2010","16-34 y.","","","","","4"
"Disagree fully","2010","35-65 y.","","","","","4"
"Disagree fully","2010","66 and older","","","","","4"
"Fully agree","2010","16-34 y.","","","","","1"
"Fully agree","2010","35-65 y.","","","","","1"
"Fully agree","2010","66 and older","","","","","1"
"Rather agree","2010","16-34 y.","","","","","2"
"Rather agree","2010","35-65 y.","","","","","2"
"Rather agree","2010","66 and older","","","","","2"
"Rather disagree","2010","16-34 y.","","","","","3"
"Rather disagree","2010","35-65 y.","","","","","3"
"Rather disagree","2010","66 and older","","","","","3"
"Disagree fully","2011","16-34 y.","","","","","4"
"Disagree fully","2011","35-65 y.","","","","","4"
"Disagree fully","2011","66 and older","","","","","4"
"Fully agree","2011","16-34 y.","","","","","1"
"Fully agree","2011","35-65 y.","","","","","1"
"Fully agree","2011","66 and older","","","","","1"
"Rather agree","2011","16-34 y.","","","","","2"
"Rather agree","2011","35-65 y.","","","","","2"
"Rather agree","2011","66 and older","","","","","2"
"Rather disagree","2011","16-34 y.","","","","","3"
"Rather disagree","2011","35-65 y.","","","","","3"
"Rather disagree","2011","66 and older","","","","","3"
"Disagree fully","2012","16-34 y.","","","","","4"
"Disagree fully","2012","35-65 y.","","","","","4"
"Disagree fully","2012","66 and older","","","","","4"
"Fully agree","2012","16-34 y.","","","","","1"
"Fully agree","2012","35-65 y.","","","","","1"
"Fully agree","2012","66 and older","","","","","1"
"Rather agree","2012","16-34 y.","","","","","2"
"Rather agree","2012","35-65 y.","","","","","2"
"Rather agree","2012","66 and older","","","","","2"
"Rather disagree","2012","16-34 y.","","","","","3"
"Rather disagree","2012","35-65 y.","","","","","3"
"Rather disagree","2012","66 and older","","","","","3"
"Disagree fully","2013","16-34 y.","201","0.0298024227128423","0.0253654431511733","0.0342394022745112","4"
"Disagree fully","2013","35-65 y.","544","0.0406869505201403","0.0375147348706487","0.0438591661696319","4"
"Disagree fully","2013","66 and older","190","0.0415098172482895","0.0359737972270579","0.047045837269521","4"
"Fully agree","2013","16-34 y.","404","0.0785784997759356","0.0715572796752103","0.0855997198766609","1"
"Fully agree","2013","35-65 y.","969","0.0563513384244586","0.0526486920285096","0.0600539848204077","1"
"Fully agree","2013","66 and older","392","0.0776657696123017","0.0702375044961737","0.0850940347284297","1"
"Rather agree","2013","16-34 y.","3344","0.594714959640088","0.581904454105618","0.607525465174559","2"
"Rather agree","2013","35-65 y.","9002","0.586248638089685","0.578340657432197","0.594156618747174","2"
"Rather agree","2013","66 and older","3065","0.601212500533077","0.587622697067977","0.614802303998177","2"
"Rather disagree","2013","16-34 y.","1693","0.296904117871134","0.284982177706299","0.308826058035968","3"
"Rather disagree","2013","35-65 y.","4385","0.316713072965716","0.309243607774841","0.32418253815659","3"
"Rather disagree","2013","66 and older","1340","0.279611912606332","0.267155599872891","0.292068225339772","3"
"Disagree fully","2014","16-34 y.","","","","","4"
"Disagree fully","2014","35-65 y.","","","","","4"
"Disagree fully","2014","66 and older","","","","","4"
"Fully agree","2014","16-34 y.","","","","","1"
"Fully agree","2014","35-65 y.","","","","","1"
"Fully agree","2014","66 and older","","","","","1"
"Rather agree","2014","16-34 y.","","","","","2"
"Rather agree","2014","35-65 y.","","","","","2"
"Rather agree","2014","66 and older","","","","","2"
"Rather disagree","2014","16-34 y.","","","","","3"
"Rather disagree","2014","35-65 y.","","","","","3"
"Rather disagree","2014","66 and older","","","","","3"
"Disagree fully","2015","16-34 y.","","","","","4"
"Disagree fully","2015","35-65 y.","","","","","4"
"Disagree fully","2015","66 and older","","","","","4"
"Fully agree","2015","16-34 y.","","","","","1"
"Fully agree","2015","35-65 y.","","","","","1"
"Fully agree","2015","66 and older","","","","","1"
"Rather agree","2015","16-34 y.","","","","","2"
"Rather agree","2015","35-65 y.","","","","","2"
"Rather agree","2015","66 and older","","","","","2"
"Rather disagree","2015","66 and older","","","","","3"
"Rather disagree","2015","16-34 y.","","","","","3"
"Rather disagree","2015","35-65 y.","","","","","3"
"Disagree fully","2016","16-34 y.","","","","","4"
"Disagree fully","2016","35-65 y.","","","","","4"
"Disagree fully","2016","66 and older","","","","","4"
"Fully agree","2016","16-34 y.","","","","","1"
"Fully agree","2016","35-65 y.","","","","","1"
"Fully agree","2016","66 and older","","","","","1"
"Rather agree","2016","16-34 y.","","","","","2"
"Rather agree","2016","35-65 y.","","","","","2"
"Rather agree","2016","66 and older","","","","","2"
"Rather disagree","2016","16-34 y.","","","","","3"
"Rather disagree","2016","35-65 y.","","","","","3"
"Rather disagree","2016","66 and older","","","","","3"
"Disagree fully","2017","16-34 y.","","","","","4"
"Disagree fully","2017","35-65 y.","","","","","4"
"Disagree fully","2017","66 and older","","","","","4"
"Fully agree","2017","16-34 y.","","","","","1"
"Fully agree","2017","35-65 y.","","","","","1"
"Fully agree","2017","66 and older","","","","","1"
"Rather agree","2017","16-34 y.","","","","","2"
"Rather agree","2017","35-65 y.","","","","","2"
"Rather agree","2017","66 and older","","","","","2"
"Rather disagree","2017","16-34 y.","","","","","3"
"Rather disagree","2017","35-65 y.","","","","","3"
"Rather disagree","2017","66 and older","","","","","3"
"Disagree fully","2018","16-34 y.","582","0.0454689165119361","0.0409097424491707","0.0500280905747015","4"
"Disagree fully","2018","35-65 y.","803","0.0410225548246428","0.0379870671403151","0.0440580425089706","4"
"Disagree fully","2018","66 and older","166","0.0313417919713972","0.0265470763584414","0.0361365075843531","4"
"Fully agree","2018","16-34 y.","867","0.0783724060370946","0.0724908375644976","0.0842539745096915","1"
"Fully agree","2018","35-65 y.","1477","0.065102157884207","0.061326499462734","0.0688778163056801","1"
"Fully agree","2018","66 and older","401","0.0835850046518848","0.0759690221278832","0.0912009871758865","1"
"Rather agree","2018","16-34 y.","4420","0.580642688293199","0.569843765817693","0.591441610768705","2"
"Rather agree","2018","35-65 y.","9827","0.599736208841016","0.592237850106588","0.607234567575444","2"
"Rather agree","2018","66 and older","3298","0.646137557926988","0.632979391110338","0.659295724743638","2"
"Rather disagree","2018","16-34 y.","2152","0.295515989157771","0.285530717261964","0.305501261053577","3"
"Rather disagree","2018","35-65 y.","4294","0.294139078450134","0.287165609687743","0.301112547212525","3"
"Rather disagree","2018","66 and older","1208","0.23893564544973","0.227201085097185","0.250670205802276","3"
