"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1999","direct migration background","higher education","","","","","","","","","","","","","",""
"1999","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1999","direct migration background","in school","","","","","","","","","","","","","",""
"1999","direct migration background","inadequately","","","","","","","","","","","","","",""
"1999","direct migration background","middle vocational","","","","","","","","","","","","","",""
"1999","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1999","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1999","indirect migration background","higher education","","","","","","","","","","","","","",""
"1999","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1999","indirect migration background","in school","","","","","","","","","","","","","",""
"1999","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1999","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1999","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1999","no migration background","general elemantary","42.13","31","67","8","14","60","92","205","32.44","51.82","4","205","19","36"
"1999","no migration background","higher education","45.21","33","140","7","13","69","92","205","37.49","52.93","1","215","21","36"
"1999","no migration background","higher vocational","58.6","44.55","59","11","20","72","123","256","38.12","79.08","1","511","20","51"
"1999","no migration background","in school","","","","","","","","","","","","","",""
"1999","no migration background","inadequately","","","","","","","","","","","","","",""
"1999","no migration background","middle vocational","58.17","41","384","10","18","77","102","297","52.28","64.06","1","614","27","38"
"1999","no migration background","vocational + Abi","48.66","31.19","44","12","20","56","92","281","33.5","63.82","1","281","20","41"
"2000","direct migration background","general elemantary","","","","","","","","","","","","","",""
"2000","direct migration background","higher education","87.31","55.4","31","10","31","102","153","501","53.69","120.93","1","501","34","66"
"2000","direct migration background","higher vocational","","","","","","","","","","","","","",""
"2000","direct migration background","in school","","","","","","","","","","","","","",""
"2000","direct migration background","inadequately","","","","","","","","","","","","","",""
"2000","direct migration background","middle vocational","37.85","28.42","33","5","16","51","92","102","27.89","47.81","1","102","16","41"
"2000","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"2000","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"2000","indirect migration background","higher education","","","","","","","","","","","","","",""
"2000","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"2000","indirect migration background","in school","","","","","","","","","","","","","",""
"2000","indirect migration background","inadequately","","","","","","","","","","","","","",""
"2000","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"2000","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"2000","no migration background","general elemantary","49.52","28","81","5","10","77","107","268","38.6","60.44","1","268","15","34"
"2000","no migration background","higher education","54.98","41","314","8","18","71","128","256","48.34","61.62","1","458","31","41"
"2000","no migration background","higher vocational","66.44","41","130","8","18","66","152","511","54.67","78.21","1","511","27","50"
"2000","no migration background","in school","","","","","","","","","","","","","",""
"2000","no migration background","inadequately","","","","","","","","","","","","","",""
"2000","no migration background","middle vocational","52.62","37.84","763","9","15","77","114","258","49.08","56.16","1","501","31","37"
"2000","no migration background","vocational + Abi","55.78","43","92","8","23","74","108","205","44.73","66.83","1","358","31","46"
"2001","direct migration background","general elemantary","","","","","","","","","","","","","",""
"2001","direct migration background","higher education","","","","","","","","","","","","","",""
"2001","direct migration background","higher vocational","","","","","","","","","","","","","",""
"2001","direct migration background","in school","","","","","","","","","","","","","",""
"2001","direct migration background","inadequately","","","","","","","","","","","","","",""
"2001","direct migration background","middle vocational","","","","","","","","","","","","","",""
"2001","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"2001","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"2001","indirect migration background","higher education","","","","","","","","","","","","","",""
"2001","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"2001","indirect migration background","in school","","","","","","","","","","","","","",""
"2001","indirect migration background","inadequately","","","","","","","","","","","","","",""
"2001","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"2001","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"2001","no migration background","general elemantary","48.01","30.31","61","5","10","65","112","271","34.27","61.75","1","271","14","37"
"2001","no migration background","higher education","51.49","36","294","8","16","66","118","222","45.13","57.85","1","463","28","41"
"2001","no migration background","higher vocational","53.03","43","128","8","18","63","94","343","44.88","61.18","1","343","31","43"
"2001","no migration background","in school","","","","","","","","","","","","","",""
"2001","no migration background","inadequately","","","","","","","","","","","","","",""
"2001","no migration background","middle vocational","49.03","37.52","716","7","14","66","102","205","45.7","52.36","1","460","26","36"
"2001","no migration background","vocational + Abi","51.12","41.59","100","10","17","65","102","179","40.24","62","1","460","26","42"
"2002","direct migration background","general elemantary","","","","","","","","","","","","","",""
"2002","direct migration background","higher education","","","","","","","","","","","","","",""
"2002","direct migration background","higher vocational","","","","","","","","","","","","","",""
"2002","direct migration background","in school","","","","","","","","","","","","","",""
"2002","direct migration background","inadequately","","","","","","","","","","","","","",""
"2002","direct migration background","middle vocational","43.76","23.27","35","8","13","50","95","200","28.66","58.86","3","200","13","37"
"2002","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"2002","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"2002","indirect migration background","higher education","","","","","","","","","","","","","",""
"2002","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"2002","indirect migration background","in school","","","","","","","","","","","","","",""
"2002","indirect migration background","inadequately","","","","","","","","","","","","","",""
"2002","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"2002","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"2002","no migration background","general elemantary","67.9","54.41","70","10","15","103","171","200","54.69","81.11","4","250","20","55"
"2002","no migration background","higher education","59.07","50","434","10","20","80","125","300","52.79","65.35","1","510","45","50"
"2002","no migration background","higher vocational","54.43","36.05","152","10","16","60","102","300","45.67","63.19","1","350","30","50"
"2002","no migration background","in school","","","","","","","","","","","","","",""
"2002","no migration background","inadequately","","","","","","","","","","","","","",""
"2002","no migration background","middle vocational","46.91","30","863","9","15","65","100","220","43.12","50.7","1","636","30","39"
"2002","no migration background","vocational + Abi","54.63","42.7","115","12","20","75","150","250","44.71","64.55","1","290","35","50"
"2003","direct migration background","general elemantary","","","","","","","","","","","","","",""
"2003","direct migration background","higher education","","","","","","","","","","","","","",""
"2003","direct migration background","higher vocational","","","","","","","","","","","","","",""
"2003","direct migration background","in school","","","","","","","","","","","","","",""
"2003","direct migration background","inadequately","","","","","","","","","","","","","",""
"2003","direct migration background","middle vocational","40.11","25.63","32","10","15","65","90","100","28.53","51.69","2","100","15","56"
"2003","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"2003","indirect migration background","general elemantary","","","","","","","","","","","","","",""
